Country,State,BoundingBox
Canada,,"41.6765556,83.3362128,-141.0027499,-52.323198"
Canada,Alberta,"48.9966667,60.0004216,-120.0013834,-110.0047638"
Canada,British Columbia,"48.2245556,60.0023,-139.0536705,-114.0538223"
Canada,Manitoba,"48.9989765,59.99926,-102.0076114,-88.9908161"
Canada,New Brunswick,"44.5561189,48.0893391,-69.0534662,-63.6147115"
Canada,Newfoundland and Labrador,"46.6148345,52.007122,-59.4166695,-52.6127311"
Canada,Northwest Territories,"59.99812,79.1299817,-136.5880009,-102.0004756"
Canada,Nova Scotia,"43.2718197,47.2350807,-66.4470814,-59.6188299"
Canada,Nunavut,"51.1566468,83.3362128,-120.6830208,-59.6136766"
Canada,Ontario,"41.6765556,56.8593635,-95.1537398,-74.3201061"
Canada,Prince Edward Island,"45.8580234,47.0659678,-64.446016,-61.9648894"
Canada,Quebec,"44.9913689,62.5804863,-79.7741349,-57.1054863"
Canada,Saskatchewan,"52.9721257,58.0921257,-108.7012242,-103.5812242"
Canada,Yukon,"59.9948369,69.84588,-141.0027499,-123.811471"
Mexico,,"14.3886243,32.7186553,-118.5991899,-86.4932659"
Mexico,Aguascalientes,"21.6222664,22.4595896,-102.8741764,-101.8352893"
Mexico,Baja California,"27.9999878,32.7186553,-118.4076494,-112.6542401"
Mexico,Baja California Sur,"22.871954,28.0000017,-115.2237642,-109.4131728"
Mexico,Campeche,"17.8151208,20.8483273,-92.4690271,-89.1212291"
Mexico,Chiapas,"14.5304957,17.9852878,-94.1391559,-90.3714408"
Mexico,Chihuahua,"25.558657,31.7838983,-109.0749841,-103.3066899"
Mexico,Coahuila,"24.5426841,29.88003,-103.9600018,-99.8428799"
Mexico,Colima,"18.3391496,19.5125187,-114.7600184,-103.4863464"
Mexico,Distrito Federal,"19.0482367,19.5927572,-99.3649241,-98.9403027"
Mexico,Durango,"22.3450837,26.8447877,-107.2101321,-102.4726968"
Mexico,Guanajuato,"19.9127502,21.8394167,-102.0970322,-99.6713025"
Mexico,Guerrero,"16.3162249,18.8878468,-102.1843511,-98.0072763"
Mexico,Hidalgo,"19.5977581,21.3985208,-99.8595124,-97.9849288"
Mexico,Jalisco,"18.9258718,22.7502459,-105.6954033,-101.5105416"
Mexico,Michoacan,"17.9149079,20.3945563,-103.738127,-100.0630327"
Mexico,Morelos,"18.332373,19.1317017,-99.4944139,-98.6329469"
Mexico,Nayarit,"20.6032209,23.0845033,-106.6879913,-103.7208954"
Mexico,Nuevo Leon,"23.162665,27.7991372,-101.2067626,-98.4215759"
Mexico,Oaxaca,"15.6571686,18.6696881,-98.5526958,-93.8674266"
Mexico,Puebla,"17.860912,20.8396271,-99.0704939,-96.7246829"
Mexico,Queretaro,"20.0150182,21.6700054,-100.5965356,-99.0430798"
Mexico,Quintana Roo,"17.8939855,21.6055041,-89.2965617,-86.7106108"
Mexico,San Luis Potosi,"21.1601538,24.4915166,-102.2960383,-98.3259669"
Mexico,Sinaloa,"22.4671337,27.0422491,-109.4475839,-105.3922199"
Mexico,Sonora,"26.2969879,32.4940771,-115.0530222,-108.4242707"
Mexico,Tabasco,"17.2508933,18.650434,-94.130191,-90.9874307"
Mexico,Tamaulipas,"22.2069658,27.6791262,-100.1449501,-97.1441637"
Mexico,Tlaxcala,"19.105072,19.728917,-98.7083985,-97.6254389"
Mexico,Veracruz,"17.1369649,22.4717509,-98.6815465,-93.6079397"
Mexico,Yucatan,"19.551174,21.6250881,-90.4070179,-87.5331451"
Mexico,Zacatecas,"21.0418694,25.1252355,-104.3535329,-100.7423241"
United States,,"-14.7608357,71.6048217,-179.9999999,180"
United States,Alabama,"30.1375221,35.0081121,-88.4731354,-84.888353"
United States,Alaska,"51.0228712,71.6048217,172.1155062,-129.9741673"
United States,American Samoa,"-14.7608357,-10.8449745,-171.2951295,-167.9322898"
United States,Arizona,"31.3322135,37.00426,-114.8183583,-109.0452014"
United States,Arkansas,"33.004106,36.4996,-94.6178556,-89.6422485"
United States,California,"32.5295236,42.009499,-124.4820029,-114.1307815"
United States,Colorado,"36.992426,41.0034002,-109.0601878,-102.0415849"
United States,Connecticut,"40.9492617,42.050587,-73.7277749,-71.7869939"
United States,Delaware,"38.4511276,39.8394337,-75.7890402,-74.9849354"
United States,District of Columbia,"38.7916303,38.9958524,-77.1197662,-76.9093659"
United States,Florida,"24.396308,31.000968,-87.6348959,-79.9743059"
United States,Georgia,"30.355757,35.0008288,-85.60512,-80.751432"
United States,Guam,"13.182335,13.706179,144.563426,145.009167"
United States,Hawaii,"18.864031,28.517269,-178.4435929,-154.757659"
United States,Idaho,"41.988057,49.0008447,-117.2430323,-111.0435639"
United States,Illinois,"36.9701313,42.5082426,-91.5130517,-87.0199243"
United States,Indiana,"37.771742,41.761368,-88.0997018,-84.7846089"
United States,Iowa,"40.3756007,43.5011333,-96.6397161,-90.1400609"
United States,Kansas,"36.993125,40.003095,-102.0517562,-94.5882048"
United States,Kentucky,"36.496719,39.1477997,-89.5715089,-81.9645412"
United States,Louisiana,"28.855127,33.0194557,-94.0431469,-88.7583879"
United States,Maine,"42.9222206,47.4598397,-71.0841693,-66.8854161"
United States,Maryland,"37.886605,39.7229331,-79.4873054,-74.9851722"
United States,Massachusetts,"41.1888589,42.8867135,-73.5081419,-69.8601041"
