"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"1000759508","Lagerstroemia indica","Crapemyrtle","3.1899999618530273e+001","2","67554","1.7500000000000000e+000","2","67554","1.7000000000000000e+001","2","315055","3"
"1004127417","Pyrus calleryana","Callery Pear","4.5000000000000000e+001","2","281877","1.0000000000000000e+001","2","128437","5.1500000000000000e+001","2","272990","7"
"1007161843","Prunus nigra","Canadian Plum","0.0000000000000000e+000","0",NULL,"7.4166665077209473e+000","2","302691","2.3000000000000000e+001","2","302691","1"
"1016720991","Crataagus spp.","Hawthorn","1.7600000381469727e+001","2","252141","2.0000000000000000e+000","2","252141","0.0000000000000000e+000","0",NULL,"1"
"1020550105","Acer davidii","Father David's Maple","5.8700000762939453e+001","2","243241","5.9000000953674316e+000","2","243241","2.9500000000000000e+001","2","163348","2"
"1024023579","Morus rubra var. rubra","Red Mulberry","6.9000000000000000e+001","2","297813","7.6666665077209473e+000","2","196736","4.2000000000000000e+001","2","224359","7"
"1024682701","Fraxinus latifolia","Oregon Ash","9.1699996948242187e+001","2","296857","6.8200001716613770e+000","2","296857","0.0000000000000000e+000","0",NULL,"2"
"1025158205","Juniperus virginiana var. virginiana","Eastern Redcedar","1.0930000305175781e+002","2","314554","1.3125000000000000e+001","2","313164","4.6299999237060547e+001","2","313164","96"
"102684758","Acer negundo var. negundo","Boxelder","1.0180000305175781e+002","2","297660","1.2833333015441895e+001","2","313208","1.1000000000000000e+002","2","312049","39"
"1028177810","Quercus macrocarpa var. macrocarpa","Bur Oak","1.3269999694824219e+002","2","171794","2.3741666793823242e+001","2","313061","1.4100000000000000e+002","2","255950","141"
"1029377630","Carya carolinae-septentrionalis","Southern Shagbark Hickory","1.1440000152587891e+002","2","40816","9.1999998092651367e+000","2","255923","6.6000000000000000e+001","2","255923","9"
"1031908306","Ostrya virginiana","Hophornbeam","8.1900001525878906e+001","2","230177","7.9833335876464844e+000","2","250157","0.0000000000000000e+000","0",NULL,"89"
"1035416021","Sabal palmetto","Cabbage Palmetto","4.4900001525878906e+001","2","67559","3.5333335399627686e+000","2","67559","0.0000000000000000e+000","0",NULL,"1"
"1037434906","Fraxinus pennsylvanica","Green Ash","1.4669999694824219e+002","2","228840","1.7299999237060547e+001","2","313072","1.0250000000000000e+002","2","313072","208"
"103876374","Populus deltoides ssp. wislizeni","Rio Grande Cottonwood","9.0000000000000000e+001","2","242527","2.4166666030883789e+001","2","242527","0.0000000000000000e+000","0",NULL,"2"
"1043313281","Pinus parviflora","Japanese White Pine","7.4000000000000000e+001","2","225117","7.5833334922790527e+000","2","225117","0.0000000000000000e+000","0",NULL,"3"
"1044579856","Quercus georgiana","Georgia Oak","4.5700000762939453e+001","2","249366","3.5000000000000000e+000","2","249367","0.0000000000000000e+000","0",NULL,"4"
"1045068406","Catalpa speciosa","Northern Catalpa","8.9599998474121094e+001","2","281860","1.5250000000000000e+001","2","313145","5.1000000000000000e+001","2","315261","20"
"1046743713","Nyssa sylvatica","Blackgum","1.3100000000000000e+002","2","313078","1.5750000000000000e+001","2","313078","1.0700000000000000e+002","2","255968","286"
"104712439","Salix gooddingii","Goodding's Willow","4.2000000000000000e+001","2","239500","2.6416666507720947e+000","2","239500","0.0000000000000000e+000","0",NULL,"1"
"1049316308","Euonymus bungeanus","Winterberry Euonymus","6.0799999237060547e+001","2","281836","7.4499998092651367e+000","2","281836","0.0000000000000000e+000","0",NULL,"1"
"1049347547","Quercus imbricaria","Shingle Oak","1.0500000000000000e+002","2","282284","1.5659999847412109e+001","2","315471","1.0800000000000000e+002","2","171808","47"
"1050618422","Parrotia persica","Persian Ironwood","5.1799999237060547e+001","2","281885","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"2"
"1051469549","Carpinus turczaninowii","Korean Hornbeam","3.7799999237060547e+001","2","281887","3.8599998950958252e+000","2","281887","0.0000000000000000e+000","0",NULL,"1"
"1051477658","Gleditsia triacanthos","Honeylocust","1.4100000000000000e+002","2","321810","1.7850000381469727e+001","2","186282","9.4000000000000000e+001","2","313127","82"
