"Id","SiteId","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"1000060064","39742","Acer negundo var. negundo","Boxelder","7.8099998474121094e+001","2","273009","5.2666668891906738e+000","2","273009","3.8000000000000000e+001","2","273009","2"
"100030125","42263","Quercus rubra var. rubra","Northern Red Oak","1.4750000000000000e+002","2","314556","1.5380000114440918e+001","2","314556","0.0000000000000000e+000","0",NULL,"3"
"1000393800","39556","Carya tomentosa","Mockernut Hickory","8.3500000000000000e+001","2","185989","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1000464259","40998","Carya ovata","Shagbark Hickory","9.5000000000000000e+001","2","242604","6.5000000000000000e+000","2","242604","0.0000000000000000e+000","0",NULL,"1"
"1000593095","39321","Fraxinus pennsylvanica","Green Ash","9.3000000000000000e+001","2","172273","1.0583333015441895e+001","2","172273","0.0000000000000000e+000","0",NULL,"1"
"1000633478","42263","Diospyros virginiana","Common Persimmon","9.7800003051757813e+001","2","314571","3.7000000476837158e+000","2","314571","0.0000000000000000e+000","0",NULL,"1"
"1000636874","39149","Quercus montana","Chestnut Oak","9.3000000000000000e+001","2","166881","1.1533332824707031e+001","2","166880","0.0000000000000000e+000","0",NULL,"2"
"1000722286","41841","Platanus occidentalis","American Sycamore","1.6000000000000000e+002","2","275167","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1000915295","35874","Quercus rubra","Northern Red Oak","9.0800003051757812e+001","2","120395","1.1599999427795410e+001","2","120395","0.0000000000000000e+000","0",NULL,"1"
"1001071634","42231","Cotinus obovatus","American Smoketree","2.4100000381469727e+001","2","312075","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1001139232","40789","Quercus lyrata","Overcup Oak","1.1430000305175781e+002","2","236763","1.4083333015441895e+001","2","236762","0.0000000000000000e+000","0",NULL,"2"
"1001160169","40018","Pinus resinosa","Red Pine","1.2300000000000000e+002","2","214357","6.9166665077209473e+000","2","214316","0.0000000000000000e+000","0",NULL,"6"
"100117593","41485","Betula lenta","Sweet Birch","0.0000000000000000e+000","0",NULL,"6.3333334922790527e+000","2","261880","0.0000000000000000e+000","0",NULL,"1"
"100164261","41833","Jacaranda mimosifolia","Black Poui","6.8699996948242188e+001","2","274947","8.6666669845581055e+000","2","274947","0.0000000000000000e+000","0",NULL,"3"
"1001958549","42085","Thuja plicata","Western Redcedar","1.7630000305175781e+002","2","296947","2.4030000686645508e+001","2","296947","0.0000000000000000e+000","0",NULL,"1"
"1002083098","40761","Nyssa biflora","Swamp Tupelo","8.4000000000000000e+001","2","235973","1.7199998855590820e+001","2","235973","0.0000000000000000e+000","0",NULL,"2"
"100213037","42386","Quercus shumardii","Shumard's Oak","1.5150000000000000e+002","2","323200","1.1350000381469727e+001","2","323200","0.0000000000000000e+000","0",NULL,"6"
"1002260017","42291","Pinus monticola","Western White Pine","2.0210000610351562e+002","2","318015","1.2680000305175781e+001","2","318014","0.0000000000000000e+000","0",NULL,"3"
"1002429948","41094","Pinus strobus","Eastern White Pine","1.7119999694824219e+002","2","249299","9.1666669845581055e+000","2","249299","0.0000000000000000e+000","0",NULL,"5"
"1002445427","40115","Liriodendron tulipifera","Tuliptree","9.6000000000000000e+001","2","220930","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"100256029","32605","Magnolia acuminata","Cucumber-Tree","1.0209999847412109e+002","2","119538","5.5999999046325684e+000","2","119538","0.0000000000000000e+000","0",NULL,"1"
"1002586469","1648","Oxydendrum arboreum","Sourwood","8.1000000000000000e+001","2","40200","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1002727267","41894","Chionanthus virginicus","White Fringetree","0.0000000000000000e+000","0",NULL,"8.3333331346511841e-001","2","281306","0.0000000000000000e+000","0",NULL,"1"
"1002733142","38430","Salix alba","White Willow","7.2000000000000000e+001","2","139469","2.0333333969116211e+001","2","139462","0.0000000000000000e+000","0",NULL,"10"
"1002912050","41954","Populus tremula","European Aspen","1.2730000305175781e+002","2","283484","1.3000000000000000e+001","2","283485","0.0000000000000000e+000","0",NULL,"2"
"1003113705","1088","Liriodendron tulipifera","Tuliptree","1.1100000000000000e+002","2","20444","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"2"
