"Id","StateId","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"1000743204","28","Pinus rigida","Pitch Pine","6.9599998474121094e+001","2","256181","4.9166665077209473e+000","2","256181","0.0000000000000000e+000","0",NULL,"1"
"1001100132","7","Cornus florida","Flowering Dogwood","5.2400001525878906e+001","2","142900","2.0000000000000000e+000","2","142900","0.0000000000000000e+000","0",NULL,"2"
"1001119069","27","Cornus drummondii","Roughleaf Dogwood","2.5600000381469727e+001","2","220660","1.2500000000000000e+000","2","220661","0.0000000000000000e+000","0",NULL,"2"
"1001407479","38","Asimina triloba","Pawpaw","6.0900001525878906e+001","2","252773","1.6666666269302368e+000","2","252773","0.0000000000000000e+000","0",NULL,"6"
"1001735352","23","Fagus grandifolia","American Beech","1.1400000000000000e+002","2","251153","1.2000000000000000e+001","2","251627","9.7000000000000000e+001","2","251153","2"
"1002926249","33","Vitis labrusca","Northern Fox Grape (Vine)","0.0000000000000000e+000","0",NULL,"2.0833332538604736e+000","2","15985","0.0000000000000000e+000","0",NULL,"1"
"1003317990","40","Quercus pagoda","Cherrybark Oak","1.5780000305175781e+002","2","322741","1.9610000610351562e+001","2","322744","0.0000000000000000e+000","0",NULL,"50"
"1003647530","18","Ilex opaca var. opaca","American Holly","6.9300003051757812e+001","2","128101","4.1999998092651367e+000","2","128101","0.0000000000000000e+000","0",NULL,"4"
"1003656328","25","Cunninghamia lanceolata","Chinese Fir","8.1900001525878906e+001","2","39768","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"3"
"100374024","9","Pinus strobus","Eastern White Pine","1.8580000305175781e+002","2","235208","1.3333333015441895e+001","2","234927","0.0000000000000000e+000","0",NULL,"65"
"1004249603","12","Celtis occidentalis","Common Hackberry","0.0000000000000000e+000","0",NULL,"1.7500000000000000e+001","2","171015","0.0000000000000000e+000","0",NULL,"1"
"100618954","32","Carya x dunbarii","Dunbar’S Hickory","8.4800003051757813e+001","2","226062","4.9000000953674316e+000","2","226062","0.0000000000000000e+000","0",NULL,"1"
"1007058739","124","Cercis siliquastrum","Judas-Tree","4.5799999237060547e+001","2","274943","1.8333333730697632e+000","2","274943","0.0000000000000000e+000","0",NULL,"1"
"1007666182","9","Prunus alabamensis","Alabama Cherry","5.5099998474121094e+001","2","243225","3.0833332538604736e+000","2","243224","0.0000000000000000e+000","0",NULL,"5"
"1008507764","25","Liriodendron tulipifera","Tuliptree","1.9119999694824219e+002","2","252473","2.7000000000000000e+001","2","252309","1.4350000000000000e+002","2","252353","342"
"1009009512","40","Alnus serrulata","Hazel Alder","1.7200000762939453e+001","2","312634","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1010186989","9","Quercus sinuata","Bastard Oak","1.0240000152587891e+002","2","234571","8.1666669845581055e+000","2","234572","6.5000000000000000e+001","2","234572","3"
"1010651247","9","Acer rubrum","Red Maple","1.1659999847412109e+002","2","249281","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1010887353","36","Bumelia lycoides","Buckthorn Bully","2.3500000000000000e+001","2","142267","1.3999999761581421e+000","2","142267","1.8000000000000000e+001","2","142267","1"
"1011391473","38","Sassafras albidum","Sassafras","9.6500000000000000e+001","2","40324","6.5000000000000000e+000","2","281323","0.0000000000000000e+000","0",NULL,"3"
"1011958133","32","Abies balsamea var. balsamea","Balsam Fir","1.0869999694824219e+002","2","228334","5.6900000572204590e+000","2","228334","1.7000000000000000e+001","2","228334","15"
"1013701889","40","Hamamelis virginiana","American Witchhazel","2.9000000000000000e+001","2","323543","8.0000001192092896e-001","2","323543","0.0000000000000000e+000","0",NULL,"2"
"1014143454","18","Carpinus caroliniana ssp. virginiana","American Hornbeam","4.9799999237060547e+001","2","231978","1.8999999761581421e+000","2","231978","0.0000000000000000e+000","0",NULL,"3"
"1014625638","8","Chamaecyparis thyoides","Atlantic White Cedar","6.2400001525878906e+001","2","242636","9.5833330154418945e+000","2","242635","0.0000000000000000e+000","0",NULL,"2"
"1016120012","47","Acer palmatum","Japanese Maple","3.2500000000000000e+001","2","315050","4.7000002861022949e+000","2","313188","3.6000000000000000e+001","2","313188","3"
