"Id","Rank"
"1049","1"
"1054","1"
"1088","1"
"14904","1"
"1622","1"
"1625","1"
"1626","1"
"1640","1"
"1647","1"
"1671","1"
"1677","1"
"1683","1"
"20955","2"
"22032","1"
"22035","1"
"22038","3"
"22039","1"
"22040","1"
"22041","1"
"22087","1"
"22103","1"
"22106","1"
"22107","2"
"22114","1"
"23133","1"
"24272","1"
"24279","2"
"24339","1"
"25430","1"
"2704","1"
"2705","1"
"2714","1"
"27495","1"
"27498","1"
"29537","1"
"29555","1"
"31558","1"
"31559","1"
"32605","1"
"32616","1"
"32620","1"
"32643","1"
"32691","1"
"32716","1"
"32770","1"
"33759","2"
"33771","1"
"33778","1"
"35879","2"
"3730","1"
"37952","1"
"37983","1"
"38016","1"
"38037","1"
"38040","1"
"38053","1"
"38074","1"
"38083","1"
"38085","1"
"38087","1"
"38106","1"
"38114","2"
"38156","1"
"38159","1"
"38185","1"
"38253","1"
"38262","1"
"38344","1"
"38358","2"
"38359","1"
"38397","2"
"38425","1"
"38430","1"
"38450","1"
"38501","1"
"38503","1"
"38516","1"
"38535","1"
"38555","2"
"38641","1"
"38658","1"
"38693","1"
"38827","1"
"38830","1"
"38831","1"
"38884","1"
"38905","1"
"38948","1"
"38975","2"
"39011","1"
"39052","1"
"39066","1"
"39068","1"
"39072","1"
"39076","1"
"39087","1"
"39088","1"
"39090","1"
"39116","1"
"39134","1"
"39136","1"
"39141","2"
"39164","2"
"39167","1"
"39172","1"
"39185","1"
"39186","1"
"39187","1"
"39206","1"
"39220","1"
"39223","1"
"39224","1"
"39237","1"
"39239","1"
"39269","1"
"39291","1"
"39293","2"
"39296","1"
"39301","1"
"39316","1"
"39326","1"
"39401","1"
"39409","1"
"39552","1"
"39570","1"
"39573","1"
"39597","1"
"39605","2"
"39628","1"
"39693","2"
"39719","2"
"39742","1"
"39821","1"
"39847","1"
"39848","1"
"39852","1"
"39866","1"
"39884","1"
"39953","1"
"39991","1"
"39992","1"
"39994","1"
"40015","1"
"40016","1"
"40068","1"
"40084","2"
"40090","1"
"40100","1"
"40103","1"
"40129","1"
"40134","1"
"40150","1"
"40163","1"
"40186","1"
"40216","1"
"40271","1"
"40281","1"
"40302","1"
"40303","1"
"40305","1"
"40306","1"
"40310","1"
"40355","1"
"40357","1"
"40389","1"
"40403","1"
"40408","1"
"40419","2"
"40422","1"
"40429","1"
"40432","1"
"40433","1"
"40469","1"
"40479","1"
"40483","1"
"40485","1"
"40494","1"
"40497","1"
"40500","1"
"40514","2"
"40518","1"
"40521","1"
"40524","2"
"40526","4"
"40529","1"
"40532","4"
"40539","1"
"40552","1"
"40557","1"
"40566","1"
"40582","1"
"40587","1"
"40595","1"
"40598","2"
"40629","2"
"40649","1"
"40661","1"
"40665","1"
"40699","1"
"40704","1"
"40724","1"
"40754","1"
"40756","1"
"40811","1"
"40853","2"
"40871","1"
"40882","1"
"40886","3"
"40887","1"
"40891","1"
"40898","1"
"40904","1"
"40906","1"
"40908","1"
"40910","1"
"40913","1"
"40915","1"
"40935","1"
"40939","1"
"40947","1"
"40953","2"
"40975","1"
"40988","1"
"41001","1"
"41002","1"
"41004","1"
"41005","1"
"41009","1"
"41012","1"
"41022","1"
"41027","1"
"41033","1"
"41093","1"
"41107","1"
"41134","1"
"41146","1"
"41152","1"
"41157","1"
"41179","1"
"41183","1"
"41185","1"
"41186","1"
"41193","1"
"41200","1"
"41212","1"
"41220","1"
"41241","1"
"41243","1"
"41244","1"
"41246","1"
"41256","4"
"41265","2"
"41325","1"
"41347","2"
"41364","1"
"41394","1"
"41405","2"
"41412","2"
"41454","1"
"41482","1"
"41488","1"
"41502","1"
"41513","2"
"41516","1"
"41605","2"
"41615","1"
"41618","1"
"41629","2"
"41630","1"
"41642","1"
"41643","1"
"41646","1"
"41647","1"
"41649","1"
"41663","1"
"41667","1"
"41669","2"
"41687","1"
"41689","1"
"41698","1"
"41702","1"
"41706","1"
"41708","1"
"41759","1"
"41806","1"
"41832","1"
"41833","1"
"41834","1"
"41841","1"
"41843","1"
"41877","1"
"41879","1"
"41954","1"
"41964","1"
"41999","1"
"42001","1"
"42006","1"
"42027","2"
"42041","1"
"42052","1"
"42068","1"
"42075","2"
"42076","1"
"42077","1"
"42082","1"
"42083","1"
"42095","1"
"42099","1"
"42108","1"
"42180","1"
"42231","1"
"42243","1"
"42256","1"
"42260","3"
"42273","1"
"42277","1"
"42286","1"
"42288","1"
"42289","1"
"42298","2"
"42341","1"
"42342","1"
"42348","3"
"42350","1"
"42353","1"
"42360","1"
"42377","1"
"42382","1"
"42383","1"
"42388","1"
"42391","1"
"42392","1"
"441","1"
"446","1"
"4736","1"
"4759","1"
"4773","2"
"4788","2"
"4818","1"
"4824","1"
"542","1"
"543","1"
"701","1"
"7842","1"
