"Id","Rank"
"1008","2"
"1015","3"
"1017","1"
"1019","1"
"1020","1"
"1027","1"
"1033","1"
"1048","1"
"1049","2"
"1054","2"
"10860","2"
"10861","2"
"10873","1"
"1088","2"
"1179","1"
"1184","3"
"11900","1"
"1309","1"
"1316","2"
"1332","1"
"1440","1"
"1451","2"
"1461","1"
"1475","1"
"14904","2"
"1530","2"
"1619","3"
"1620","3"
"1622","4"
"1624","4"
"1625","3"
"1626","3"
"1627","4"
"1628","4"
"1631","2"
"1633","3"
"1634","2"
"1635","2"
"1636","3"
"1640","1"
"1644","3"
"1646","4"
"1647","3"
"1648","3"
"1649","3"
"1650","3"
"1651","4"
"1653","3"
"1670","3"
"1671","1"
"1672","1"
"1673","1"
"1676","1"
"1677","3"
"1678","2"
"1679","2"
"1680","1"
"1683","3"
"1726","1"
"1727","3"
"1728","1"
"1730","2"
"17929","2"
"20955","1"
"22018","2"
"22021","3"
"22033","1"
"22034","3"
"22035","2"
"22036","3"
"22037","2"
"22038","3"
"22039","3"
"22040","2"
"22041","3"
"22052","1"
"22070","3"
"22071","2"
"22073","3"
"22075","3"
"22087","1"
"22090","1"
"22092","1"
"22093","1"
"22103","2"
"22106","3"
"22107","2"
"22108","3"
"22109","2"
"22113","2"
"22114","2"
"22115","2"
"22116","2"
"22117","2"
"22119","3"
"23133","2"
"23136","3"
"24220","1"
"24269","3"
"24272","3"
"24279","3"
"24339","5"
"24354","5"
"25410","1"
"25422","3"
"25429","2"
"25430","1"
"25455","1"
"2704","2"
"2705","2"
"2710","2"
"2714","1"
"2716","2"
"2718","1"
"2719","2"
"2720","2"
"2722","2"
"2726","2"
"27458","2"
"27461","1"
"27469","2"
"27483","1"
"27485","1"
"27487","2"
"27495","1"
"27496","3"
"27498","1"
"27506","2"
"28495","1"
"28496","3"
"28497","1"
"29537","2"
"29555","2"
"30548","2"
"30550","2"
"31554","1"
"31558","1"
"31559","2"
"31566","2"
"31571","1"
"31579","1"
"31584","1"
"31594","2"
"32605","2"
"32609","2"
"32616","2"
"32620","2"
"32633","3"
"32643","2"
"32644","1"
"32651","2"
"32676","3"
"32691","1"
"32716","3"
"32744","2"
"32750","3"
"32765","2"
"32766","4"
"32770","2"
"33759","2"
"33771","3"
"33772","3"
"33774","2"
"33778","1"
"34828","1"
"35848","1"
"35855","1"
"35859","2"
"35860","2"
"35861","2"
"35872","5"
"35873","5"
"35874","4"
"35878","2"
"35879","2"
"36945","1"
"36947","3"
"36948","2"
"36949","2"
"3730","1"
"37952","1"
"37964","2"
"37969","1"
"37970","1"
"37975","2"
"37976","1"
"37977","1"
"37980","2"
"37982","2"
"37983","1"
"38002","1"
"38005","1"
"38016","2"
"38024","2"
"38037","3"
"38040","3"
"38043","1"
"38045","2"
"38050","1"
"38053","3"
"38074","3"
"38078","4"
"38083","3"
"38085","3"
"38087","2"
"38106","1"
"38114","1"
"38120","3"
"38121","3"
