"Id","Rank"
"1017","2"
"1020","2"
"1440","2"
"1451","2"
"1530","2"
"1620","1"
"1676","2"
"1680","2"
"22018","2"
"22032","1"
"22033","2"
"22035","2"
"22071","2"
"22073","2"
"22087","1"
"22090","2"
"22093","2"
"22106","2"
"23136","2"
"24269","2"
"24354","1"
"25422","1"
"2704","2"
"2710","1"
"2716","2"
"27485","2"
"29555","2"
"30548","2"
"31543","2"
"31558","1"
"31559","1"
"32644","2"
"32766","1"
"33772","2"
"35859","2"
"35860","2"
"35861","2"
"35874","2"
"35878","2"
"35879","1"
"35916","2"
"38005","1"
"38037","2"
"38040","2"
"38050","2"
"38142","1"
"38159","2"
"38203","2"
"38238","2"
"38263","2"
"38344","2"
"38359","2"
"38363","2"
"38399","1"
"38408","2"
"38416","2"
"38420","2"
"38430","2"
"38451","2"
"38503","2"
"38507","2"
"38508","2"
"38509","2"
"38511","2"
"38512","2"
"38516","2"
"38679","2"
"38734","2"
"38824","2"
"38825","2"
"38827","2"
"38830","1"
"38831","2"
"38855","2"
"38869","2"
"38884","2"
"38911","2"
"38948","2"
"38992","2"
"39036","1"
"39052","2"
"39068","3"
"39072","2"
"39115","1"
"39116","2"
"39135","2"
"39136","2"
"39144","2"
"39150","2"
"39151","2"
"39152","2"
"39160","1"
"39176","2"
"39177","2"
"39186","2"
"39254","2"
"39265","2"
"39269","2"
"39293","2"
"39301","2"
"39311","2"
"39316","2"
"39323","1"
"39326","2"
"39362","2"
"39363","2"
"39364","2"
"39365","2"
"39366","2"
"39367","2"
"39369","2"
"39385","2"
"39442","2"
"39444","2"
"39445","2"
"39566","2"
"39568","2"
"39574","2"
"39600","2"
"39628","2"
"39723","2"
"39731","2"
"39760","2"
"39801","1"
"39829","2"
"39832","2"
"39847","2"
"39848","2"
"39852","2"
"39890","2"
"39911","2"
"39932","2"
"39952","2"
"39980","2"
"39991","2"
"39992","2"
"39994","2"
"40015","2"
"40016","2"
"40068","2"
"40070","2"
"40075","2"
"40100","2"
"40101","2"
"40103","2"
"40104","2"
"40121","2"
"40122","2"
"40138","2"
"40141","2"
"40165","2"
"40167","2"
"40175","2"
"40176","2"
"40201","2"
"40220","2"
"40233","2"
"40264","2"
"40289","2"
"40298","2"
"40313","2"
"40335","2"
"40355","2"
"40359","2"
"40433","2"
"40455","2"
"40469","2"
"40479","2"
"40485","2"
"40494","2"
"40500","2"
"40539","2"
"40550","2"
"40559","2"
"40585","2"
"40595","2"
"40621","2"
"40629","2"
"40641","2"
"40649","2"
"40700","2"
"40725","2"
"40731","2"
"40839","2"
"40840","2"
"40856","2"
"40871","2"
"40881","2"
"40889","2"
"40893","2"
"40894","2"
"40904","2"
"40912","2"
"40926","2"
"40930","2"
"40931","1"
"40935","2"
"40944","2"
"40955","2"
"40988","1"
"40991","1"
"40994","2"
"40996","2"
"41008","2"
"41009","2"
"41026","2"
"41045","2"
"41086","2"
"41093","2"
"41185","2"
"41206","2"
"41209","2"
"41233","2"
"41255","2"
"41301","2"
"41313","2"
"41335","2"
"41359","2"
"41360","2"
"41394","1"
"41405","2"
"41408","2"
"41412","2"
"41441","2"
"41443","2"
"41447","2"
"41483","2"
"41488","2"
"41502","2"
"41569","2"
"41618","2"
"41621","2"
"41629","2"
"41647","2"
"41655","2"
"41663","2"
"41685","2"
"41687","2"
"41702","2"
"41724","2"
"41726","1"
"41756","1"
"41838","2"
"41884","2"
"41906","2"
"41910","2"
"41911","1"
"41942","2"
"41943","2"
"41954","2"
"41957","2"
"41964","2"
"42041","2"
"42099","1"
"42121","2"
"42126","2"
"42237","2"
"42249","2"
"42250","2"
"42263","2"
"42278","1"
"42279","1"
"42283","2"
"42287","1"
"42289","2"
"42328","2"
"42341","2"
"42343","2"
"42354","2"
"42356","2"
"42360","2"
"42364","2"
"42373","2"
"42375","2"
"42385","2"
"42386","2"
"42387","2"
"42388","2"
"42389","2"
"42390","2"
"42392","2"
"441","2"
"445","2"
"446","2"
"454","2"
"4759","2"
"4773","2"
"4819","2"
"709","1"
"720","1"
"7828","2"
"919","2"
