"Id","Rank"
"100","1"
"102","1"
"117","1"
"119","2"
"120","1"
"122","1"
"129","1"
"130","1"
"133","2"
"135","1"
"139","1"
"140","2"
"141","1"
"142","1"
"144","1"
"149","2"
"15","1"
"150","1"
"154","2"
"155","2"
"156","1"
"159","1"
"162","1"
"17","1"
"19","2"
"206","1"
"207","1"
"209","1"
"21","1"
"212","1"
"214","1"
"216","1"
"218","1"
"221","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","1"
"228","1"
"229","1"
"230","1"
"231","1"
"232","1"
"233","1"
"234","1"
"235","1"
"236","1"
"237","1"
"238","1"
"247","1"
"249","1"
"253","1"
"254","1"
"255","1"
"256","2"
"257","1"
"258","1"
"259","1"
"260","1"
"261","1"
"262","1"
"263","1"
"264","1"
"265","1"
"266","1"
"267","1"
"268","1"
"269","1"
"27","1"
"271","1"
"272","1"
"273","1"
"274","1"
"275","1"
"276","1"
"277","1"
"279","1"
"28","2"
"282","1"
"283","1"
"29","1"
"30","1"
"31","1"
"32","1"
"35","1"
"36","1"
"37","1"
"40","2"
"41","1"
"44","1"
"47","1"
"49","1"
"52","1"
"53","1"
"54","1"
"58","1"
"59","1"
"6","1"
"60","1"
"65","1"
"67","1"
"68","1"
"7","2"
"71","1"
"72","1"
"75","2"
"82","1"
"87","1"
"89","1"
"9","1"
"91","1"
"92","1"
