"SiteId","RHI5","RHI10","RHI20","RGI5","RGI10","RGI20","TreesMeasuredCount","LastMeasurementDate","ContainsEntityWithCoordinates"
"1008","1.1611999969482422e+002",NULL,NULL,"1.0316666603088379e+001",NULL,NULL,"9","2010-10-19","1"
"1015","1.3409999999999999e+002","1.2809999999999999e+002","1.2034999999999999e+002","1.3601999855041504e+001","1.1644999885559082e+001","9.4174999475479133e+000","51","2011-03-26","0"
"1017","1.2759999999999999e+002","1.2295000000000000e+002","1.1367500000000000e+002","1.6765999984741210e+001","1.4800999927520753e+001","1.2503999996185303e+001","62","2011-10-24","0"
"1019","1.1515999908447266e+002","1.0962999954223633e+002",NULL,"1.0300000000000001e+001","8.4999999523162835e+000",NULL,"17","2011-12-26","1"
"1020","1.1850000000000000e+002","1.1350000000000000e+002",NULL,"1.0966666793823242e+001","9.5500000953674320e+000",NULL,"20","2009-12-16","1"
"1027","1.3055999908447265e+002","1.2244000015258788e+002",NULL,"1.1249999809265137e+001","9.6083332538604740e+000",NULL,"17","2008-04-15","1"
"1033",NULL,NULL,NULL,NULL,NULL,NULL,"23","2022-05-04","1"
"1048","1.2313999938964844e+002",NULL,NULL,"7.5600000381469723e+000",NULL,NULL,"14","2013-08-19","1"
"1049","1.3854000244140624e+002","1.3205000076293945e+002",NULL,"1.1495833206176759e+001","1.0247916650772094e+001",NULL,"17","2012-01-28","1"
"1054",NULL,NULL,NULL,NULL,NULL,NULL,"6","2011-10-08","0"
"10860",NULL,NULL,NULL,NULL,NULL,NULL,"2","2010-08-20","1"
"10861",NULL,NULL,NULL,NULL,NULL,NULL,"3","2010-08-20","1"
"10873",NULL,NULL,NULL,NULL,NULL,NULL,"2","2006-08-14","1"
"1088",NULL,NULL,NULL,NULL,NULL,NULL,"5","2012-02-26","0"
"1179","1.1590000000000001e+002","1.0892999954223633e+002",NULL,"7.2416666984558109e+000","6.7308333873748776e+000",NULL,"25","2012-04-03","1"
"1184","1.3719999999999999e+002","1.3209999999999999e+002",NULL,"1.0192000007629394e+001","8.6380000114440918e+000",NULL,"19","2011-11-11","1"
"11900","8.5139999389648438e+001",NULL,NULL,"8.1200001716613777e+000",NULL,NULL,"11","2008-10-01","1"
"1286",NULL,NULL,NULL,NULL,NULL,NULL,"13","2012-02-17","1"
"1305","4.3080000305175780e+001",NULL,NULL,"5.4083334445953373e+000",NULL,NULL,"8","2012-03-08","1"
"1309","5.9540000152587893e+001",NULL,NULL,"8.1533334255218506e+000",NULL,NULL,"13","2012-02-28","1"
"1316",NULL,NULL,NULL,NULL,NULL,NULL,"4","2012-02-23","1"
"1332",NULL,NULL,NULL,NULL,NULL,NULL,"10","2012-02-20","1"
"1440",NULL,NULL,NULL,NULL,NULL,NULL,"4","2012-03-06","1"
"1451",NULL,NULL,NULL,NULL,NULL,NULL,"4","2012-02-10","1"
"1461",NULL,NULL,NULL,NULL,NULL,NULL,"18","2012-03-05","1"
"1475","1.2930000000000001e+002","1.1213000030517578e+002",NULL,"1.0183333396911621e+001","8.2333333492279053e+000",NULL,"18","2011-02-18","1"
"14904","1.5133999938964843e+002","1.4275699920654296e+002","1.3258349952697753e+002","1.2816666793823241e+001","1.0766666746139526e+001","8.4166666984558098e+000","27","2011-11-06","1"
"1530","1.4292000122070311e+002","1.3430000076293945e+002",NULL,"1.2393333625793456e+001","9.9283335208892822e+000",NULL,"28","2020-12-11","1"
"1619",NULL,NULL,NULL,NULL,NULL,NULL,"13","2013-02-10","1"
"1620","1.1951999816894531e+002",NULL,NULL,"0.0000000000000000e+000",NULL,NULL,"11","2013-04-13","1"
"1622","1.0539999847412109e+002",NULL,NULL,"0.0000000000000000e+000",NULL,NULL,"19","2012-12-25","1"
"1624",NULL,NULL,NULL,NULL,NULL,NULL,"1","2012-09-16","1"
"1625",NULL,NULL,NULL,NULL,NULL,NULL,"1","2011-07-17","1"
"1626","1.1478000030517578e+002",NULL,NULL,"4.3200000762939457e+000",NULL,NULL,"10","2013-01-12","1"
"1627",NULL,NULL,NULL,NULL,NULL,NULL,"1","2013-04-21","1"
"1628",NULL,NULL,NULL,NULL,NULL,NULL,"1","2013-04-21","1"
"1631","1.3340000305175781e+002","1.2068000183105468e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"33","2012-02-26","1"
"1633",NULL,NULL,NULL,NULL,NULL,NULL,"15","2013-04-20","1"
"1634","1.1042000122070313e+002","9.7630000305175784e+001",NULL,"1.0360000419616700e+001","5.1800002098083500e+000",NULL,"39","2012-10-11","1"
"1635",NULL,NULL,NULL,NULL,NULL,NULL,"3","2012-10-08","1"
"1636","9.4720001220703125e+001","8.2910001373291010e+001",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"10","2012-12-16","1"
"1640","1.3099999694824220e+002","1.2482999877929687e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"31","2013-01-19","1"
"1644","1.4309999999999999e+002","1.3294999999999999e+002","1.1236499958038330e+002","7.7500000000000000e+000","4.7833333253860477e+000","2.3916666626930239e+000","47","2012-02-25","1"
"1646","1.3226000213623047e+002","1.2642000122070313e+002","1.1662000045776367e+002","0.0000000000000000e+000","0.0000000000000000e+000","0.0000000000000000e+000","40","2013-02-10","1"
"1647","1.2721999969482422e+002","1.1546999969482422e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"30","2013-01-20","1"
"1648","1.2590000000000001e+002","1.1962999954223633e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"26","2012-03-03","1"
"1649","1.3811999816894530e+002","1.2940999984741211e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"68","2013-02-09","1"
"1650","1.3659999694824219e+002","1.2954999847412108e+002","1.2237499885559082e+002","0.0000000000000000e+000","0.0000000000000000e+000","0.0000000000000000e+000","21","2013-01-20","1"
"1651","1.3743999786376952e+002","1.2970999984741212e+002","1.1902500038146972e+002","0.0000000000000000e+000","0.0000000000000000e+000","0.0000000000000000e+000","51","2013-03-08","1"
"1653","1.4675999755859374e+002","1.3402999877929687e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"64","2013-03-09","1"
"1670",NULL,NULL,NULL,NULL,NULL,NULL,"11","2013-03-01","1"
"1671",NULL,NULL,NULL,NULL,NULL,NULL,"7","2013-03-02","1"
"1672","1.3679999847412108e+002",NULL,NULL,"1.5199999809265137e+000",NULL,NULL,"20","2012-12-16","1"
"1673","1.2245999908447266e+002","1.1688999938964844e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"14","2012-12-02","1"
"1676",NULL,NULL,NULL,NULL,NULL,NULL,"6","2013-04-01","1"
"1677","8.2400000000000006e+001",NULL,NULL,"1.9600000381469727e+000",NULL,NULL,"13","2013-04-01","1"
"1678","6.6939999771118167e+001",NULL,NULL,"7.0800000190734860e+000",NULL,NULL,"27","2013-03-31","1"
"1679","1.2148000030517578e+002","1.1790000000000001e+002",NULL,"4.2399999618530275e+000","2.1199999809265138e+000",NULL,"41","2012-11-24","1"
"1680","1.2296000213623047e+002","1.1724000091552735e+002",NULL,"0.0000000000000000e+000","0.0000000000000000e+000",NULL,"27","2012-02-11","1"
"1682","1.2356000213623047e+002","1.1729000091552734e+002","1.0339500007629394e+002","0.0000000000000000e+000","0.0000000000000000e+000","0.0000000000000000e+000","20","2011-11-25","1"
"1683","1.2080000000000000e+002",NULL,NULL,"6.1999998092651365e-001",NULL,NULL,"22","2013-01-19","1"
"1726",NULL,NULL,NULL,NULL,NULL,NULL,"3","2011-11-10","1"
"1727","9.8339999389648440e+001",NULL,NULL,"8.6399997711181644e+000",NULL,NULL,"15","2011-10-23","1"
"1728",NULL,NULL,NULL,NULL,NULL,NULL,"8","2011-11-27","1"
"1730","1.4821999816894532e+002","1.3580999832153321e+002","1.0977999916076661e+002","1.3820000076293946e+001","1.1140000057220458e+001","8.1329167246818539e+000","79","2010-01-24","1"
"17929","6.2220000457763675e+001",NULL,NULL,"6.9583332538604736e+000",NULL,NULL,"8","2014-04-15","1"
"20950",NULL,NULL,NULL,NULL,NULL,NULL,"1","2012-03-01","1"
"20955","8.0620000457763666e+001",NULL,NULL,"7.9316666603088377e+000",NULL,NULL,"11","2014-06-11","1"
"22018",NULL,NULL,NULL,NULL,NULL,NULL,"3","2014-08-01","1"
"22021",NULL,NULL,NULL,NULL,NULL,NULL,"9","2014-08-01","1"
"22032",NULL,NULL,NULL,NULL,NULL,NULL,"6","2012-07-30","1"
"22033",NULL,NULL,NULL,NULL,NULL,NULL,"3","2012-07-30","1"
"22034",NULL,NULL,NULL,NULL,NULL,NULL,"7","2012-08-05","1"
"22035","7.8599999999999994e+001",NULL,NULL,"4.6700000762939453e+000",NULL,NULL,"6","2012-07-30","1"
"22036","7.7459999847412107e+001",NULL,NULL,"4.0700000286102291e+000",NULL,NULL,"10","2012-08-05","1"
"22037",NULL,NULL,NULL,NULL,NULL,NULL,"4","2012-07-30","1"
"22038",NULL,NULL,NULL,NULL,NULL,NULL,"4","2012-08-05","1"
"22039",NULL,NULL,NULL,NULL,NULL,NULL,"6","2012-08-05","1"
"22040",NULL,NULL,NULL,NULL,NULL,NULL,"7","2012-08-05","1"
"22041",NULL,NULL,NULL,NULL,NULL,NULL,"5","2012-08-05","1"
"22051",NULL,NULL,NULL,NULL,NULL,NULL,"6","2012-02-15","1"
"22052","1.2528000030517578e+002","1.0317000045776368e+002",NULL,"1.1059999847412110e+001","9.2008332729339593e+000",NULL,"65","2015-06-02","1"
"22070","9.4679998779296881e+001",NULL,NULL,"1.1783333206176758e+001",NULL,NULL,"7","2007-02-21","1"
"22071","9.0480000305175778e+001","7.3610000038146978e+001",NULL,"1.2033333396911621e+001","8.8550000667572029e+000",NULL,"10","2007-02-21","1"
"22073",NULL,NULL,NULL,NULL,NULL,NULL,"3","2007-02-21","1"
"22075","1.4346000061035156e+002","1.3330000000000001e+002",NULL,"1.5750000000000000e+001","1.2324999999999999e+001",NULL,"39","2014-06-14","1"
"22087","1.3191999969482421e+002","1.2009999999999999e+002",NULL,"1.0899999809265136e+001","9.1749999523162842e+000",NULL,"18","2004-12-28","1"
"22090","1.3707999877929689e+002",NULL,NULL,"9.9500000953674324e+000",NULL,NULL,"11","2005-01-03","1"
"22092",NULL,NULL,NULL,NULL,NULL,NULL,"5","2008-01-01","1"
"22093","1.4230000305175781e+002","1.3453000106811524e+002",NULL,"1.0960000228881835e+001","9.7716667175292962e+000",NULL,"21","2008-10-24","1"
"22103","1.0262000122070313e+002",NULL,NULL,"8.9166666030883786e+000",NULL,NULL,"38","2013-08-09","1"
"22106","1.5230000000000001e+002","1.4825999908447267e+002","1.4313000030517577e+002","1.4310000228881837e+001","1.2545000171661377e+001","1.1259000110626221e+001","585","2023-06-23","1"
"22107","0.0000000000000000e+000","0.0000000000000000e+000",NULL,"1.0569999885559081e+001","9.3950000286102302e+000",NULL,"11","2011-09-28","1"
"22108",NULL,NULL,NULL,NULL,NULL,NULL,"1","2014-06-09","1"
"22109",NULL,NULL,NULL,NULL,NULL,NULL,"1","2014-06-09","1"
"22113","1.2875999908447267e+002",NULL,NULL,"5.4249999999999998e+000",NULL,NULL,"6","2006-11-07","1"
"22114",NULL,NULL,NULL,NULL,NULL,NULL,"2","2006-11-06","1"
"22115",NULL,NULL,NULL,NULL,NULL,NULL,"5","2005-11-01","1"
"22116",NULL,NULL,NULL,NULL,NULL,NULL,"4","2005-11-01","1"
"22117","1.0841999969482421e+002",NULL,NULL,"8.5800000190734860e+000",NULL,NULL,"8","2004-02-17","1"
"22119",NULL,NULL,NULL,NULL,NULL,NULL,"6","2009-07-22","1"
"23133","1.1306000061035157e+002",NULL,NULL,"7.7000001907348636e+000",NULL,NULL,"8","2004-08-16","1"
"23136","1.3090000000000001e+002","1.2359999999999999e+002",NULL,"1.1146666717529296e+001","7.8066666603088377e+000",NULL,"15","2011-03-27","1"
"24220","1.3418000030517578e+002","1.2250000000000000e+002",NULL,"9.8699999809265133e+000","7.6350000381469725e+000",NULL,"17","2012-03-15","1"
"24269","1.3752000122070314e+002","1.3153000106811524e+002","1.1848500080108643e+002","1.2623333358764649e+001","1.1400000095367432e+001","8.7250000596046444e+000","131","2007-04-01","1"
"24272","1.1278000030517578e+002","9.3959999847412107e+001",NULL,"1.1181666564941406e+001","7.8558332562446598e+000",NULL,"21","2008-03-26","1"
"24279","1.2554000091552734e+002","1.1644000015258788e+002",NULL,"9.8000000000000007e+000","8.1216666698455811e+000",NULL,"27","2008-03-26","1"
"24339","1.2881999969482422e+002","1.2365999984741211e+002","1.0783499946594239e+002","1.4579999923706055e+001","1.2038333225250245e+001","8.3783332884311683e+000","97","2008-03-18","1"
"24354","1.2548000030517578e+002","1.1628000030517578e+002",NULL,"1.1426666450500488e+001","9.1816666603088386e+000",NULL,"63","2006-09-08","1"
"25410",NULL,NULL,NULL,NULL,NULL,NULL,"5","2014-08-27","1"
"25422","9.7640000915527338e+001","9.2690000152587885e+001","8.1320000839233401e+001","6.9333333969116211e+000","5.7866667270660397e+000","4.3570833742618564e+000","40","2015-02-01","1"
