"StateId","RHI5","RHI10","RHI20","RGI5","RGI10","RGI20","TreesMeasuredCount","LastMeasurementDate","ContainsEntityWithCoordinates"
"1","1.4102000122070314e+002","1.3877000122070314e+002","1.3222500038146973e+002","1.7000000381469725e+001","1.4458333587646484e+001","1.1801833486557006e+001","148","2024-04-20","1"
"10","1.2204000091552734e+002","1.1447000045776367e+002",NULL,"1.2566666603088379e+001","1.0324999952316285e+001",NULL,"24","2013-12-13","1"
"100",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"101",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"102",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"11","2.0046000366210939e+002","1.7901000366210937e+002","1.2490000190734864e+002","1.4982666397094727e+001","1.2965833091735840e+001","9.3737499117851257e+000","171","2024-07-10","1"
"117",NULL,NULL,NULL,NULL,NULL,NULL,"10","2017-04-27","1"
"118",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"119","9.5060000610351565e+001","7.5510000228881836e+001",NULL,"1.5138333606719971e+001","9.6791668415069587e+000",NULL,"18","2016-01-28","1"
"12","1.3278000183105468e+002","1.2672000045776367e+002","1.1292499961853028e+002","2.0556666564941406e+001","1.7355833339691163e+001","1.3284166669845581e+001","45","2020-09-23","1"
"120",NULL,NULL,NULL,NULL,NULL,NULL,"2","2014-02-12","1"
"121",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"122","1.1442000122070313e+002","9.5670000457763678e+001",NULL,"5.4183332920074463e+000","3.4341666460037232e+000",NULL,"15","2016-01-24","1"
"123",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"124","8.4240000915527347e+001","6.8760000228881836e+001",NULL,"1.1678332901000976e+001","9.0824997901916511e+000",NULL,"18","2014-11-03","1"
"125",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"126",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"127",NULL,NULL,NULL,NULL,NULL,NULL,"2","2013-12-13","1"
"128",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"129",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"13","1.4291999816894531e+002","1.3724999923706054e+002","1.2885499992370606e+002","1.4681666374206543e+001","1.3709166431427002e+001","1.1821249961853027e+001","162","2017-02-25","1"
"130",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"131",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"133",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"134",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"135",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"136",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"137","7.6059999084472651e+001",NULL,NULL,"8.9100001335144050e+000",NULL,NULL,"7","2014-10-24","1"
"139",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"14",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"140",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"141",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"142",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"143",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"144",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"145",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"146",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"147",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"148",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"149",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"15","1.6100000000000000e+002","1.5303999938964844e+002","1.4619000015258788e+002","1.8270000076293947e+001","1.6843500041961669e+001","1.4885666704177856e+001","799","2025-09-20","1"
"150",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"151",NULL,NULL,NULL,NULL,NULL,NULL,"2","2010-01-01","1"
"152","5.2559999084472658e+001",NULL,NULL,"6.8799999237060545e+000",NULL,NULL,"5","2017-09-12","1"
"153",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"154",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"155",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"156",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"157",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"158",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"159",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"16","1.1974000091552735e+002","1.0967000045776368e+002",NULL,"1.3331333541870118e+001","1.0077666807174683e+001",NULL,"36","2025-01-08","1"
"160",NULL,NULL,NULL,NULL,NULL,NULL,"4","2017-09-17","1"
"161",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"162",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"17","1.4927999877929687e+002","1.3869999847412109e+002","1.2847499885559083e+002","1.7565000152587892e+001","1.5962500095367432e+001","1.3553749990463256e+001","549","2019-06-30","1"
"18","1.5309999999999999e+002","1.4886999816894530e+002","1.4163999938964844e+002","2.0243333435058595e+001","1.7754999923706055e+001","1.5239583349227905e+001","771","2022-09-08","1"
"19","1.0246000061035156e+002","8.6780000305175776e+001",NULL,"9.2166665077209480e+000","6.7083332538604736e+000",NULL,"71","2021-10-13","1"
"2","1.3938000183105470e+002","1.3548000030517579e+002","1.3094499969482422e+002","2.3199999999999999e+001","1.8901666641235352e+001","1.5496666622161865e+001","296","2016-09-05","1"
"20","1.2621286163330078e+002","1.1578364868164063e+002","1.0471090583801269e+002","1.2929330635070801e+001","1.1454827404022216e+001","9.5028980493545525e+000","108","2017-06-23","1"
"203",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"204",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"205",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"206",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"207","8.7799999999999997e+001",NULL,NULL,"9.8366666793823239e+000",NULL,NULL,"11","2016-03-30","1"
"208",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"209",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"21","1.1275999908447265e+002","1.0262999954223633e+002","7.3399999618530273e+001","1.8133333206176758e+001","1.5349999904632568e+001","1.1283333277702331e+001","123","2016-05-11","1"
"210",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"211",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"212",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"213",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"214",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"215",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"216",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"217",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"218",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"219",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"22","1.4162000122070313e+002","1.3681000213623048e+002","1.3019500083923339e+002","2.0565000534057617e+001","1.8315833663940431e+001","1.5525666809082031e+001","153","2022-11-26","1"
"220",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"221",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"222",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"223",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"224",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"225","7.9319999694824219e+001",NULL,NULL,"9.8266667366027836e+000",NULL,NULL,"10","2016-03-24","1"
"226",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"227",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"228",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"229",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
