"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Cherry","Prunus serotina var. serotina","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119245","1","","","","Public - state","116.2'","Clinometer/laser rangefinder/sine","6.5'","78''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Black Cherry","Prunus serotina var. serotina","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119246","1","","","","Public - state","118.7'","Clinometer/laser rangefinder/sine","8.5'","102''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Cucumber-Tree","Magnolia acuminata","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119247","1","","","","Public - state","105.2'","Clinometer/laser rangefinder/sine","7.2'","86''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Cucumber-Tree","Magnolia acuminata","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119248","1","","","","Public - state","110.8'","Clinometer/laser rangefinder/sine","8.1'","97''","","Along Irish Rock Trail","Dale Luthringer","2005-10-25","","N"
"Cucumber-Tree","Magnolia acuminata","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119249","1","","","","Public - state","118.9'","Clinometer/laser rangefinder/sine","7.6'","91''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Eastern Hemlock","Tsuga canadensis","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119250","1","","","","Public - state","103.9'","Clinometer/laser rangefinder/sine","7.9'","95''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Eastern White Pine","Pinus strobus","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119251","1","","","","Public - state","117.2'","Clinometer/laser rangefinder/sine","8.6'","103''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Eastern White Pine","Pinus strobus","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119252","1","","","","Public - state","129.9'","Clinometer/laser rangefinder/sine","9.7'","116''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","41 20.506","-079 06.124","","","119253","1","41 20.506","-079 06.124","","Public - state","105.3'","Clinometer/laser rangefinder/sine","12.6'","151''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","","","","","119254","1","","","","Public - state","111.0'","Clinometer/laser rangefinder/sine","10.0'","120''","","Along River Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","41 20.479","-079 05.868","","","119255","1","41 20.479","-079 05.868","","Public - state","118.2'","Clinometer/laser rangefinder/sine","13.4'","161''","","Height is Not Less Than (NLT)
Along Irish Rock Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","41 20.466","-079 05.882","","","119256","1","41 20.466","-079 05.882","","Public - state","122.6'","Clinometer/laser rangefinder/sine","8.5'","102''","","Along Irish Rock Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","41 20.474","-079 05.892","","","119257","1","41 20.474","-079 05.892","","Public - state","122.7'","Clinometer/laser rangefinder/sine","7.4'","89''","","Along Irish Rock Trail","Dale Luthringer","2005-10-25","","N"
"Northern Red Oak","Quercus rubra","Pennsylvania","Jefferson","Clear Creek State Park","41 20.477","-079 05.888","","","119258","1","41 20.477","-079 05.888","","Public - state","126.7'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Dale Luthringer","2005-10-25","","N"
