"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Balsam Fir","Abies balsamea","Maine","Hancock","Blackwoods Campground","44 18.595","-068 12.221","","","256805","1","44 18.595","-068 12.221","","Public - federal","44.7'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Turner Sharp","2021-10-13","","N"
"Balsam Fir","Abies balsamea","Maine","Hancock","Blackwoods Campground","44 18.596","-068 12.221","","","256806","1","44 18.596","-068 12.221","","Public - federal","45.4'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Turner Sharp","2021-10-13","","N"
"Balsam Fir","Abies balsamea","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235314","1","","","","Public - federal","57.7'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Balsam Fir","Abies balsamea","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235315","1","","","","Public - federal","67.7'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Balsam Fir","Abies balsamea","Maine","Penobscot","Sunkhaze Meadows National Wildlife Refuge","","","11,446 Acres","","235316","1","","","","Public - federal","68.3'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Jess Riddle","2006-11-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmaine%2Fsunkhaze_meadows_nwr.htm","N"
"Balsam Fir","Abies balsamea","Minnesota","Itasca","""Lost 40"" Of Chippewa National Forest","","","Scientific and Natural Area","","233308","1","","","","Public - federal","80.7'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Don Bragg","2005-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fnorthern_adv%2Fgreat_northern_adventure.htm","N"
"Balsam Fir","Abies balsamea","New York","Essex","Schroon River","","","","","263831","1","","","","Public - federal","103.9'","Clinometer/laser rangefinder/sine","4.7'","56''","","Tree wind thrown sometime after measurement.","Elijah Whitcomb","2020-06-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7763%26sid%3D0e83623e84671b75292b9e528eea126c","N"
"Balsam Fir","Abies balsamea","New York","Franklin","Ampersand Basin","","","Trees measured on 10/22 2019, E. Whitcomb
 9/8/2020. 9/9/2020, 9/13/2020,9/14/2020, E. Danielson. 10/22","","264497","1","","","","Public - state","96.5'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Erik Danielson, Elijah Whitcomb, Rob Leverett","2017-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8730%26sid%3Daef53288401235d377d10dca07017ed8%23p44543","N"
"Balsam Fir","Abies balsamea","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","265933","1","","","","Public-Private","80.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2015-06-16","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
"Balsam Fir","Abies balsamea","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","257033","1","","","","Public-Private","89.6'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Dale Luthringer","2005-10-19","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
