"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Balsam Fir","Abies balsamea var. balsamea","New York","Cortland","Morgan Hill State Forest","","","","","204962","1","","","","Public","97.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-20","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Cherry Patch Pond","","","","","228325","1","","","","Public","77.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Cherry Patch Pond","","","","","228326","1","","","","Public","82.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Cherry Patch Pond","","","","","228316","1","","","","Public","85.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Cherry Patch Pond","","","","","228315","1","","","","Public","89.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2014-10-21","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Cherry Patch Pond","44 17.398","-073 56.557","","","228334","1","44 17.398","-073 56.557","1755.0 ft","Public","108.7'","Clinometer/laser rangefinder/sine","5.7'","68''","17.0'","","Elijah Whitcomb","2014-10-21","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Forest Preserve","","","","","210543","1","","","","Public","103.9'","Clinometer/laser rangefinder/sine","4.8'","58''","","Tree is dead as of 6/7/20","Elijah Whitcomb","2016-07-16","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","Huntington Forest, Newcomb, NY","","","","","211740","1","","","","Public","85.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-09-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7044","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Essex","NY Rt. 28N","43 11.830","-075 00.879","","","204929","1","43 11.830","-075 00.879","","Private","104.6'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Elijah Whitcomb","2015-07-11","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Franklin","Ampersand Mountain","","","","","205080","1","","","","Public","94.5'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","228311","1","","","","Public-Private","80.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2016-07-04","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Franklin","Elders Grove, Paul Smiths, NY","","","","","228314","1","","","","Public-Private","97.5'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Elijah Whitcomb","2016-07-04","ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D4359%26sid%3Dc908254de7b41a1baee6e37162e8896b%26start%3D10%23p38133","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Hamilton","Pine Orchard","","","","","207812","1","","","","Public","90.3'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2016-06-11","","N"
"Balsam Fir","Abies balsamea var. balsamea","New York","Hamilton","Powley Road","43 19.501","-074 38.481","","","213670","1","43 19.501","-074 38.481","1750.0 ft","Public","100.6'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Elijah Whitcomb","2020-08-02","","N"
