"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"White Fir","Abies concolor","Arizona","Coconino","Aspen Corner Trails","","","","","226325","1","","","8900.0 ft","Public - Federal","89.9'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Turner Sharp","2015-06-08","","N"
"White Fir","Abies concolor","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226286","1","","","8800.0 ft","Public National Forest","45.1'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Fir","Abies concolor","Arizona","Coconino","Demotte Campground","","","Trees measured were 100 200 yards South West of the campground. It appears the forest Service had a fuel reduction cut in this area targeting mostly the smaller and defective white firs.","","226287","1","","","","Public National Forest","59.9'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Turner Sharp","2014-01-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Fir","Abies concolor","Arizona","Coconino","FS 230","","","Trees near Forest Service road (FS 230) near the intersection of FS 462","","226270","1","","","8800.0 ft","Public - National Forest","42.6'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Turner Sharp, Mike Higgs","2014-06-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Fir","Abies concolor","Arizona","Coconino","FS 230","","","Trees near Forest Service road (FS 230) near the intersection of FS 462","","226269","1","","","8800.0 ft","Public - National Forest","43.3'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Turner Sharp, Mike Higgs","2014-06-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Fir","Abies concolor","Arizona","Coconino","FS 230","","","Trees near Forest Service road (FS 230) near the intersection of FS 462","","226267","1","","","8800.0 ft","Public - National Forest","68.1'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Turner Sharp, Mike Higgs","2014-06-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"White Fir","Abies concolor","Arizona","Coconino","West Fork Of Oak Creek","","","Trees measured were in first two miles upstream of confluence with Oak Creek","","226340","1","","","5400.0 ft","Public","82.9'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Turner Sharp","2015-06-12","","N"
"White Fir","Abies concolor","Arizona","Coconino","West Fork Of Oak Creek","","","Trees measured were in first two miles upstream of confluence with Oak Creek","","226341","1","","","5400.0 ft","Public","98.7'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Turner Sharp","2015-06-12","","N"
"White Fir","Abies concolor","Arizona","Pima","Santa Catalina Mountains","32 26.877","-110 46.745","","","226298","1","32 26.877","-110 46.745","8200.0 ft","Public - National Forest","88.8'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp, Denise Sharp","2012-02-02","","N"
"White Fir","Abies concolor","Colorado","La Plata","Hermosa Creek","","","","","242475","1","","","","Public - federal","157.5'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Matt Markworth, Will Blozan, Chris Morris","2014-08-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"White Fir","Abies concolor","Colorado","La Plata","Hermosa Creek","37 27.719","-107 51.726","","","242411","2","37 27.719","-107 51.726","","Public - federal","163.5'","Clinometer/laser rangefinder/sine","9.8'","117''","27.8'","Jones Creek
Coordinates are a place holder.","Matt Markworth, Matt Markworth, Will Blozan, Chris Morris","2016-10-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D70%26t%3D6506%26sid%3Dd12da352a71ab3f57d4787641af75f65%23p38703","N"
"White Fir","Abies concolor","Idaho","Idaho","Devoto Memorial Grove","46 32.393","-114 40.466","","","226316","1","46 32.393","-114 40.466","","Public","","Clinometer/laser rangefinder/sine","8.8'","106''","","","Turner Sharp","2018-07-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"White Fir","Abies concolor","Idaho","Idaho","Powell Campground","46 30.733","-114 43.281","","","226250","1","46 30.733","-114 43.281","3400.0 ft","Public","129.0'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Turner Sharp","2018-07-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"White Fir","Abies concolor","Nevada","Clark","Lee Canyon","","","","","243301","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.4'","101''","","","Matt Markworth, Chris Chris","2015-03-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6940%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"White Fir","Abies concolor","Nevada","Clark","Lee Canyon","","","","","243303","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","8.3'","100''","","","Matt Markworth, Chris Chris","2015-03-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6940%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"White Fir","Abies concolor","Nevada","Clark","Lee Canyon","","","","","243300","1","","","","Public - federal","88.2'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Matt Markworth, Chris Chris","2015-03-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6940%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"White Fir","Abies concolor","Nevada","Clark","Lee Canyon","","","","","243304","1","","","","Public - federal","99.0'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth, Chris Chris","2015-03-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6940%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"White Fir","Abies concolor","Nevada","Clark","Lee Canyon","","","","","243302","1","","","","Public - federal","114.0'","Clinometer/laser rangefinder/sine","9.8'","117''","","","Matt Markworth, Chris Chris","2015-03-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D99%26t%3D6940%26sid%3D2aa8d95cf84c105653e07533a17a4e04","N"
"White Fir","Abies concolor","New York","Monroe","Durand Eastman Park","43 13.641","-077 33.420","","","281905","1","43 13.641","-077 33.420","370.0 ft","Public","110.4'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Elijah Whitcomb","2020-10-05","","N"
"White Fir","Abies concolor","New York","Monroe","Durand Eastman Park","","","","","281825","1","","","","Public","113.0'","Clinometer/laser rangefinder/sine","8.3'","100''","","Dead as of 10/20","Elijah Whitcomb","2020-10-05","","N"
"White Fir","Abies concolor","Ohio","Summit","Chestnut Hill Memorial Park","","","","","160819","1","","","","Private","84.0'","Clinometer/laser rangefinder/sine","","","","","Steve Galehouse","2009-11-23","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F6406a60608c8c88f%3Fhl%3Den","N"
