"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"White Fir","Abies concolor var. lowiana","California","Mariposa","Tioga Pass Rd.","37 46.560","-119 45.127","","","318119","1","37 46.560","-119 45.127","6890.0 ft","Public","209.2'","Clinometer/laser rangefinder/sine","16.2'","194''","","","Elijah Whitcomb","2024-07-15","","N"
"White Fir","Abies concolor var. lowiana","California","Mariposa","Tuolumne Grove Trail","37 45.572","-119 48.380","","","318129","1","37 45.572","-119 48.380","6200.0 ft","Public","218.8'","Clinometer/laser rangefinder/sine","","","","Debris around base","Elijah Whitcomb","2024-07-15","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.261","-116 41.350","","","320701","1","33 47.261","-116 41.350","8215.0 ft","Public","100.2'","Clinometer/laser rangefinder/sine","12.1'","146''","","","Elijah Whitcomb","2025-01-17","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.617","-116 42.474","","","320700","1","33 47.617","-116 42.474","8400.0 ft","Public","138.7'","Clinometer/laser rangefinder/sine","14.1'","169''","","","Elijah Whitcomb","2025-01-17","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 48.022","-116 41.988","","","320702","1","33 48.022","-116 41.988","8875.0 ft","Public","142.0'","Clinometer/laser rangefinder/sine","14.9'","179''","","","Elijah Whitcomb","2025-01-17","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 47.631","-116 42.486","","","320699","1","33 47.631","-116 42.486","8390.0 ft","Public","148.3'","Clinometer/laser rangefinder/sine","18.3'","219''","","Dead top","Elijah Whitcomb","2025-01-17","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Long Valley","33 48.610","-116 38.421","","","320705","1","33 48.610","-116 38.421","8365.0 ft","Public","122.2'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Elijah Whitcomb","2025-01-18","","N"
"White Fir","Abies concolor var. lowiana","California","Riverside","Mt. San Jacinto Long Valley","33 48.623","-116 38.458","","","320706","1","33 48.623","-116 38.458","8380.0 ft","Public","134.8'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2025-01-18","","N"
"White Fir","Abies concolor var. lowiana","California","Tulare","Sequoia National Park","","","","","274334","1","","","","Public","230.6'","Clinometer/laser rangefinder/sine","","","","CA-198","Elijah Whitcomb","2022-07-11","","N"
"White Fir","Abies concolor var. lowiana","California","Tulare","Sequoia National Park","","","","","274335","1","","","","Public","242.1'","Clinometer/laser rangefinder/sine","","","","Giant Forest; dead top","Elijah Whitcomb","2022-07-11","","N"
