"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227252","1","","","","Public - national","53.2'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227253","1","","","","Public - national","56.8'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227254","1","","","","Public - national","58.7'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227255","1","","","","Public - national","60.2'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227256","1","","","","Public - national","60.5'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227257","1","","","","Public - national","60.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227251","1","","","","Public - national","64.8'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Shining Rock Wilderness","","","18,483 Acres.","","227057","1","","","","Public - national","39.2'","Clinometer/laser rangefinder/sine","2.8'","33''","","","Jess Riddle","2004-04-20","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fshining_rock_wilderness.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Haywood","Shining Rock Wilderness","","","18,483 Acres.","","227058","1","","","","Public - national","46.5'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2004-04-20","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fshining_rock_wilderness.htm","N"
"Fraser Fir","Abies fraseri","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227750","1","","","","Public - national","44.7'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
