"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Benewah","White Pine Scenic Byway","","","","","296909","1","","","","Public (Forest Service)","148.9'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-20","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Benewah","White Pine Scenic Byway","","","","","296910","1","","","","Public (Forest Service)","162.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-20","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Benewah","White Pine Scenic Byway","","","","","296911","1","","","","Public (Forest Service)","176.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-09-20","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Clearwater","Floodwood State Forest","46 57.028","-115 54.866","","","318045","1","46 57.028","-115 54.866","2740.0 ft","Public","208.3'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2024-07-09","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Shoshone","St. Joe River Road","47 13.084","-115 34.047","","","318061","1","47 13.084","-115 34.047","2855.0 ft","Public","176.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2024-07-08","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Valley","Ponderosa State Park","44 56.211","-116 04.828","","","318075","1","44 56.211","-116 04.828","5095.0 ft","Public","134.0'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Elijah Whitcomb","2024-07-10","","N"
"Grand Fir","Abies grandis var. idahoensis","Idaho","Valley","Ponderosa State Park","44 56.359","-116 04.469","","","318076","1","44 56.359","-116 04.469","5095.0 ft","Public","150.7'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Elijah Whitcomb","2024-07-10","","N"
"Grand Fir","Abies grandis var. idahoensis","Montana","Lincoln","Pleasant Valley Campground, Kootenai National Forest","48 02.489","-115 17.459","","","296888","1","48 02.489","-115 17.459","3065.0 ft","Public","103.1'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2022-07-04","","N"
"Grand Fir","Abies grandis var. idahoensis","Montana","Lincoln","Ross Creek Scenic Area Giant Cedars","48 12.519","-115 54.887","","","297924","1","48 12.519","-115 54.887","2920.0 ft","Public","130.8'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Elijah Whitcomb","2023-06-12","","N"
"Grand Fir","Abies grandis var. idahoensis","Montana","Mineral","Little Joe Road","47 16.291","-115 08.166","","","318056","1","47 16.291","-115 08.166","2805.0 ft","Public","148.3'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Elijah Whitcomb","2024-07-08","","N"
"Grand Fir","Abies grandis var. idahoensis","Montana","Sanders","Noxon Rapids Reservoir","47 58.432","-115 43.528","","","296959","1","47 58.432","-115 43.528","2430.0 ft","Public","131.6'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Elijah Whitcomb","2023-06-13","","N"
"Grand Fir","Abies grandis var. idahoensis","Washington","Chelan","Icicle Creek Trail","47 36.741","-120 56.970","","","296903","1","47 36.741","-120 56.970","2805.0 ft","Public","138.4'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Elijah Whitcomb","2022-07-06","","N"
"Grand Fir","Abies grandis var. idahoensis","Washington","Chelan","U.S. Highway 2 Wayside","47 47.426","-120 52.493","","","296897","1","47 47.426","-120 52.493","2410.0 ft","Public","202.4'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Elijah Whitcomb","2022-07-06","","N"
"Grand Fir","Abies grandis var. idahoensis","Washington","Chelan","U.S. Highway 2 Wayside","47 47.424","-120 52.484","","","296898","1","47 47.424","-120 52.484","2405.0 ft","Public","215.6'","Clinometer/laser rangefinder/sine","10.2'","122''","","","Elijah Whitcomb","2022-07-06","","N"
"Grand Fir","Abies grandis var. idahoensis","Washington","Chelan","White Pine Creek Trail","47 45.824","-120 56.224","","","296946","1","47 45.824","-120 56.224","2920.0 ft","Public","198.6'","Clinometer/laser rangefinder/sine","13.3'","159''","","","Elijah Whitcomb","2023-06-13","","N"
"Grand Fir","Abies grandis var. idahoensis","Washington","Yakima","Pleasant Valley Campground","46 56.548","-121 19.596","","","296920","1","46 56.548","-121 19.596","3372.0 ft","Public (Forest Service)","183.4'","Clinometer/laser rangefinder/sine","11.1'","133''","","","Elijah Whitcomb","2020-09-16","","N"
