"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Barbershop Spring","","","","","137146","1","","","","Public - Federal","123.0'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Turner Sharp","2016-09-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D7872","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136792","1","","","9200.0 ft","Public - federal","66.2'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Turner Sharp","2012-03-04","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","35 19.610","-111 42.692","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136811","1","35 19.610","-111 42.692","","Public - federal","69.7'","Clinometer/laser rangefinder/sine","4.4'","53''","","Tree is dead, bark intact.","Turner Sharp","2016-09-11","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","35 19.603","-111 42.697","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136742","2","35 19.603","-111 42.697","","Public - federal","80.5'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Turner Sharp, Turner Sharp","2016-09-11","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","35 19.605","-111 42.695","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136810","1","35 19.605","-111 42.695","","Public - federal","84.7'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Turner Sharp","2016-09-11","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136793","1","","","9200.0 ft","Public - federal","86.3'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2012-03-04","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136794","1","","","9200.0 ft","Public - federal","87.2'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Turner Sharp","2012-03-04","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136795","1","","","9200.0 ft","Public - federal","90.0'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Turner Sharp","2012-03-04","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136813","1","","","","Public - federal","105.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Turner Sharp","2016-09-11","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","Arizona","Coconino","Snow Bowl","","","Trees were measured along the Kachina Trail which was formerly named the Anasazi Trail.","","136809","1","","","","Public - federal","109.8'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Turner Sharp","2016-09-11","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","New Mexico","Santa Fe","Hyde Memorial Park","35 47.387","-105 48.533","","","318006","1","35 47.387","-105 48.533","10320.0 ft","Public","89.5'","Clinometer/laser rangefinder/sine","4.8'","57''","","may be var. lasiocarpa","Elijah Whitcomb","2024-07-18","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","New Mexico","Santa Fe","Hyde Memorial Park","35 47.530","-105 48.317","","","318005","1","35 47.530","-105 48.317","10175.0 ft","Public","114.3'","Clinometer/laser rangefinder/sine","5.6'","67''","","tree is dead; may be var. lasiocarpa","Elijah Whitcomb","2024-07-18","","N"
"Corkbark Fir","Abies lasiocarpa var. arizonica","New York","Monroe","Highland Park","43 08.022","-077 36.287","","","226020","1","43 08.022","-077 36.287","580.0 ft","Public","63.3'","Clinometer/laser rangefinder/sine","","","","Multiple trunks","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
