"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Colorado","Clear Creek","Mizpah Campground","39 46.442","-105 47.628","","","56034","1","39 46.442","-105 47.628","9720.0 ft","Public - Federal","","","3.5'","42''","","","Turner Sharp","2006-08-15","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Colorado","Clear Creek","Mizpah Campground","","","","","56035","1","","","9720.0 ft","Public - Federal","","","3.0'","36''","","","Turner Sharp","2006-08-15","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Colorado","Denver","Colorado Single Tree Sites","40 18.295","-105 38.309","","","242522","1","40 18.295","-105 38.309","9100.0 ft","Public - Private","97.4'","Clinometer/laser rangefinder/sine","","","","Measured by T. Sharp 6/14/2016. Tree located near Trail to Alberta Falls in Rocky Mountain National Park.","Various Various","2000-07-01","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Colorado","Larimer","Cub Lake Trail","","","Portions of the park are also in Grand and Boulder counties.Except for the Alder and Water Birch all the trees measured were on a glacial feature (Morain) elevated from the valley floor 10- 50'","","126296","1","","","8100.0 ft","Public - National Park","66.5'","Clinometer/laser rangefinder/sine","2.1'","25''","","Tree was a double fused stem at BH. The largest stem was measured.","Turner Sharp","2016-06-17","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Colorado","Larimer","Storm Pass Trail","40 19.135","-105 37.145","Portions of the park are also in Grand and Boulder counties.","","126183","1","40 19.135","-105 37.145","8000.0 ft","Public - National Park","59.2'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2016-06-16","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Idaho","Idaho","Powell Campground","","","","","220367","1","","","3400.0 ft","Public","90.4'","","4.3'","52''","","","Turner Sharp","2014-08-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D77%26t%3D8385%26p%3D42607%23p42607","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Wyoming","Teton","Colter Bay Area","43 54.202","-110 38.632","","","126264","1","43 54.202","-110 38.632","6800.0 ft","Public - National Park","77.9'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Turner Sharp, Susan Sharp","2016-06-19","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Wyoming","Teton","Colter Bay Area","","","","","126266","1","","","6800.0 ft","Public - National Park","78.5'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Turner Sharp, Susan Sharp","2016-06-19","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Wyoming","Teton","Colter Bay Area","","","","","126265","1","","","6800.0 ft","Public - National Park","80.4'","Clinometer/laser rangefinder/sine","4.2'","51''","","","Turner Sharp, Susan Sharp","2016-06-19","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Wyoming","Teton","String Lake Trailhead","43 47.037","-110 43.715","","","58830","1","43 47.037","-110 43.715","6800.0 ft","Public - Federal","62.1'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Turner Sharp","2010-08-20","","N"
"Subalpine Fir","Abies lasiocarpa var. lasiocarpa","Yukon","None","Watson Lake Campground","","","","","75004","1","","","2329.4 ft","Public","94.3'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Turner Sharp, John Fichtner","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
