"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"California Red Fir","Abies magnifica","California","El Dorado","Lake Tahoe","","","Trees along Highway 89 on west side of Lake Tahoe.","","268388","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","25.3'","304''","","Tree along Highway 89 on west side of Lake Tahoe.","Mark Collins","2012-10-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D4647%23p19803","N"
"California Red Fir","Abies magnifica","California","Mariposa","Glacier Point Rd.","37 40.077","-119 35.349","","","318127","1","37 40.077","-119 35.349","7280.0 ft","Public","205.3'","Clinometer/laser rangefinder/sine","16.9'","203''","","Dead top","Elijah Whitcomb","2024-07-15","","N"
"California Red Fir","Abies magnifica","California","Mariposa","Glacier Point Rd.","37 39.846","-119 40.127","","","318128","1","37 39.846","-119 40.127","7205.0 ft","Public","220.2'","Clinometer/laser rangefinder/sine","14.2'","170''","","Dead top","Elijah Whitcomb","2024-07-15","","N"
"California Red Fir","Abies magnifica","California","Mariposa","Tioga Pass Rd.","37 48.765","-119 34.409","","","318116","1","37 48.765","-119 34.409","8275.0 ft","Public","175.8'","Clinometer/laser rangefinder/sine","15.2'","182''","","Dead top","Elijah Whitcomb","2024-07-15","","N"
"California Red Fir","Abies magnifica","California","Mariposa","Tioga Pass Rd.","37 48.749","-119 34.395","","","318117","1","37 48.749","-119 34.395","8275.0 ft","Public","195.4'","Clinometer/laser rangefinder/sine","17.5'","210''","","","Elijah Whitcomb","2024-07-15","","N"
"California Red Fir","Abies magnifica","California","Mariposa","Tioga Pass Rd.","37 51.005","-119 37.652","","","318118","1","37 51.005","-119 37.652","8315.0 ft","Public","198.3'","Clinometer/laser rangefinder/sine","19.3'","231''","","","Elijah Whitcomb","2024-07-15","","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241861","1","","","","Public - federal","175.0'","Clinometer/laser rangefinder/sine","19.1'","229''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241859","1","","","","Public - federal","195.8'","Clinometer/laser rangefinder/sine","15.9'","191''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241860","1","","","","Public - federal","199.1'","Clinometer/laser rangefinder/sine","14.3'","172''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241862","1","","","","Public - federal","203.4'","Clinometer/laser rangefinder/sine","14.3'","172''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241863","1","","","","Public - federal","204.1'","Clinometer/laser rangefinder/sine","16.9'","203''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241864","1","","","","Public - federal","205.1'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241865","1","","","","Public - federal","207.7'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
"California Red Fir","Abies magnifica","California","Plumas","Mt Pleasant Research Natural Area","","","1416 acres in research area.
Plumas National Forest 1,146,000 acres.
Near Bucks Lake","","241866","1","","","","Public - federal","213.8'","Clinometer/laser rangefinder/sine","16.3'","195''","","","Jess Riddle","2016-02-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7528%26sid%3D4106ab83f170225091abc7159b0910a3","N"
