"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Nordmann Fir","Abies nordmanniana","New York","Dutchess","Vanderbilt Estate At Hyde Park","","","","","186262","1","","","","Public","107.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-02-11","","N"
"Nordmann Fir","Abies nordmanniana","New York","Monroe","Highland Park","43 07.979","-077 36.326","","","226005","1","43 07.979","-077 36.326","600.0 ft","Public","103.1'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Nordmann Fir","Abies nordmanniana","New York","Monroe","Lakeview Cemetery","43 11.541","-077 56.331","","","236104","1","43 11.541","-077 56.331","660.0 ft","Public","71.5'","Clinometer/laser rangefinder/sine","","","","Multiple trunks","Elijah Whitcomb","2021-03-07","","N"
"Nordmann Fir","Abies nordmanniana","New York","Ontario","Glenwood Cemetery","42 50.867","-076 58.882","","","229186","1","42 50.867","-076 58.882","490.0 ft","Public","102.3'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2020-12-27","","N"
"Nordmann Fir","Abies nordmanniana","New York","Wyoming/Livingston","Letchworth State Park","","","","","217763","1","","","","Public","107.5'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"Nordmann Fir","Abies nordmanniana","New York","Wyoming/Livingston","Letchworth State Park","42 35.345","-078 02.173","","","217764","1","42 35.345","-078 02.173","1250.0 ft","Public","116.7'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Elijah Whitcomb","2020-10-11","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7878","N"
"Nordmann Fir","Abies nordmanniana","Pennsylvania","Bucks","Dilly's Corner","","","Dilly's Corner is located between New Hope and Lumberville along the Delaware River and across the river from Stockton, NJ","","133211","1","","","","Private","69.1'","Clinometer/laser rangefinder/sine","7.8'","94''","27.0'","","Scott Wade","2006-02-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fnew_hope.htm","N"
"Nordmann Fir","Abies nordmanniana","Pennsylvania","Delaware","Wallinford - East Brookhaven Road","","","","","134443","1","","","","Private","88.8'","Clinometer/laser rangefinder/sine","11.5'","138''","39.0'","","Scott Wade., Rick Ray","2008-12-02","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fwallingford_pa_trees.htm","N"
"Nordmann Fir","Abies nordmanniana","Pennsylvania","Warren","Anders Run Natural Area","","","","","119540","1","","","1200.0 ft","State - public","75.0'","Clinometer/laser rangefinder/sine","","","","Originally identified as Balsam Fir","Dale Luthringer","2004-04-14","","N"
"Nordmann Fir","Abies nordmanniana","Pennsylvania","Warren","Anders Run Natural Area","","","","","119541","1","","","1200.0 ft","State - public","91.8'","Clinometer/laser rangefinder/sine","6.8'","82''","","Originally identified as Balsam Fir","Dale Luthringer","2004-04-14","","N"
