"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Noble Fir","Abies procera","New York","Monroe","Highland Park","43 07.971","-077 36.086","","","226040","1","43 07.971","-077 36.086","585.0 ft","Public","86.2'","Clinometer/laser rangefinder/sine","8.6'","103''","","Var. glauca","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Noble Fir","Abies procera","Oregon","Hood River","Lost Lake Resort","","","Mt. Hood National Forest","","318019","1","","","3220.0 ft","Public","217.8'","Clinometer/laser rangefinder/sine","","","","base fused with A. amabilis","Elijah Whitcomb","2024-07-12","","N"
"Noble Fir","Abies procera","Oregon","Hood River","Lost Lake Resort","45 29.372","-121 48.838","Mt. Hood National Forest","","318020","1","45 29.372","-121 48.838","3305.0 ft","Public","218.1'","Clinometer/laser rangefinder/sine","17.2'","206''","","","Elijah Whitcomb","2024-07-12","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 09.705","-122 17.284","","","296615","1","46 09.705","-122 17.284","2931.0 ft","Public (Forest Service)","222.8'","Clinometer/laser rangefinder/sine","23.0'","276''","","","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.611","-122 15.892","","","296631","1","46 10.611","-122 15.892","3525.0 ft","Public (Forest Service)","232.3'","Clinometer/laser rangefinder/sine","16.9'","203''","","Blue Lake","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.271","-122 16.322","","","296620","1","46 10.271","-122 16.322","3075.0 ft","Public (Forest Service)","238.0'","Clinometer/laser rangefinder/sine","20.6'","248''","","","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.629","-122 15.911","","","296632","1","46 10.629","-122 15.911","3545.0 ft","Public (Forest Service)","238.5'","Clinometer/laser rangefinder/sine","","","","Blue Lake","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.862","-122 15.932","","","296635","1","46 10.862","-122 15.932","3660.0 ft","Public (Forest Service)","238.5'","Clinometer/laser rangefinder/sine","20.0'","240''","","Blue Lake","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.714","-122 15.895","","","296633","1","46 10.714","-122 15.895","3575.0 ft","Public (Forest Service)","238.6'","Clinometer/laser rangefinder/sine","16.0'","192''","","Blue Lake","Elijah Whitcomb","2023-06-15","","N"
"Noble Fir","Abies procera","Washington","Cowlitz","Goat Marsh RNA","46 10.676","-122 15.916","","","296634","1","46 10.676","-122 15.916","3560.0 ft","Public (Forest Service)","240.6'","Clinometer/laser rangefinder/sine","14.3'","172''","","Blue Lake","Elijah Whitcomb","2023-06-15","","N"
