"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Freeman Maple","Acer ×freemanii","New York","Cattaraugus","Zoar Valley","","","","","221871","1","","","","Public","94.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Freeman Maple","Acer ×freemanii","New York","Cattaraugus","Zoar Valley","","","","","221870","1","","","","Public","99.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Freeman Maple","Acer ×freemanii","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281054","1","","","","Public - state","98.0'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Freeman Maple","Acer ×freemanii","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281053","1","","","","Public - state","103.0'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Freeman Maple","Acer ×freemanii","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281009","1","","","","Public - state","107.0'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Freeman Maple","Acer ×freemanii","New York","Onondaga","Long Branch Park","","","","","230447","1","","","","Public","104.6'","Clinometer/laser rangefinder/sine","8.8'","105''","","Measured 11/2/14 by Elijah Whitcomb.","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Freeman Maple","Acer ×freemanii","New York","Onondaga","Long Branch Park","","","","","263380","1","","","","Public","104.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2015-11-26","","N"
"Freeman Maple","Acer ×freemanii","New York","Onondaga","Long Branch Park","43 07.094","-076 15.049","","","230463","1","43 07.094","-076 15.049","370.0 ft","Public","117.3'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Freeman Maple","Acer ×freemanii","New York","Tompkins","Fuertes Bird Sanctuary","","","Part of Stewart Park, City of Ithaca, NY.","","280409","1","","","","Public","","Clinometer/laser rangefinder/sine","13.8'","165''","","","Tom Howard, Elijah Whitcomb, Jess Riddle","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6400","N"
"Freeman Maple","Acer ×freemanii","New York","Tompkins","Fuertes Bird Sanctuary","","","Part of Stewart Park, City of Ithaca, NY.","","280418","1","","","","Public","117.0'","Clinometer/laser rangefinder/sine","11.8'","141''","","Height is Not Less Then(NLT)","Tom Howard, Elijah Whitcomb, Jess Riddle","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6400","N"
