"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","Indian Tomb Hollow","","","181,230 acres in the Bankhead National Forest","","233717","1","","","","Public - federal","96.4'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","Sispey River Picnic Area","","","","","233693","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.4'","65''","","","Zack Stewart","2007-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fsipsey_river_picnic_area.htm","N"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233861","1","","","","Public - federal","97.8'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233862","1","","","","Public - federal","107.8'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233863","1","","","","Public - federal","110.0'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Sugar Maple","Acer floridanum","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233864","1","","","","Public - federal","114.8'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Southern Sugar Maple","Acer floridanum","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243097","1","","","","Public - federal","91.5'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Southern Sugar Maple","Acer floridanum","Georgia","Floyd","Rome And Floyd County","","","","","243215","1","","","","Private","77.1'","Clinometer/laser rangefinder/sine","12.0'","144''","","Berry College Campus","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Southern Sugar Maple","Acer floridanum","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","243321","1","","","","Public - state","93.2'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Jess Riddle","2004-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Southern Sugar Maple","Acer floridanum","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","243322","1","","","","Public - state","94.4'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Jess Riddle","2004-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
"Southern Sugar Maple","Acer floridanum","South Carolina","Abbeville","Long Crane Creek","","","Some trees were measured along Big Curtail Creek(BCC) and will be indicated so under comments.","","237842","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","4.7'","56''","","","Jess Riddle","2002-05-16","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flong_cane_creek1.htm","N"
"Southern Sugar Maple","Acer floridanum","South Carolina","Abbeville","Long Crane Creek","","","Some trees were measured along Big Curtail Creek(BCC) and will be indicated so under comments.","","237849","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.4'","65''","","LCC","Jess Riddle","2002-05-16","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flong_cane_creek1.htm","N"
"Southern Sugar Maple","Acer floridanum","South Carolina","Abbeville","Long Crane Creek","","","Some trees were measured along Big Curtail Creek(BCC) and will be indicated so under comments.","","237850","1","","","","Public - federal","65.6'","Clinometer/laser rangefinder/sine","5.3'","64''","","LCC","Jess Riddle","2002-05-16","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flong_cane_creek1.htm","N"
"Southern Sugar Maple","Acer floridanum","South Carolina","Abbeville","Long Crane Creek","","","Some trees were measured along Big Curtail Creek(BCC) and will be indicated so under comments.","","237903","1","","","","Public - federal","73.4'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Jess Riddle","2003-01-26","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flong_cane_creek1.htm","N"
"Southern Sugar Maple","Acer floridanum","South Carolina","Abbeville","Long Crane Creek","","","Some trees were measured along Big Curtail Creek(BCC) and will be indicated so under comments.","","237851","1","","","","Public - federal","84.9'","Clinometer/laser rangefinder/sine","6.3'","76''","","BCC","Jess Riddle","2002-05-16","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Flong_cane_creek1.htm","N"
"Southern Sugar Maple","Acer floridanum","West Virginia","Wood","Wood County Single Tree Sites","39 16.277","-081 33.300","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","315037","1","39 16.277","-081 33.300","","Public and private","58.2'","Clinometer/laser rangefinder/sine","8.5'","102''","42.0'","Measured by T. Sharp 1/8/2021. Tree is long Julianna Street near the intersection of 11th Street, Parkersburg.","Turner Sharp","2000-01-01","","N"
