"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Boxelder","Acer negundo","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283515","1","","","","Public - city","74.2'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Boxelder","Acer negundo","Colorado","Moffat","Green River Corridor - CO","","","Trees were measured at Gates of Lodore Campground at mile 243.7, Wade and Curtis Camp at mile 241, Wild Mountain Camp at mile 229.4, Stateline Camp at mile 219.7. Mileage is measured upriver from the railroad bridge in Green River, Utah.","","126242","1","","","5400.0 ft","Public-National Monument","34.5'","Clinometer/laser rangefinder/sine","1.9'","23''","","Tree at Wade and Curtis campsite","Turner Sharp","2015-07-24","","N"
"Boxelder","Acer negundo","Georgia","Putnam","Rock Creek","","","","","234441","1","","","","Public - federal","78.3'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Boxelder","Acer negundo","Georgia","Putnam","Rock Creek","","","","","234442","1","","","","Public - federal","81.9'","Clinometer/laser rangefinder/sine","5.3'","63''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Boxelder","Acer negundo","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165563","1","","","560.0 ft","Public - Boone County Court","69.1'","Clinometer/laser rangefinder/sine","5.2'","62''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Boxelder","Acer negundo","Minnesota","Hennepin","Clifton E. French Regional Park","","","30 Acres","","239922","1","","","","Public - regional park","81.0'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Tre Clim","2014-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D6302%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8%23p28584","N"
"Boxelder","Acer negundo","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220649","1","","","","Private","","Clinometer/laser rangefinder/sine","6.3'","76''","","","Jess Riddle","2013-11-03","","N"
"Boxelder","Acer negundo","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220648","1","","","","Private","81.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"Boxelder","Acer negundo","New York","Chautauqua","Canadaway Creek","","","","","262239","1","","","","Public - state","53.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Boxelder","Acer negundo","New York","Chautauqua","Canadaway Creek","","","","","262238","1","","","","Public - state","57.5'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
