"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Boxelder","Acer negundo var. negundo","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174809","1","","","","Public - federal","70.4'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Boxelder","Acer negundo var. negundo","District of Columbia","District Of Columbia","Theodore Roosevelt Island","38 53.857","-077 03.932","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128210","1","38 53.857","-077 03.932","50.0 ft","Public - National Park","89.4'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Boxelder","Acer negundo var. negundo","Kentucky","Edmonson","Mammoth Cave National Park","37 09.896","-086 09.259","","","297396","1","37 09.896","-086 09.259","450.0 ft","Public","76.4'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2023-06-23","","N"
"Boxelder","Acer negundo var. negundo","Kentucky","Edmonson","Mammoth Cave National Park","37 13.043","-086 03.662","","","297560","1","37 13.043","-086 03.662","440.0 ft","Public","90.8'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Elijah Whitcomb","2023-06-23","","N"
"Boxelder","Acer negundo var. negundo","Kentucky","Edmonson","Mammoth Cave National Park","37 10.982","-086 10.464","","","297397","1","37 10.982","-086 10.464","370.0 ft","Public","91.3'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Elijah Whitcomb","2023-06-23","","N"
"Boxelder","Acer negundo var. negundo","Kentucky","Edmonson","Mammoth Cave National Park","37 10.304","-086 08.407","","","297660","1","37 10.304","-086 08.407","640.0 ft","Public","101.8'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2023-06-23","","N"
"Boxelder","Acer negundo var. negundo","Maryland","Anne Arundel","Chase Creek Woods","","","","","280936","1","","","","Private","59.5'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Colby Rucker","2003-07-01","","N"
"Boxelder","Acer negundo var. negundo","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","39 13.646","-076 43.473","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","230925","1","39 13.646","-076 43.473","","Public - state park","","","7.7'","92''","","","Matthew Hannum","2007-04-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"Boxelder","Acer negundo var. negundo","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","230926","1","","","","Public - state park","","","7.8'","94''","","","Matthew Hannum","2007-04-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"Boxelder","Acer negundo var. negundo","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128450","1","","","","Public - State","27.8'","Clinometer/laser rangefinder/sine","0.8'","9''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Boxelder","Acer negundo var. negundo","Missouri","Mississippi","Big Oak Tree State Park","36 38.557","-089 17.720","","","283691","1","36 38.557","-089 17.720","285.0 ft","Public","57.3'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2022-11-26","","N"
"Boxelder","Acer negundo var. negundo","New York","Cattaraugus","Zoar Valley","","","","","221868","1","","","","Public","45.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Bucks","Dark Hollow Park","","","","","166239","1","","","","Public - county","78.0'","Clinometer/laser rangefinder/sine","3.9'","47''","","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Fayette","Hewitt Island","","","Island is in the Youghiogheny River near Perryopolis.","","224755","1","","","","Public","48.0'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Edward Franks, Steve Halow","2010-08-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D154%26t%3D1279","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Fayette","Hewitt Island","","","Island is in the Youghiogheny River near Perryopolis.","","224751","1","","","","Public","82.0'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Edward Franks, Steve Halow","2010-08-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D154%26t%3D1279","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Montgomery","John James Audobon Center At Mill Grove","","","130 Acres with nine miles of trails.
Trees were also measured on 12/14/2008.","","134311","1","","","","Private","77.4'","Clinometer/laser rangefinder/sine","2.9'","35''","","","George Fieo","2008-12-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fpa_audubon_wildlife_sanctuary.htm","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","139760","1","","","","Private","","Clinometer/laser rangefinder/sine","9.7'","116''","","","George Fieo","2008-11-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
"Boxelder","Acer negundo var. negundo","Pennsylvania","Venango","Fort Michaux - Franklin","","","","","116151","1","","","1000.0 ft","Public - city","20.2'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Dale Luthringer","2008-09-05","","N"
"Boxelder","Acer negundo var. negundo","South Carolina","Edgefield","Turkey Creek","","","Trees measured were close to Modocd","","236867","1","","","","Public - federal","71.2'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fsumter%2Fsumter_national_forest_sc.htm","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Davidson","Edwin & Percy Warner Parks","36 04.290","-086 52.475","","","315825","1","36 04.290","-086 52.475","840.0 ft","Public","85.1'","Clinometer/laser rangefinder/sine","8.2'","98''","","May be dead","Elijah Whitcomb","2024-01-28","","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Davidson","Radnor Lake State Park","36 03.917","-086 47.815","","","323302","1","36 03.917","-086 47.815","900.0 ft","Public","93.8'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2026-01-10","","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Franklin","Lost Cove","35 09.287","-085 54.648","","","313887","1","35 09.287","-085 54.648","1100.0 ft","Public","75.8'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2023-12-09","","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Jackson","Wash Morgan Hollow","","","73 Acres","","227979","1","","","","Private","71.2'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Jess Riddle","2005-11-21","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Ftennessee%2Fwash_morgan_hollow.htm","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 38.117","-089 50.796","","","320502","1","35 38.117","-089 50.796","395.0 ft","Public","90.3'","Clinometer/laser rangefinder/sine","3.6'","43''","","","Elijah Whitcomb","2024-12-14","","N"
"Boxelder","Acer negundo var. negundo","Tennessee","Scott","Big South Fork","36 32.659","-084 39.798","","","323562","1","36 32.659","-084 39.798","910.0 ft","NPS","67.3'","Clinometer/laser rangefinder/sine","4.2'","51''","","","Elijah Whitcomb","2026-03-28","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","54 Counties","West Virginia Historical Trees","38 29.017","-081 15.924","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312049","1","38 29.017","-081 15.924","","Public and Private","47.6'","Clinometer/laser rangefinder/sine","10.1'","121''","110.0'","Last measured by T. Oxley, T. Sharp, R. Strickland on 3/11/2010.Tree dead by 2016.
Tree located in front yard along residence along Elk River Road","Various Various","1963-01-01","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","54 Counties","West Virginia Single Tree Sites","39 20.742","-078 45.482","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313208","1","39 20.742","-078 45.482","800.0 ft","Private & Publc","49.6'","Clinometer/laser rangefinder/sine","12.8'","154''","53.0'","Measured by D. Kesner, J. Bowen 5/2020 along Sioux Street, Romney, Hampshire County.","Various Various","1963-01-01","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","54 Counties","West Virginia Single Tree Sites","","","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313146","1","","","","Private & Publc","67.6'","Clinometer/laser rangefinder/sine","12.6'","151''","88.9'","Measured by H. Peddicord on 12/2/2013 on grounds of the National Conservation Training center (NCTC) near Shepherdstown, Jefferson County.","Various Various","1963-01-01","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Kanawha","Sunrise Carriage Trail","","","","","141561","1","","","710.0 ft","Public- City","74.4'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp","2014-03-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D6336","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Ritchie","Bottomland Along North Fork Of Hughes River","","","","","274528","1","","","680.0 ft","Public - state","60.2'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Turner Sharp","2011-12-09","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Wood","Blennerhassett Island State Historical Park","","","","","306299","1","","","590.0 ft","Public - state","55.4'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Turner Sharp, Susan Sharp","2010-11-11","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Wood","Blennerhassett Island State Historical Park","39 16.269","-081 35.951","","","272880","1","39 16.269","-081 35.951","590.0 ft","Public - state","58.4'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Turner Sharp, Tom Connelly","2017-05-09","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Wood","City Park","39 16.356","-081 31.537","","","203674","3","39 16.356","-081 31.537","","City","37.0'","Clinometer/laser rangefinder/sine","10.4'","125''","","Tree has dead top.
Circumference taken a 1 1/2'","Turner Sharp, Sarah Friend, Turner Sharp, Turner Sharp","2018-10-13","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Wood","J. T. J. Preserve - Bottomland","39 16.566","-081 30.711","Trees on this section of the preserve are subject to annual flooding lasting for a day and up to two weeks.","","140841","2","39 16.566","-081 30.711","","Public - city","64.5'","Clinometer/laser rangefinder/sine","3.7'","45''","","","Turner Sharp, Turner Sharp","2016-11-20","","N"
"Boxelder","Acer negundo var. negundo","West Virginia","Wood","Neal Island","","","The upstream end of island has some mature trees. Parts ff the island  has healthy stands of Japaneese Knotweee 8-10 feet tall with occasional patches of stinging nettles.
Access by boat.","","271701","1","","","590.0 ft","Public - national","77.0'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Turner Sharp","2011-12-19","","N"
