"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Black Maple","Acer nigrum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.137","-086 12.645","","","297769","1","37 12.137","-086 12.645","390.0 ft","Public","71.5'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Elijah Whitcomb","2023-06-23","","N"
"Black Maple","Acer nigrum","New York","Cattaraugus","Zoar Valley","","","","","221847","1","","","","Public","126.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Black Maple","Acer nigrum","New York","Cayuga","Fort Hill Cemetery","42 55.396","-076 34.273","","","214913","1","42 55.396","-076 34.273","735.0 ft","Public","82.1'","Clinometer/laser rangefinder/sine","9.4'","112''","","","Elijah Whitcomb","2020-09-07","","N"
"Black Maple","Acer nigrum","New York","Cayuga","Fort Hill Cemetery","42 55.562","-076 34.239","","","214912","1","42 55.562","-076 34.239","805.0 ft","Public","84.7'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Elijah Whitcomb","2020-09-07","","N"
"Black Maple","Acer nigrum","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242679","1","","","","Public","66.2'","Clinometer/laser rangefinder/sine","3.6'","44''","","","Elijah Whitcomb","2021-05-17","","N"
"Black Maple","Acer nigrum","New York","Chautauqua","Canadaway Creek","","","","","262272","1","","","","Public - state","60.5'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Erik Danielson","2019-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Black Maple","Acer nigrum","New York","Chautauqua","Canadaway Creek","","","","","262271","1","","","","Public - state","68.5'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Erik Danielson","2019-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Black Maple","Acer nigrum","New York","Chautauqua","Canadaway Creek","","","","","262270","1","","","","Public - state","84.5'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Erik Danielson","2019-01-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Black Maple","Acer nigrum","New York","Chautauqua","Chautauqua Creek Gorge","","","Trees measured during visits on 2/9/2019, 3/6/2019","","264165","1","","","","Public - state","96.4'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2018-05-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8107%26start%3D10%26sid%3D147272388024481ad73b800144c5c8ae","N"
"Black Maple","Acer nigrum","New York","Chautauqua","Chautauqua Creek Gorge","","","Trees measured during visits on 2/9/2019, 3/6/2019","","264197","1","","","","Public - state","114.0'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Erik Danielson","2018-05-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8107%26start%3D10%26sid%3D147272388024481ad73b800144c5c8ae","N"
