"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Striped Maple","Acer pensylvanicum","Maine","Hancock","Blackwoods Campground","44 18.591","-068 12.218","","","256807","1","44 18.591","-068 12.218","","Public - federal","41.0'","Clinometer/laser rangefinder/sine","1.2'","14''","","","Turner Sharp","2021-10-13","","N"
"Striped Maple","Acer pensylvanicum","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227259","1","","","","Public - national","","Clinometer/laser rangefinder/sine","3.1'","37''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Striped Maple","Acer pensylvanicum","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227260","1","","","","Public - national","","Clinometer/laser rangefinder/sine","3.2'","39''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Big Basin","","","","","264861","1","","","","Public - state","49.0'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Erik Danielson","2019-04-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8543%26start%3D20%26sid%3Dbc15a04e1c5a2e8ee05f8b7d15e76b09","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Trackless West","","","A White Pine on Pine Creek was measured on 12/31/2019","","281341","1","","","","Public - state","21.0'","Clinometer/laser rangefinder/sine","0.6'","7''","","","Erik Danielson","2017-10-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8116%26sid%3D75c3cd14aea4e263f5660ee32feb86dd","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Trackless West","","","A White Pine on Pine Creek was measured on 12/31/2019","","281374","1","","","","Public - state","38.5'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Erik Danielson","2017-10-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8116%26sid%3D75c3cd14aea4e263f5660ee32feb86dd","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Trackless West","","","A White Pine on Pine Creek was measured on 12/31/2019","","281373","1","","","","Public - state","47.0'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Erik Danielson","2017-10-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8116%26sid%3D75c3cd14aea4e263f5660ee32feb86dd","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Zoar Valley","","","","","221839","1","","","","Public","27.3'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Striped Maple","Acer pensylvanicum","New York","Cattaraugus","Zoar Valley","","","","","221854","1","","","","Public","55.5'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Striped Maple","Acer pensylvanicum","New York","Essex","Hoffman Notch Wilderness","","","","","221360","1","","","","Public","54.0'","Clinometer/laser rangefinder/sine","1.6'","19''","","","Elijah Whitcomb","2017-09-16","","N"
"Striped Maple","Acer pensylvanicum","New York","Essex","Pharaoh Lake Wilderness","","","","","214329","1","","","","Public","49.8'","Clinometer/laser rangefinder/sine","1.4'","17''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Striped Maple","Acer pensylvanicum","New York","Franklin","Ampersand Mountain","","","","","205081","1","","","","Public","61.6'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Striped Maple","Acer pensylvanicum","New York","Franklin","High Peaks Wilderness","","","275,40  acres located in franklin and Essex Counties.","","265376","1","","","","Public - state","61.6'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Erik Danielson","2017-11-30","","N"
"Striped Maple","Acer pensylvanicum","New York","Oswego","Curtiss-Gale WMA","","","","","221376","1","","","","Public","62.3'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Elijah Whitcomb","2019-05-21","","N"
"Striped Maple","Acer pensylvanicum","New York","Tompkins","Robert H. Treman State Park","42 24.891","-076 33.560","","","212992","1","42 24.891","-076 33.560","715.0 ft","Public","46.3'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Elijah Whitcomb","2019-06-10","","N"
"Striped Maple","Acer pensylvanicum","New York","Tompkins","Smith Woods","","","","","221293","1","","","","Public","53.8'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb, Tom Howard","2020-10-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7265","N"
