"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Norway Maple","Acer platanoides","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283508","1","","","","Public - city","65.9'","Clinometer/laser rangefinder/sine","7.2'","86''","","Near Florian Gate","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Norway Maple","Acer platanoides","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283512","1","","","","Public - city","93.3'","Clinometer/laser rangefinder/sine","10.2'","123''","","Tree is north of Wewel Hill.","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Norway Maple","Acer platanoides","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283486","1","","","","Public - federal","114.7'","Clinometer/laser rangefinder/sine","13.5'","162''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Norway Maple","Acer platanoides","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283487","1","","","","Public - federal","122.0'","Clinometer/laser rangefinder/sine","12.1'","145''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Norway Maple","Acer platanoides","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128447","1","","","","Public - State","59.3'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Norway Maple","Acer platanoides","New York","Brooklyn","Prospect Park","","","Measurements were made 8/8/2016 and 3/12/2017","","280525","1","","","","Public - county","108.6'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2016-04-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7638%26sid%3D60eba587880cce73bb509f21b4be94c1%23p38399","N"
"Norway Maple","Acer platanoides","New York","Cayuga","Fort Hill Cemetery","42 55.393","-076 34.270","","","214914","1","42 55.393","-076 34.270","735.0 ft","Public","73.8'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2020-09-07","","N"
"Norway Maple","Acer platanoides","New York","Chenango","Mt. Hope Cemetery, Norwich","","","","","124452","1","","","","Private","60.1'","Clinometer/laser rangefinder/sine","13.0'","156''","","","Elijah Whitcomb","2016-05-21","","N"
"Norway Maple","Acer platanoides","New York","Madison","Shackelton Point","","","","","221001","1","","","","Private","","Clinometer/laser rangefinder/sine","15.5'","186''","","","Elijah Whitcomb, Tom Howard","2015-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7323","N"
"Norway Maple","Acer platanoides","New York","Monroe","Washington Grove City Park","","","","","211702","1","","","","Public","106.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-12-12","www.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3263%26sid%3D3803bc1bcaa14bd290e6457a0afd92d0%26start%3D40%23p43745","N"
"Norway Maple","Acer platanoides","New York","Onondaga","Long Branch Park","","","","","230443","1","","","","Public","71.7'","Clinometer/laser rangefinder/sine","6.8'","81''","","Measured 11/2/14 by Elijah Whitcomb.","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Norway Maple","Acer platanoides","New York","Onondaga","Long Branch Park","","","","","263386","1","","","","Public","71.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2015-11-26","","N"
"Norway Maple","Acer platanoides","New York","Putnam","West Point Foundry Preserve","","","","","185976","1","","","","Public","114.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-14","","N"
"Norway Maple","Acer platanoides","New York","Putnam","West Point Foundry Preserve","","","","","185975","1","","","","Public","122.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-14","","N"
"Norway Maple","Acer platanoides","Pennsylvania","Chester","Cedar Hollow Preserve","","","","","142977","1","","","","Conservancy","94.9'","Clinometer/laser rangefinder/sine","3.7'","44''","","","George Fieo","2009-03-14","","N"
"Norway Maple","Acer platanoides","Pennsylvania","Chester/Montgomery","Valley Forge National Park","","","","","143218","1","","","","Public, National Park","90.8'","Clinometer/laser rangefinder/sine","11.7'","140''","","Chester County","George Fieo","2009-01-20","","N"
