"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Red Maple","Acer rubrum","Delaware","New Castle","Brandywine Creek State Park","","","","","142910","1","","","","State","104.2'","Clinometer/laser rangefinder/sine","10.3'","124''","","","George Fieo","2011-01-09","","N"
"Red Maple","Acer rubrum","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232123","1","","","","Public - federal","105.9'","Clinometer/laser rangefinder/sine","8.7'","104''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Red Maple","Acer rubrum","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232124","1","","","","Public - federal","121.1'","Clinometer/laser rangefinder/sine","4.4'","53''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Red Maple","Acer rubrum","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232125","1","","","","Public - federal","126.4'","Clinometer/laser rangefinder/sine","7.4'","89''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Red Maple","Acer rubrum","Georgia","Fulton","Leita Thompson Memorial Park","","","107 Acres","","249281","1","","","","Public - city","116.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5097%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Red Maple","Acer rubrum","Indiana","Jennings","Tribett's Woods Nature Preserve","","","Known as ""flatwoods timber"" this tract grows on ""white clay flats"" which is loess clay derived sol which is wet in the spring and dry in the fal.l","","174062","1","","","","Private","","Clinometer/laser rangefinder/sine","8.8'","106''","","","Matt Markworth","2013-02-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D5077","N"
"Red Maple","Acer rubrum","Kentucky","Harlan","Blanton Forest Nature Preserve","","","","","138353","1","","","","Public -  State","121.7'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Robert Leverett","2007-06-16","http%3A%2F%2Fwww.nativetreesociety.org%2Fevents%2Fkentucky2007%2Fgoing_south.htm","N"
"Red Maple","Acer rubrum","Kentucky","Laurel","Rock Creel Research Area","","","1,062 acres of which about 190 acres is old growth","","76435","1","","","820.0 ft","Public - National Forest","128.0'","Clinometer/laser rangefinder/sine","7.6'","92''","","","Jess Riddle","2006-11-07","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fanglin_falls.htm","N"
"Red Maple","Acer rubrum","Kentucky","Menifee","Red River Gorge","","","Tree was measured in the Clifty Wilderness.","","232325","1","","","","Public - federal","129.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Matt Markworth","2016-01-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7437%26sid%3D29c48802a639a76198bc62819e1475c2%26start","N"
"Red Maple","Acer rubrum","Massachusetts","Berkshire","Chickley River Valley","","","Trees were measured on the public lands of Savoy Mountain State Park, Kenneth M. Dubuque State Park and some private land.","","250152","1","","","","Public-Private","111.9'","Clinometer/laser rangefinder/sine","6.0'","72''","","","John Knuerr","2011-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D3262%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032%23p13071","N"
