"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Red Maple","Acer rubrum var. rubrum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.554","-086 12.026","","","297373","1","37 13.554","-086 12.026","590.0 ft","Public","108.3'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2023-06-23","","N"
"Red Maple","Acer rubrum var. rubrum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.532","-086 07.899","","","297420","1","37 12.532","-086 07.899","790.0 ft","Public","113.5'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"Red Maple","Acer rubrum var. rubrum","Kentucky","Edmonson","Mammoth Cave National Park","37 11.273","-086 09.149","","","297730","1","37 11.273","-086 09.149","685.0 ft","Public","123.8'","Clinometer/laser rangefinder/sine","6.9'","83''","","","Elijah Whitcomb","2023-06-23","","N"
"Red Maple","Acer rubrum var. rubrum","Kentucky","Trigg","Hematite Lake","36 53.824","-088 01.904","","","322698","1","36 53.824","-088 01.904","335.0 ft","Public","118.7'","Clinometer/laser rangefinder/sine","8.5'","101''","","","Elijah Whitcomb","2025-09-20","","N"
"Red Maple","Acer rubrum var. rubrum","Massachusetts","Franklin","Mohawk Trail State Forest","42 38.236","-072 56.342","","","19227","1","42 38.236","-072 56.342","910.0 ft","DCR","114.4'","Clinometer/laser rangefinder/sine","8.4'","101''","55.0'","","Robert Leverett, Bart Bouricius","2011-10-16","","N"
"Red Maple","Acer rubrum var. rubrum","Massachusetts","Franklin","Mohawk Trail State Forest","42 38.236","-072 56.342","","","19226","1","42 38.236","-072 56.342","920.0 ft","DCR","125.2'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Robert Leverett, Bart Bouricius","2011-10-16","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Cattaraugus","Zoar Valley","","","","","221806","1","","","","Public","114.4'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Red Maple","Acer rubrum var. rubrum","New York","Cattaraugus","Zoar Valley","","","","","221818","1","","","","Public","120.6'","Clinometer/laser rangefinder/sine","","","","Measured in Alexander Preserve by Erik Danielsen","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Red Maple","Acer rubrum var. rubrum","New York","Cattaraugus","Zoar Valley","","","","","221844","1","","","","Public","128.6'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Red Maple","Acer rubrum var. rubrum","New York","Essex","Hoffman Notch Wilderness","","","","","221363","1","","","","Public","114.3'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Elijah Whitcomb","2017-09-16","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Essex","Pharaoh Lake Wilderness","","","","","214303","1","","","","Public","106.4'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Red Maple","Acer rubrum var. rubrum","New York","Hamilton","Pine Orchard","","","","","207822","1","","","","Public","99.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2016-06-11","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Hamilton","Pine Orchard","","","","","207823","1","","","","Public","99.4'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2016-06-11","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Hamilton","Powley Road","43 18.159","-074 39.462","","","213669","1","43 18.159","-074 39.462","1750.0 ft","Public","91.7'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2020-08-02","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Abraham Lincoln Park","","","","","323100","1","","","","Public","125.4'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Elijah Whitcomb","2025-12-26","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Durand Eastman Park","","","","","281808","1","","","","Public","128.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2020-10-05","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Ellison Park","43 08.609","-077 30.937","","","323145","1","43 08.609","-077 30.937","","Public","135.3'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Elijah Whitcomb","2025-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7882%26start%3D10","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Irondeqouit Bay Park West","","","","","241024","1","","","","Public","125.3'","Clinometer/laser rangefinder/sine","8.3'","99''","","","Elijah Whitcomb","2021-04-05","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Lucien Morin County Park","","","","","260680","1","","","","Public","115.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-13","","N"
"Red Maple","Acer rubrum var. rubrum","New York","Monroe","Lucien Morin County Park","","","","","322934","1","","","","Public","120.3'","Clinometer/laser rangefinder/sine","","","","Small, double-trunk tree","Elijah Whitcomb","2025-12-26","","N"
