"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sugar Maple","Acer saccharum","Delaware","New Castle","Brandywine Creek State Park","","","","","142915","1","","","","State","97.6'","Clinometer/laser rangefinder/sine","5.3'","64''","","","George Fieo","2011-01-09","","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234938","1","","","","Public - federal","106.0'","Clinometer/laser rangefinder/sine","10.2'","122''","","Height is Not Less Then(NLT)","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234393","1","","","","Public - federal","108.3'","Clinometer/laser rangefinder/sine","9.4'","113''","","Height is Not Less Then(NLT)","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234394","1","","","","Public - federal","108.7'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234939","1","","","","Public - federal","110.9'","Clinometer/laser rangefinder/sine","8.8'","106''","","Height is Not Less Then(NLT)","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234940","1","","","","Public - federal","114.3'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234941","1","","","","Public - federal","116.5'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","234395","1","","","","Public - federal","119.3'","Clinometer/laser rangefinder/sine","8.8'","105''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","Cohutta Wilderness","","","","","235281","1","","","","Public - federal","121.2'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2009-08-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","North Prong Sumac Creek","","","","","234743","1","","","","Public - federal","103.4'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2003-11-27","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fnorth_prong_sumac_creek.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Murray","North Prong Sumac Creek","","","","","234742","1","","","","Public - federal","113.4'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Jess Riddle","2003-11-27","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fnorth_prong_sumac_creek.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Putnam","Rock Creek","","","","","234458","1","","","","Public - federal","108.6'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Putnam","Rock Creek","","","","","234459","1","","","","Public - federal","110.1'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Sugar Maple","Acer saccharum","Georgia","Putnam","Rock Creek","","","","","234460","1","","","","Public - federal","122.8'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Jess Riddle","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Frock_creek%2Frock_creek_ga.htm","N"
"Sugar Maple","Acer saccharum","Iowa","Clayton","Merritt Forest State Preserve","","","20 Acres","","233670","1","","","","Public - state","94.5'","Clinometer/laser rangefinder/sine","11.8'","141''","71.0'","","Mark Rouw","2012-01-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D80%26t%3D3697%26sid%3Dcf2621e212ab00aef5417c991313897f%23p15194","N"
"Sugar Maple","Acer saccharum","Iowa","Clayton","Merritt Forest State Preserve","","","20 Acres","","233671","1","","","","Public - state","103.6'","Clinometer/laser rangefinder/sine","10.4'","125''","55.0'","","Mark Rouw","2012-01-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D80%26t%3D3697%26sid%3Dcf2621e212ab00aef5417c991313897f%23p15194","N"
"Sugar Maple","Acer saccharum","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169932","1","","","","Public - state","99.4'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Randy Brown","2008-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Sugar Maple","Acer saccharum","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169755","1","","","","Public-state","106.3'","Clinometer/laser rangefinder/sine","7.3'","88''","","","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
"Sugar Maple","Acer saccharum","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169849","1","","","","Public - federal","109.1'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Sugar Maple","Acer saccharum","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169625","1","","","","Public - federal","110.0'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Don Bragg","2005-06-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
