"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sugar Maple","Acer saccharum var. saccharum","Delaware","New Castle","Hagley Museum","","","Site of the original Dupont Powder Works along Brandywine Creek","","75450","1","","","","Private","87.2'","Clinometer/laser rangefinder/sine","13.1'","157''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.637","-086 12.340","","","297371","1","37 13.637","-086 12.340","465.0 ft","Public","115.4'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 14.703","-086 03.398","","","297538","1","37 14.703","-086 03.398","625.0 ft","Public","115.6'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.512","-086 11.979","","","297372","1","37 13.512","-086 11.979","595.0 ft","Public","120.6'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.747","-086 07.263","","","297495","1","37 12.747","-086 07.263","600.0 ft","Public","121.5'","Clinometer/laser rangefinder/sine","8.4'","101''","","Appears very old; may be var. schneckii","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.818","-086 09.027","","","297421","1","37 12.818","-086 09.027","535.0 ft","Public","122.1'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 08.566","-086 05.007","","","297471","1","37 08.566","-086 05.007","710.0 ft","Public","122.3'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Kentucky","Edmonson","Mammoth Cave National Park","37 08.566","-086 05.018","","","297470","1","37 08.566","-086 05.018","715.0 ft","Public","124.7'","Clinometer/laser rangefinder/sine","9.1'","109''","","","Elijah Whitcomb","2023-06-23","","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Clark Ridge","","","","","236059","1","","","","Public - state","113.5'","Clinometer/laser rangefinder/sine","7.3'","88''","","","John Eichholz","2004-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_clark_ridge.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Clark Ridge","","","","","236056","1","","","","Public - state","123.4'","Clinometer/laser rangefinder/sine","8.6'","103''","","","John Eichholz","2004-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_clark_ridge.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Clark Ridge","","","","","236058","1","","","","Public - state","123.4'","Clinometer/laser rangefinder/sine","9.5'","114''","","","John Eichholz","2004-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_clark_ridge.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Clark Ridge","","","","","236057","1","","","","Public - state","129.7'","Clinometer/laser rangefinder/sine","7.7'","92''","","","John Eichholz","2004-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_clark_ridge.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Deerfield River-Middle Section","","","","","235796","1","","","","Public-Private","109.6'","Clinometer/laser rangefinder/sine","7.5'","90''","","","John Eichholz","2005-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fdeerfield_middle_section.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Mohawk Trail State Forest","42 38.236","-072 56.342","","","19228","1","42 38.236","-072 56.342","910.0 ft","DCR","108.4'","Clinometer/laser rangefinder/sine","","","","","Robert Leverett, Bart Bouricius","2011-10-16","","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281498","1","","","","Public - state","99.5'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281497","1","","","","Public - state","102.1'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281499","1","","","","Public - state","106.2'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281482","1","","","","Public - state","114.5'","Clinometer/laser rangefinder/sine","8.8'","106''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236021","1","","","","Public - state","106.8'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236094","1","","","","Public - state","123.4'","Clinometer/laser rangefinder/sine","8.6'","103''","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236095","1","","","","Public - state","129.1'","Clinometer/laser rangefinder/sine","7.7'","92''","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sugar Maple","Acer saccharum var. saccharum","Maryland","Washington","Killiamsburg Woods","","","","","158528","1","","","","Public-federal","96.3'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Darian Copiz","2017-01-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7960","N"
"Sugar Maple","Acer saccharum var. saccharum","Maryland","Washington","Killiamsburg Woods","","","","","158527","1","","","","Public-federal","105.0'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Darian Copiz","2017-01-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7960","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Cattaraugus","Zoar Valley","","","","","221805","1","","","","Public","120.2'","Clinometer/laser rangefinder/sine","8.6'","103''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Cattaraugus","Zoar Valley","42 26.438","-078 53.284","","","221859","1","42 26.438","-078 53.284","860.0 ft","Public","124.5'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Cattaraugus","Zoar Valley","","","","","221817","1","","","","Public","130.2'","Clinometer/laser rangefinder/sine","","","","Measured in Alexander Preserve by Erik Danielsen","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Cayuga","Fort Hill Cemetery","42 55.527","-076 34.285","","","214911","1","42 55.527","-076 34.285","810.0 ft","Public","82.8'","Clinometer/laser rangefinder/sine","11.5'","138''","","","Elijah Whitcomb","2020-09-07","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Columbia","Clermont State Historic Site","","","","","186066","1","","","","Public","95.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-03-17","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Dutchess","Vanderbilt Estate At Hyde Park","","","","","186252","1","","","","Public","116.7'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-02-11","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Essex","Hoffman Notch Wilderness","","","","","221357","1","","","","Public","98.0'","Clinometer/laser rangefinder/sine","12.0'","144''","","","Elijah Whitcomb","2017-09-16","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Essex","Hoffman Notch Wilderness","","","","","221364","1","","","","Public","109.6'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Elijah Whitcomb","2017-09-16","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Essex","Pharaoh Lake Wilderness","","","","","214318","1","","","","Public","119.4'","Clinometer/laser rangefinder/sine","9.4'","113''","","Pharaoh Lake Trail","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Essex","Pharaoh Lake Wilderness","43 49.772","-073 38.430","","","214363","1","43 49.772","-073 38.430","1365.0 ft","Public","124.9'","Clinometer/laser rangefinder/sine","9.7'","116''","","","Elijah Whitcomb","2018-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7995","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Franklin","Ampersand Mountain","","","","","205064","1","","","","Public","98.7'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Franklin","Ampersand Mountain","","","","","205061","1","","","","Public","100.5'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Franklin","Ampersand Mountain","","","","","205062","1","","","","Public","100.8'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Franklin","Ampersand Mountain","","","","","205063","1","","","","Public","103.8'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Franklin","Ampersand Mountain","","","","","205065","1","","","","Public","107.7'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Erik Danielsen, Jared Lockwood, Elijah Whitcomb","2017-11-30","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Hamilton","Powley Road","","","","","213671","1","","","","Public","96.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-08-02","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Jefferson","Brookside Cemetery","43 56.148","-075 54.630","","","212366","1","43 56.148","-075 54.630","605.0 ft","Public","73.7'","Clinometer/laser rangefinder/sine","10.9'","131''","","","Elijah Whitcomb","2020-07-19","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Jefferson","Brookside Cemetery","43 56.146","-075 54.633","","","212365","1","43 56.146","-075 54.633","605.0 ft","Public","82.0'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Elijah Whitcomb","2020-07-19","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Madison","Shackelton Point","","","","","220997","1","","","","Private","75.3'","Clinometer/laser rangefinder/sine","16.3'","195''","97.0'","","Elijah Whitcomb, Tom Howard","2015-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7323","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Madison","Shackelton Point","","","","","220998","1","","","","Private","107.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2015-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7323","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Monroe","Abraham Lincoln Park","","","","","323084","1","","","","Public","104.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2025-12-26","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Monroe","Durand Eastman Park","","","","","281816","1","","","","Public","115.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-10-05","","N"
"Sugar Maple","Acer saccharum var. saccharum","New York","Monroe","Hart’S Woods","","","","","186045","1","","","","Public","101.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2019-03-24","","N"
