"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sugar Maple","Acer saccharum var. schneckii","Kentucky","Trigg","Hematite Lake","","","","","322686","1","","","380.0 ft","Public","94.1'","Clinometer/laser rangefinder/sine","7.8'","93''","","Likely var. schneckii","Elijah Whitcomb","2025-09-20","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Benton","Nathan Bedford Forrest State Park","36 06.032","-087 57.977","","","322160","1","36 06.032","-087 57.977","485.0 ft","Public","111.3'","Clinometer/laser rangefinder/sine","6.8'","81''","","","Elijah Whitcomb","2025-04-19","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Cheatham","Cheatham WMA","36 15.150","-087 05.780","","","322079","1","36 15.150","-087 05.780","620.0 ft","Public","106.8'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Elijah Whitcomb","2025-03-29","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Cheatham","Cheatham WMA","36 15.163","-087 05.775","","","322080","1","36 15.163","-087 05.775","590.0 ft","Public","113.3'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2025-03-29","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Cheatham","Cheatham WMA","36 15.896","-087 05.514","","","322081","1","36 15.896","-087 05.514","585.0 ft","Public","118.7'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Elijah Whitcomb","2025-03-29","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Davidson","Edwin & Percy Warner Parks","36 03.414","-086 54.358","","","315786","1","36 03.414","-086 54.358","805.0 ft","Public","103.6'","Clinometer/laser rangefinder/sine","6.7'","81''","","","Elijah Whitcomb","2024-01-28","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Davidson","Edwin & Percy Warner Parks","36 03.384","-086 54.098","","","315787","1","36 03.384","-086 54.098","820.0 ft","Public","110.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Elijah Whitcomb","2024-01-28","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Davidson","Greenwood Cemetery Nashville","36 08.752","-086 43.373","","","315469","1","36 08.752","-086 43.373","580.0 ft","Public","83.8'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Elijah Whitcomb","2024-02-04","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Davidson","Radnor Lake State Park","36 03.578","-086 48.437","","","323319","1","36 03.578","-086 48.437","905.0 ft","Public","122.0'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2026-01-10","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Davidson","Timberland Park/Big East Fork Reserve","35 58.842","-087 00.145","","","315521","1","35 58.842","-087 00.145","810.0 ft","Public/Private","110.3'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Elijah Whitcomb","2024-02-25","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Franklin","Lost Cove","35 10.349","-085 55.046","","","313898","1","35 10.349","-085 55.046","1325.0 ft","Public","107.1'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2023-12-09","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 38.178","-089 50.846","","","320381","1","35 38.178","-089 50.846","410.0 ft","Public","110.8'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Elijah Whitcomb","2024-12-14","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 38.811","-089 49.788","","","320473","1","35 38.811","-089 49.788","440.0 ft","Public","112.3'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Elijah Whitcomb","2024-12-14","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Lawrence","David Crockett State Park","35 14.724","-087 21.376","","","312600","1","35 14.724","-087 21.376","930.0 ft","Public","100.8'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Elijah Whitcomb","2023-11-18","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Lawrence","David Crockett State Park","35 16.323","-087 22.050","","","312632","1","35 16.323","-087 22.050","990.0 ft","Public","109.4'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2023-11-18","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Maury","Chickasaw Trace Park","35 40.297","-087 05.003","","","301170","1","35 40.297","-087 05.003","680.0 ft","Public","96.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-09-02","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Montgomery","Dunbar Cave State Park","36 33.158","-087 18.163","","","323349","1","36 33.158","-087 18.163","490.0 ft","Public","119.1'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2025-12-13","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Stewart","Fort Donelson National Battlefield","36 29.035","-087 51.915","","","313517","1","36 29.035","-087 51.915","530.0 ft","Public","99.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Elijah Whitcomb","2023-11-25","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Stewart","Fort Donelson National Battlefield","36 29.505","-087 51.569","","","313553","1","36 29.505","-087 51.569","505.0 ft","Public","104.3'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2023-11-25","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Stewart","Fort Donelson National Battlefield","36 29.500","-087 51.560","","","313554","1","36 29.500","-087 51.560","480.0 ft","Public","105.3'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb","2023-11-25","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Wilson","Cedars Of Lebanon State Park","36 04.940","-086 18.493","","","319049","1","36 04.940","-086 18.493","815.0 ft","Public","94.5'","Clinometer/laser rangefinder/sine","4.2'","50''","","","Elijah Whitcomb","2024-09-14","","N"
"Sugar Maple","Acer saccharum var. schneckii","Tennessee","Wilson","Cedars Of Lebanon State Park","36 04.865","-086 18.653","","","319050","1","36 04.865","-086 18.653","765.0 ft","Public","101.6'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2024-09-14","","N"
