"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Mountain Maple","Acer spicatum","North Carolina","Haywood","Baxter Creek","","","Baxter Creek into Big Creek into Pigeon River.","","230525","1","","","","Public - federal","32.1'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Jess Riddle","2004-10-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbaxter_creek_trail.htm","N"
"Mountain Maple","Acer spicatum","North Carolina","Haywood","Baxter Creek","","","Baxter Creek into Big Creek into Pigeon River.","","230526","1","","","","Public - federal","42.2'","Clinometer/laser rangefinder/sine","1.8'","22''","","","Jess Riddle","2004-10-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fbaxter_creek_trail.htm","N"
"Mountain Maple","Acer spicatum","North Carolina","Haywood","Middle Prong Wilderness","","","7900 acres","","227258","1","","","","Public - national","42.4'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Jess Riddle","2006-07-24","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmiddleprong%2Fmiddleprong.htm","N"
"Mountain Maple","Acer spicatum","North Carolina","Jackson","Chestnut Creek/Bear Pen Gap","","","","","227751","1","","","","Public - national","36.0'","Clinometer/laser rangefinder/sine","1.6'","19''","","","Jess Riddle, Michael Davie","2006-01-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fchestnut_creek.htm","N"
"Mountain Maple","Acer spicatum","New York","Cayuga","Fillmore Glen State Park","","","","","151514","1","","","","Public","25.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7713","N"
"Mountain Maple","Acer spicatum","New York","Cayuga","Fillmore Glen State Park","","","","","151515","1","","","","Public","25.8'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7713","N"
"Mountain Maple","Acer spicatum","New York","Cayuga","Fillmore Glen State Park","","","","","151516","1","","","","Public","29.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2017-05-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7713","N"
"Mountain Maple","Acer spicatum","New York","Cayuga","Fillmore Glen State Park","","","","","151517","1","","","","Public","32.2'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Elijah Whitcomb","2017-05-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7713","N"
"Mountain Maple","Acer spicatum","New York","Saratoga","Moreau Lake State Park","43 14.119","-073 43.122","","","209454","1","43 14.119","-073 43.122","","Public","25.0'","Clinometer/laser rangefinder/sine","0.9'","11''","","","Elijah Whitcomb","2020-05-17","","N"
"Mountain Maple","Acer spicatum","Ontario","Algoma District","Wawa Area-Voyager And Nokomis Trails","","","Also see:
http://www.ents-bbs.org/viewtopic.php?f=113&t=6037&sid=1d493e39fcc69fb73dc249f02e7e5c6d","","233044","1","","","","Public - state","32.2'","Clinometer/laser rangefinder/sine","1.3'","15''","","","Doug Bidlack, Kouta Rasanen","2013-08-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6029%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d%23p27172","N"
"Mountain Maple","Acer spicatum","Ontario","Rainy River District","Rainy River","","","1,180,000 acres","","233129","1","","","","Public - state","","Clinometer/laser rangefinder/sine","4.4'","53''","","","Climbs Bigtreees","2014-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D6399%26sid%3D1d493e39fcc69fb73dc249f02e7e5c6d","N"
"Mountain Maple","Acer spicatum","Ontario","Thunder Bay District","Trail To Chimney Lookout - Sleeping Giant Provincial Park","","","","","242734","1","","","","Public - state","","Clinometer/laser rangefinder/sine","2.1'","25''","","","Doug Bidlack, Ellen Bidlack","2013-10-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D8390%26sid%3D7f2bd08108fe5fcfc1c2d28492c0c43a%23p42675","N"
"Mountain Maple","Acer spicatum","Ontario","Thunder Bay District","Trail To Chimney Lookout - Sleeping Giant Provincial Park","","","","","242733","1","","","","Public - state","22.6'","Clinometer/laser rangefinder/sine","1.8'","21''","","Circumference take at 4'","Doug Bidlack, Ellen Bidlack","2013-10-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D8390%26sid%3D7f2bd08108fe5fcfc1c2d28492c0c43a%23p42675","N"
"Mountain Maple","Acer spicatum","Ontario","Thunder Bay District","Trail To Chimney Lookout - Sleeping Giant Provincial Park","","","","","242735","1","","","","Public - state","29.2'","Clinometer/laser rangefinder/sine","1.0'","12''","","","Doug Bidlack, Ellen Bidlack","2013-10-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D113%26t%3D8390%26sid%3D7f2bd08108fe5fcfc1c2d28492c0c43a%23p42675","N"
