"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Maple","Acer spp.","Connecticut","Hartford","Weed Hill","","","","","243161","1","","","","private","75.0'","Clinometer/laser rangefinder/sine","9.6'","115''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Maple","Acer spp.","Massachusetts","Hampden","Old Southwick Cemetery","","","","","250227","1","","","","Public-Private","60.0'","Clinometer/laser rangefinder/sine","11.0'","132''","","","Sam Goodwin","2014-10-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6682%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032","N"
"Maple","Acer spp.","North Carolina","Buncombe","Mission Hospital Hawthorns","","","","","243395","1","","","","Private","","Clinometer/laser rangefinder/sine","11.2'","134''","","","James Parton","2008-02-06","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fhospital%2Fhospital_hawthorns.htm","N"
"Maple","Acer spp.","North Carolina","Henderson","Calvary Episcopal Church","","","","","235518","1","","","","Private","","Clinometer/laser rangefinder/sine","10.2'","122''","","","James Parton","2008-03-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcalvary_htm","N"
"Maple","Acer spp.","New Jersey","Burlington","Batsto Village","","","","","170431","1","","","","Public - sate","","Clinometer/laser rangefinder/sine","8.8'","106''","","","Barry Caselli","2009-01-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6026%23p27156","N"
"Maple","Acer spp.","Vermont","Addison","Broadleaf Wilderness","","","Trees were measured along the Long Trail.
The Appalachian Trail follows the Long Trail 
399,151 Acres in Green Mountain National Forest.
24,986 acres in thd Broadleaf Wilderness.","","253256","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","7.8'","94''","","","Adam Rosen","2020-07-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D8707%26sid%3Db6656396f8df88d9a4905991b7ceb355%23p44424","N"
"Maple","Acer spp.","Vermont","Addison","Broadleaf Wilderness","","","Trees were measured along the Long Trail.
The Appalachian Trail follows the Long Trail 
399,151 Acres in Green Mountain National Forest.
24,986 acres in thd Broadleaf Wilderness.","","253255","1","","","","Public - federal","108.0'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Adam Rosen","2020-07-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D8707%26sid%3Db6656396f8df88d9a4905991b7ceb355%23p44424","N"
"Maple","Acer spp.","Vermont","Caledonia","Table Top Mountain","","","","","253232","1","","","","Public - state","","Clinometer/laser rangefinder/sine","7.2'","86''","","","Adam Rosen","2016-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D7737%26sid%3D488d19003a7e80a6f7d8141547e0010e","N"
"Maple","Acer spp.","Vermont","Washington","Lords Hill Natural Area","","","25 Acres","","253224","1","","","","Public - state","","Clinometer/laser rangefinder/sine","12.6'","151''","","","Adam Rosen","2011-06-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D2617%26sid%3D2e4a6ae01d49455372e5eccb72b9d253","N"
"Maple","Acer spp.","Vermont","Washington","Lords Hill Natural Area","","","25 Acres","","253225","1","","","","Public - state","","Clinometer/laser rangefinder/sine","11.0'","132''","","","Adam Rosen","2011-06-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D2617%26sid%3D2e4a6ae01d49455372e5eccb72b9d253","N"
