"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Yellow Buckeye","Aesculus flava","Alabama","Jackson","Walls Of Jericho","34 59.224","-086 05.913","","","315725","1","34 59.224","-086 05.913","820.0 ft","Public","91.6'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2024-04-20","","N"
"Yellow Buckeye","Aesculus flava","Alabama","Jackson","Walls Of Jericho","34 59.088","-086 05.451","","","315726","1","34 59.088","-086 05.451","865.0 ft","Public","110.2'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2024-04-20","","N"
"Yellow Buckeye","Aesculus flava","Delaware","New Castle","Hagley Museum","","","Site of the original Dupont Powder Works along Brandywine Creek","","75454","1","","","","Private","88.0'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Fannin","Flat Top Mountain","","","","","281422","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jess Riddle","2005-06-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Fannin","Flat Top Mountain","","","","","281421","1","","","","Public - federal","115.5'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2005-06-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Fannin","Flat Top Mountain","","","","","249578","1","","","","Public - federal","141.3'","Clinometer/laser rangefinder/sine","12.3'","148''","","Devils Den Branch","Jess Riddle, Doug Riddle","2007-01-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Murray","Cohutta Wilderness","","","","","234387","1","","","","Public - federal","120.8'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Towns","Ramp Cove-Kelly Ridge Roadless Area","","","","","234465","1","","","","Public - federal","144.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2005-04-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Framp_cove.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Union","Sosebee Cove Scenic Area","","","","","234403","1","","","","Public - federal","129.4'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Jess Riddle","2005-07-13","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fsosbee_cove.htm","N"
"Yellow Buckeye","Aesculus flava","Georgia","Walker","Pigeon Mountain","","","Trees measured in ""The Pocket""","","234475","1","","","","Public - state","","Clinometer/laser rangefinder/sine","11.0'","132''","","","Jess Riddle","2005-07-20","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fpocket.htm","N"
