"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Horse Chestnut","Aesculus hippocastanum","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283510","1","","","","Public - city","72.6'","Clinometer/laser rangefinder/sine","8.1'","98''","","Tree near Barbican Gate","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Horse Chestnut","Aesculus hippocastanum","Lesser Poland Voivodeship","Kraków","Planty Park","","","This city park was developed in the 1820-1840 time period  by tearing down the walls surrounding  the  old city of Krakow  and dedicating the space to an urban lineral park of about 2.5 miles of varying width.","","283513","1","","","","Public - city","74.1'","Clinometer/laser rangefinder/sine","9.3'","112''","","Tree is north of Wewel Hill","Turner Sharp, Susan Sharp","2016-03-24","","N"
"Horse Chestnut","Aesculus hippocastanum","Liguria","Provincia Della Spezia","Levanto","","","","","286432","1","","","","Public-Private","44.1'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Turner Sharp","2017-09-12","","N"
"Horse Chestnut","Aesculus hippocastanum","Budapest","Budapest","Grounds Of Museum Of Hungarian History And Culture","47 29.448","019 03.743","","","283216","1","47 29.448","019 03.743","","Public - federal","71.9'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Turner Sharp","2016-03-30","","N"
"Horse Chestnut","Aesculus hippocastanum","Delaware","New Castle","Bellevue State Park","","","","","75581","1","","","","Public - State","62.6'","Clinometer/laser rangefinder/sine","10.0'","120''","","Species ID tentative","Scott Wade, Meg Varnes","2007-02-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fdelaware%2Frockwood%2Fdelaware_trees.htm","N"
"Horse Chestnut","Aesculus hippocastanum","New York","Dutchess","FDR National Historic Site - Hyde Park","","","","","262649","1","","","","Public-Private","54.1'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Erik Danielson, Dan Mckenna, Amy Pavella","2017-05-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8017%26sid%3D147272388024481ad73b800144c5c8ae","N"
"Horse Chestnut","Aesculus hippocastanum","New York","Dutchess","Vanderbilt Estate At Hyde Park","","","","","186250","1","","","","Public","100.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-02-11","","N"
"Horse Chestnut","Aesculus hippocastanum","New York","Onondaga","Onondaga Park","","","","","121995","1","","","","Public","65.3'","Clinometer/laser rangefinder/sine","9.3'","112''","","","Elijah Whitcomb","2016-04-03","","N"
"Horse Chestnut","Aesculus hippocastanum","Pennsylvania","Beaver","Raccoon Creek State Park","","","7,572 acres","","120510","1","","","1100.0 ft","Public - State","78.5'","Clinometer/laser rangefinder/sine","","","","Girth 152.4"" (2x)","Dale Luthringer","2008-03-19","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F449ea1c542736359%3Fhl%3Den","N"
"Horse Chestnut","Aesculus hippocastanum","Rhode Island","Newport","Touro Park","41 29.157","-071 18.618","","","256811","1","41 29.157","-071 18.618","","Public - city","47.0'","Clinometer/laser rangefinder/sine","11.1'","133''","","Top is out.","Turner Sharp","2021-10-14","","N"
"Horse Chestnut","Aesculus hippocastanum","West Virginia","54 Counties","West Virginia Single Tree Sites","39 38.119","-079 57.327","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313134","1","39 38.119","-079 57.327","","Private & Publc","63.5'","Clinometer/laser rangefinder/sine","8.0'","96''","44.0'","Measured by B. Hannah, S. Adams 2019.
Tree located 100 feet east of Armstrong Hall on downtown campus of WVU on Beechurst Avenue, Morgantown, Monongalia County, WV.
Crown spread is an average of two axis method.
Previously measured by B. Hannah, A. Dick in 2010 at 61.5' x 96"" x 51.5'.","Various Various","1963-01-01","","N"
"Horse Chestnut","Aesculus hippocastanum","West Virginia","Wood","Oakwood","39 15.847","-081 32.566","","","203606","3","39 15.847","-081 32.566","","Private","48.7'","Clinometer/laser rangefinder/sine","6.4'","77''","70.0'","","Turner Sharp, Turner Sharp, Bill Schlier, Turner Sharp","2022-11-23","","N"
"Horse Chestnut","Aesculus hippocastanum","West Virginia","Wood","Wood County Single Tree Sites","39 16.371","-081 33.363","includes the incorporated cities of Parkersburg, Vienna, Williamstown and North Hills.
Most measurements made before 2010 do not list a height because methods used to determine height   prior to 2010 were inaccurate,","","314953","1","39 16.371","-081 33.363","","Public and private","69.6'","Clinometer/laser rangefinder/sine","7.7'","92''","44.0'","Measured by T. Sharp 2022.
Previously measured by T. Sharp 2013 at 69.1' x 91"" x 37'","Turner Sharp","2000-01-01","","N"
