"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Tree Of Heaven","Ailanthus altissima","Andalusia","Sevilla","Royal Alcszar O Selille","","","","","274945","1","","","","Public - federal","75.7'","Clinometer/laser rangefinder/sine","4.4'","52''","","","Turner Sharp","2014-10-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D403%26t%3D6982%26sid%3D17cca9bfba6e01cbcdc72033af7f7718%23p32830","N"
"Tree Of Heaven","Ailanthus altissima","Budapest","Budapest","Grounds Of Museum Of Hungarian History And Culture","47 29.516","019 03.763","","","283222","1","47 29.516","019 03.763","","Public - federal","81.0'","Clinometer/laser rangefinder/sine","8.1'","98''","","","Turner Sharp","2016-03-30","","N"
"Tree Of Heaven","Ailanthus altissima","Maryland","Anne Arundel","Chase Creek Woods","","","","","280928","1","","","","Private","91.0'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Colby Rucker","2003-07-01","","N"
"Tree Of Heaven","Ailanthus altissima","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128444","1","","","","Public - State","14.1'","Clinometer/laser rangefinder/sine","0.7'","9''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Tree Of Heaven","Ailanthus altissima","North Carolina","Wake","North Carolina Single Tree Sites","35 18.836","-082 36.468","","","252321","1","35 18.836","-082 36.468","","Public and Private","49.3'","Clinometer/laser rangefinder/sine","12.8'","153''","","","Various Various","2000-01-01","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Dutchess","Vanderbilt Estate At Hyde Park","","","","","186256","1","","","","Public","106.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-02-11","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Manhattan","Inwood Hill Park","","","Trees were measured during a series of visits between 12/20/2015 and 4/08/2016","","260042","1","","","","Public - city","105.0'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Erik Danielson","2016-04-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7396%26sid%3D82c231524f625f1e32dd5d64e14763f8","N"
"Tree Of Heaven","Ailanthus altissima","New York","Monroe","Abraham Lincoln Park","","","","","323103","1","","","","Public","113.0'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2025-12-26","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Monroe","Abraham Lincoln Park","","","","","323104","1","","","","Public","115.0'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Elijah Whitcomb","2025-12-26","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Monroe","Abraham Lincoln Park","43 11.115","-077 30.842","","","323085","1","43 11.115","-077 30.842","375.0 ft","Public","115.5'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Elijah Whitcomb","2025-12-26","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Monroe","Abraham Lincoln Park","43 11.126","-077 30.831","","","323105","1","43 11.126","-077 30.831","375.0 ft","Public","121.8'","Clinometer/laser rangefinder/sine","5.1'","61''","","","Elijah Whitcomb","2025-12-26","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Nassau","Tiffany Creek Preserve","","","","","260084","1","","","","Public - county","109.0'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Erik Danielson","2016-04-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7660%26sid%3D60eba587880cce73bb509f21b4be94c1","N"
"Tree Of Heaven","Ailanthus altissima","New York","Orange","Storm King State Park","","","","","186157","1","","","","Public","104.6'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-07","","N"
"Tree Of Heaven","Ailanthus altissima","New York","Tompkins","Taughannock Falls State Park","","","","","230107","1","","","","Public","88.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2021-01-10","","N"
"Tree Of Heaven","Ailanthus altissima","Ohio","Hamilton","California Woods Nature Preserve","","","113 Acres
Measurements made from 2014 thru 2017","","169543","1","","","","Pubkic - city","116.0'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Matt Markworth","2014-02-27","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6142%23p27831","N"
"Tree Of Heaven","Ailanthus altissima","Ohio","Highland","Fort Hil Earthworks And Nature Preserve","","","1300 Acres
Based on three trip reports on the NTS BBS board dated:
2/23/2014, 6/27/2014 ,8/28/2014,11/23/2014","","168909","1","","","","Public-state","64.0'","Clinometer/laser rangefinder/sine","2.1'","25''","","","Robert Leverett, Matt Markworth, Rand Brown","2014-11-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6128%23p27758","N"
"Tree Of Heaven","Ailanthus altissima","Ohio","Summit","Chestnut Hill Memorial Park","","","","","160821","1","","","","Private","84.0'","Clinometer/laser rangefinder/sine","","","","","Steve Galehouse","2009-11-23","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F6406a60608c8c88f%3Fhl%3Den","N"
"Tree Of Heaven","Ailanthus altissima","Pennsylvania","Chester/Montgomery","Valley Forge National Park","","","","","143191","1","","","","Public, National Park","92.8'","Clinometer/laser rangefinder/sine","5.9'","71''","","Montgomery County","George Fieo","2009-01-20","","N"
"Tree Of Heaven","Ailanthus altissima","Pennsylvania","Philadelphia","Wissahickon Valley Park","40 01.284","-075 12.235","","","173659","1","40 01.284","-075 12.235","","Public - city","103.7'","Clinometer/laser rangefinder/sine","6.5'","78''","","","George Fieo","2011-11-15","","N"
