"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"European Alder","Alnus glutinosa","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283468","1","","","","Public - federal","103.7'","Clinometer/laser rangefinder/sine","12.7'","152''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"European Alder","Alnus glutinosa","New York","Monroe","Abraham Lincoln Park","","","","","323093","1","","","","Public","82.1'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Elijah Whitcomb","2025-12-26","","N"
"European Alder","Alnus glutinosa","New York","Monroe","Abraham Lincoln Park","43 11.488","-077 30.948","","","323094","1","43 11.488","-077 30.948","275.0 ft","Public","82.6'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2025-12-26","","N"
"European Alder","Alnus glutinosa","New York","Monroe","Genessee Valley Park","","","","","189781","1","","","","Public","79.1'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
"European Alder","Alnus glutinosa","New York","Monroe","Lakeview Cemetery","43 11.558","-077 56.452","","","236102","1","43 11.558","-077 56.452","645.0 ft","Public","78.4'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2021-03-07","","N"
"European Alder","Alnus glutinosa","New York","Monroe","Lakeview Cemetery","43 11.573","-077 56.430","","","236101","1","43 11.573","-077 56.430","645.0 ft","Public","97.7'","Clinometer/laser rangefinder/sine","5.7'","69''","","","Elijah Whitcomb","2021-03-07","","N"
"European Alder","Alnus glutinosa","New York","Monroe","Lakeview Cemetery","43 11.563","-077 56.499","","","236103","1","43 11.563","-077 56.499","635.0 ft","Public","102.3'","Clinometer/laser rangefinder/sine","","","","Multiple trunks","Elijah Whitcomb","2021-03-07","","N"
"European Alder","Alnus glutinosa","New York","Montgomery","Sprakers","","","","","113268","1","","","","Public","60.2'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Elijah Whitcomb","2015-12-26","","N"
"European Alder","Alnus glutinosa","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265832","1","","","","Public - city","78.2'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"European Alder","Alnus glutinosa","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265834","1","","","","Public - city","82.6'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"European Alder","Alnus glutinosa","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265835","1","","","","Public - city","84.7'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"European Alder","Alnus glutinosa","New York","Richmond","Clove Lakes Park","","","Trees were measured 12/20/2015 and 3/3/2016","","265833","1","","","","Public - city","86.8'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2015-12-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7397%26sid%3De9b5b3b04e3a1d8597b486e4297a43b9","N"
"European Alder","Alnus glutinosa","New York","Westchester","Rockefeller State Park Preserve","","","","","202584","1","","","","Public","88.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2020-01-12","","N"
"European Alder","Alnus glutinosa","Ohio","Washington","Marietta College Campus","39 24.952","-081 27.004","Trees were measured between 1/29/2020 and 2/9/2020","","272982","1","39 24.952","-081 27.004","","Private & Publc","50.6'","Clinometer/laser rangefinder/sine","2.4'","28''","","","Turner Sharp","2020-02-09","","N"
"European Alder","Alnus glutinosa","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","139756","1","","","","Private","40.0'","Clinometer/laser rangefinder/sine","2.3'","27''","15.0'","","George Fieo","2008-11-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
