"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","96810","1","","","5600.0 ft","Public National Forest","65.1'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2012-02-18","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","96811","1","","","5600.0 ft","Public National Forest","67.7'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Turner Sharp","2012-02-18","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121515","1","","","4900.0 ft","Public National Forest","78.6'","Clinometer/laser rangefinder/sine","6.8'","81''","","Near Manzanita Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121526","1","","","5400.0 ft","Public National Forest","80.2'","Clinometer/laser rangefinder/sine","","","","Near Cave Springs Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121524","1","","","5400.0 ft","Public National Forest","81.6'","Clinometer/laser rangefinder/sine","9.2'","110''","","Near Cave Springs Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121529","1","","","5400.0 ft","Public National Forest","85.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","Near Cave Springs Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121517","1","","","4900.0 ft","Public National Forest","86.3'","Clinometer/laser rangefinder/sine","7.1'","85''","","Near Manzanita Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","Oak Creek Canyon","","","","","121516","1","","","4900.0 ft","Public National Forest","87.5'","Clinometer/laser rangefinder/sine","","","","Near Manzanita Campground","Turner Sharp","2015-06-02","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Coconino","West Fork Of Oak Creek","","","Trees measured were in first two miles upstream of confluence with Oak Creek","","226334","1","","","5400.0 ft","Public","71.2'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Turner Sharp","2015-06-12","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Graham","Pinaleno Mountains","32 39.077","-109 48.830","","","93014","1","32 39.077","-109 48.830","6200.0 ft","Public - National Forest","66.9'","Clinometer/laser rangefinder/sine","5.4'","64''","","","Turner Sharp","2012-02-24","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Graham","Pinaleno Mountains","32 39.077","-109 48.830","","","93013","1","32 39.077","-109 48.830","6200.0 ft","Public - National Forest","105.9'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Turner Sharp","2012-02-24","","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Yavapai","Crescent Moon Picnic Area","","","","","130889","1","","","4000.0 ft","Public","54.6'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Turner Sharp","2014-06-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Yavapai","Lawrence Crossing","","","Crossing of Wet Beaver Creek is on FS 618G and has a poorly maintained campground. Crossing is unused.","","130909","1","","","3600.0 ft","Public - National Forest","64.0'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Turner Sharp","2014-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
"Arizona Alder","Alnus oblongifolia","Arizona","Yavapai","Lawrence Crossing","","","Crossing of Wet Beaver Creek is on FS 618G and has a poorly maintained campground. Crossing is unused.","","130903","1","","","3600.0 ft","Public - National Forest","64.8'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Turner Sharp","2014-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D6745","N"
