"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Common Serviceberry","Amelanchier arborea","Arkansas","Bradley","Bradley County Park","","","","","241619","1","","","","Public - county","37.1'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Jess Riddle","2014-05-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6338%26sid%3D4a7f32fbd25a5a8512e560f2bcebeb17%23p28725","N"
"Common Serviceberry","Amelanchier arborea","New York","Cattaraugus","Zoar Valley","","","","","280019","1","","","","Public","73.4'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Tom Diggins","2005-05-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Common Serviceberry","Amelanchier arborea","New York","Onondaga","Beaver Lake Nature Center","","","","","213023","1","","","","Public","62.4'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Elijah Whitcomb, Tom Howard","2015-11-01","","N"
"Common Serviceberry","Amelanchier arborea","New York","Onondaga","Long Branch Park","","","","","230458","1","","","","Public","63.3'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Common Serviceberry","Amelanchier arborea","New York","Ulster","Rider Hollow","","","","","211377","1","","","","Public","64.5'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Elijah Whitcomb","2015-12-26","","N"
"Common Serviceberry","Amelanchier arborea","South Carolina","Pickens","Wadakoe Mountain","","","Trees were also measured on 11/1/2004. 
See link:
http://www.nativetreesociety.org/fieldtrips/south_carolina/wadakoe_mountain.htm","","236545","1","","","","Public-Private","19.4'","Clinometer/laser rangefinder/sine","0.9'","11''","","Along stream at foot of mountain.","Jess Riddle","2005-02-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fwadakoe_northend.htm","N"
"Common Serviceberry","Amelanchier arborea","Tennessee","Cumberland","Cumberland Mountain State Park","35 54.987","-084 59.986","","","320570","1","35 54.987","-084 59.986","1835.0 ft","Public","38.2'","Clinometer/laser rangefinder/sine","1.4'","17''","","ID uncertain","Elijah Whitcomb","2024-11-21","","N"
"Common Serviceberry","Amelanchier arborea","Tennessee","Cumberland","Cumberland Mountain State Park","35 54.936","-085 00.843","","","320571","1","35 54.936","-085 00.843","1865.0 ft","Public","71.5'","Clinometer/laser rangefinder/sine","2.5'","30''","","ID uncertain","Elijah Whitcomb","2024-11-21","","N"
"Common Serviceberry","Amelanchier arborea","West Virginia","54 Counties","West Virginia Single Tree Sites","38 26.958","-079 54.027","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313065","1","38 26.958","-079 54.027","3000.0 ft","Private & Publc","44.0'","Clinometer/laser rangefinder/sine","8.8'","105''","56.0'","Measured by D.Cooley, C. Helton 2019 near Cass, Pocahontas County. Previously  measured by D. Cooley, J. Mowrey, J. Russell in 2010.at 44' x 102' X 54'.
Crown spread is an average of two axis method","Various Various","1963-01-01","","N"
"Common Serviceberry","Amelanchier arborea","West Virginia","54 Counties","West Virginia Single Tree Sites","38 46.689","-080 17.803","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313064","1","38 46.689","-080 17.803","1760.0 ft","Private & Publc","101.0'","Clinometer/laser rangefinder/sine","5.4'","65''","28.0'","Tree located in Upshur County and measured by D. Cooley 2011.
Crown spread is average of two measurements.","Various Various","1963-01-01","","N"
