"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Common Serviceberry","Amelanchier arborea var. arborea","Kentucky","Edmonson","Mammoth Cave National Park","37 12.907","-086 08.300","","","297422","1","37 12.907","-086 08.300","740.0 ft","Public","26.5'","Clinometer/laser rangefinder/sine","1.1'","13''","","Species ID uncertain","Elijah Whitcomb","2023-06-23","","N"
"Common Serviceberry","Amelanchier arborea var. arborea","Maryland","Anne Arundel","Chase Creek Woods","","","","","280955","1","","","","Private","19.7'","Clinometer/laser rangefinder/sine","0.8'","10''","","","Colby Rucker","2003-07-01","","N"
"Common Serviceberry","Amelanchier arborea var. arborea","Missouri","St. Louis","Dr. Edmund A. Babler Memorial State Park","","","","","171888","1","","","","Public - state","28.6'","Clinometer/laser rangefinder/sine","1.2'","14''","","","Beth Koebel","2008-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmissouri%2Fbabler%2Fbabler_state_park_chesterfield_m.htm","N"
"Common Serviceberry","Amelanchier arborea var. arborea","Missouri","St. Louis","Dr. Edmund A. Babler Memorial State Park","","","","","171889","1","","","","Public - state","34.7'","Clinometer/laser rangefinder/sine","1.8'","21''","","","Beth Koebel","2008-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmissouri%2Fbabler%2Fbabler_state_park_chesterfield_m.htm","N"
"Common Serviceberry","Amelanchier arborea var. arborea","Missouri","St. Louis","Dr. Edmund A. Babler Memorial State Park","","","","","171890","1","","","","Public - state","41.5'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Beth Koebel","2008-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmissouri%2Fbabler%2Fbabler_state_park_chesterfield_m.htm","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Cattaraugus","Zoar Valley","","","","","221834","1","","","","Public","52.5'","Clinometer/laser rangefinder/sine","","","","Tree has three main stem splitting near ground level","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Cattaraugus","Zoar Valley","","","","","221848","1","","","","Public","82.0'","Clinometer/laser rangefinder/sine","2.4'","29''","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Madison","Cicero Swamp Wildlife Management Area","","","5,000 acres","","257328","1","","","","Public - state","","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2008-07-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_york%2Fcicero%2Fcicero_swamp_wildlife_management.htm","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Monroe","Abraham Lincoln Park","43 10.795","-077 30.964","","","323117","1","43 10.795","-077 30.964","330.0 ft","Public","48.8'","Clinometer/laser rangefinder/sine","1.5'","17''","","","Elijah Whitcomb","2025-12-26","","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220824","1","","","","Public (NYS)","48.2'","Clinometer/laser rangefinder/sine","2.3'","28''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Common Serviceberry","Amelanchier arborea var. arborea","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220860","1","","","","Public (NYS)","63.0'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
