"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Devil's Walkingstick","Aralia spinosa","Maryland","Anne Arundel","Chase Creek Woods","","","","","280952","1","","","","Private","26.6'","Clinometer/laser rangefinder/sine","1.2'","14''","","","Colby Rucker","2003-07-01","","N"
"Devil's Walkingstick","Aralia spinosa","Maryland","Anne Arundel","Corcoran Environmental Study Area","39 02.325","-076 25.132","","","127137","1","39 02.325","-076 25.132","","Public","25.0'","Clinometer/laser rangefinder/sine","1.0'","12''","12.0'","This tree was probably in the same patch that Colby Rucker visited in 2002","Dan Wilson","2010-04-01","","N"
"Devil's Walkingstick","Aralia spinosa","Maryland","Anne Arundel","Corcoran Environmental Study Area","","","","","128099","1","","","","Public","38.7'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Colby Rucker","2002-04-08","","N"
"Devil's Walkingstick","Aralia spinosa","Pennsylvania","Clarion","CFSP-Various","","","","","281460","1","","","","Public-state","27.2'","Clinometer/laser rangefinder/sine","1.8'","22''","","At Park office. Measured by Dale Luthringer 8/5/2004.","Dale Luthringer, Carl Harting","2001-12-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fdonut.htm","N"
"Devil's Walkingstick","Aralia spinosa","Pennsylvania","Montgomery","Mont Clare Cliffs And  Schuykill River Corridor","","","","","139761","1","","","","Private","32.3'","Clinometer/laser rangefinder/sine","0.9'","11''","","","George Fieo","2008-11-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090525-montclare%2F20090525-montclare.htm","N"
"Devil's Walkingstick","Aralia spinosa","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","41 11.784","-078 30.568","","","255884","1","41 11.784","-078 30.568","1600.0 ft","Public, Private","","Clinometer/laser rangefinder/sine","2.0'","24''","","Measured by E. Frank. Posted 10/11/2007. Height estimated at 15'. Tree located Parker Dam State Park near Penfield, Clearfield Conty","Various Various","2000-01-01","","N"
"Devil's Walkingstick","Aralia spinosa","Tennessee","Cocke","Cosby Campground Area","","","Middle Pronf Little Pigeon River","","230366","1","","","","Public - national","53.4'","Clinometer/laser rangefinder/sine","2.5'","30''","","Middle Prong Little Pigeon River","Jess Riddle","2004-11-03","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fgreenbrier.htm","N"
"Devil's Walkingstick","Aralia spinosa","Tennessee","Sevier","Porters Bowl","","","","","229931","1","","","","Public - national","53.4'","Clinometer/laser rangefinder/sine","2.5'","30''","","","Jess Riddle","2004-11-03","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fgsmnp%2Fgreenbrier.htm","N"
"Devil's Walkingstick","Aralia spinosa","West Virginia","54 Counties","West Virginia Single Tree Sites","39 37.289","-079 30.988","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313133","1","39 37.289","-079 30.988","2400.0 ft","Private & Publc","","Clinometer/laser rangefinder/sine","1.3'","16''","","Tree located near Hazelton, Preston County, WV
Measured by T.Sharp 10/2007","Various Various","1963-01-01","","N"
"Devil's Walkingstick","Aralia spinosa","West Virginia","54 Counties","West Virginia Single Tree Sites","38 16.884","-080 57.970","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313246","1","38 16.884","-080 57.970","1200.0 ft","Private & Publc","15.5'","Clinometer/laser rangefinder/sine","0.9'","11''","","Measured by T. Sharp 9/18/2021. Next to WV 39 near Zela, Nicholas County.","Various Various","1963-01-01","","N"
