"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pawpaw","Asimina triloba","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243096","1","","","","Public - federal","46.3'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Pawpaw","Asimina triloba","Georgia","Rabun","Cliff Creek","","","","","235195","1","","","","Public - federal","39.0'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Pawpaw","Asimina triloba","Illinois","Wabash","Beall Woods State Park","","","All trees measured where on or within sight of the Tulip Tree Trail.","","273882","1","","","","Public - state","20.0'","Clinometer/laser rangefinder/sine","0.5'","6''","","","Elijah Woods","2020-09-23","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D8733","N"
"Pawpaw","Asimina triloba","Kentucky","Edmonson","Mammoth Cave National Park","37 10.695","-086 09.885","","","297812","1","37 10.695","-086 09.885","545.0 ft","Public","27.2'","Clinometer/laser rangefinder/sine","0.8'","10''","","","Elijah Whitcomb","2023-06-23","","N"
"Pawpaw","Asimina triloba","Kentucky","Edmonson","Mammoth Cave National Park","37 10.946","-086 11.203","","","297835","1","37 10.946","-086 11.203","635.0 ft","Public","38.0'","Clinometer/laser rangefinder/sine","1.1'","13''","","","Elijah Whitcomb","2023-06-23","","N"
"Pawpaw","Asimina triloba","Massachusetts","Suffolk","Arnold Arboretum","","","","","189028","1","","","","Public","22.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2019-06-30","","N"
"Pawpaw","Asimina triloba","Maryland","Anne Arundel","Chase Creek Woods","","","","","280947","1","","","","Private","36.5'","Clinometer/laser rangefinder/sine","1.3'","16''","","","Colby Rucker","2003-07-01","","N"
"Pawpaw","Asimina triloba","Maryland","Baltimore","Loch Raven Reservior","","","9,200 acres minus 3,100 acres of water at crest..
Supplies the City of Baltimore and Baltimore County with drinking water.","","231385","1","","","","Public - city","45.2'","Clinometer/laser rangefinder/sine","0.7'","9''","","","George Fieo","2015-11-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8746%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Pawpaw","Asimina triloba","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232006","1","","","","Public - state","38.1'","Clinometer/laser rangefinder/sine","1.8'","22''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Pawpaw","Asimina triloba","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232007","1","","","","Public - state","45.2'","Clinometer/laser rangefinder/sine","1.3'","16''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Pawpaw","Asimina triloba","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232008","1","","","","Public - state","47.7'","Clinometer/laser rangefinder/sine","1.1'","13''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Pawpaw","Asimina triloba","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231809","1","","","","Public - state","34.8'","Clinometer/laser rangefinder/sine","1.2'","14''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"Pawpaw","Asimina triloba","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128452","1","","","","Public - State","21.6'","Clinometer/laser rangefinder/sine","0.7'","8''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
