"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Yellow Birch","Betula alleghaniensis","Connecticut","Hartford","East Granby Farms Recreational Center","","","","","242633","1","","","","Public - city","65.0'","Clinometer/laser rangefinder/sine","","","","Multi-stem","Sam Goodwin","2014-11-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D6755%26sid%3D24164709fb7900e73daf958a7baa364f%23p31205","N"
"Yellow Birch","Betula alleghaniensis","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234411","1","","","","Public - federal","89.3'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Yellow Birch","Betula alleghaniensis","Georgia","Rabun","Southern Nantahala Wilderness Area","","","11,663 acres in Georgia on Chattaloochee National Forest
11,732 acres in North Carolina on Nantahala National Forest","","234412","1","","","","Public - federal","91.0'","Clinometer/laser rangefinder/sine","4.4'","53''","","","Jess Riddle, Doug Riddle","2007-01-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fsouthern_nantahala_wilderness.htm","N"
"Yellow Birch","Betula alleghaniensis","Georgia","Towns","Brasstown Bald","","","Highest elevation in Georgia","","235273","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","11.8'","141''","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fbrasstown_bald.htm","N"
"Yellow Birch","Betula alleghaniensis","Georgia","Towns","Brasstown Bald","","","Highest elevation in Georgia","","235271","1","","","","Public - federal","85.7'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fbrasstown_bald.htm","N"
"Yellow Birch","Betula alleghaniensis","Georgia","Towns","Brasstown Bald","","","Highest elevation in Georgia","","235272","1","","","","Public - federal","85.9'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fbrasstown_bald.htm","N"
"Yellow Birch","Betula alleghaniensis","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281501","1","","","","Public - state","76.6'","Clinometer/laser rangefinder/sine","8.4'","101''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Yellow Birch","Betula alleghaniensis","Massachusetts","Suffolk","Massachusetts Single Tree Sites","","","","","256022","1","","","","Public-Private","86.8'","Clinometer/laser rangefinder/sine","12.8'","153''","57.4'","Measured by J. Lockwood, R. Asselin 1/2/2017 in Monroe State Forest, near Monroe, Franklin County","Various Various","2001-01-01","","N"
"Yellow Birch","Betula alleghaniensis","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250491","1","","","","Public - city","83.2'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Yellow Birch","Betula alleghaniensis","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250490","1","","","","Public - city","83.4'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
