"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sweet Birch","Betula lenta","Connecticut","Hartford","East Granby Farms Recreational Center","","","","","242634","1","","","","Public - city","75.0'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Sam Goodwin","2014-11-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D6755%26sid%3D24164709fb7900e73daf958a7baa364f%23p31205","N"
"Sweet Birch","Betula lenta","Connecticut","Hartford","Newgate Wildlife Management Area","","","600 acres including some co-operating entities.","","234254","1","","","","Public - state","","Clinometer/laser rangefinder/sine","5.3'","63''","","Circumference taken at 1'","Sam Goodwin","2010-02-08","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F213ecb981dfb6391%3Fhl%3Den","N"
"Sweet Birch","Betula lenta","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243314","1","","","","Public - state park","","Clinometer/laser rangefinder/sine","8.3'","100''","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Sweet Birch","Betula lenta","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243309","1","","","","Public - state park","75.0'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Sweet Birch","Betula lenta","Connecticut","Hartford","Weed Hill","","","","","243158","1","","","","private","80.0'","Clinometer/laser rangefinder/sine","7.8'","93''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Sweet Birch","Betula lenta","Delaware","New Castle","Winterthur","","","","","140159","1","","","","Private","90.0'","Clinometer/laser rangefinder/sine","7.2'","86''","44.0'","","Will Blozan, George Fieo, Scott Wade","2010-09-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D6420%23p29114","N"
"Sweet Birch","Betula lenta","Georgia","Fannin","Flat Top Mountain","","","","","281420","1","","","","Public - federal","100.3'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Jess Riddle","2005-06-30","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fflat_top_mountain.htm","N"
"Sweet Birch","Betula lenta","Georgia","Fannin","Jacks River And Conasauga Creek","","","Trees were measured in both drainages and will be indicated under comments","","234807","1","","","","Public - federal","89.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","Conasauga Creek","Jess Riddle","2005-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fjacks_river.htm","N"
"Sweet Birch","Betula lenta","Georgia","Murray","Cohutta Wilderness","","","","","234386","1","","","","Public - federal","93.0'","Clinometer/laser rangefinder/sine","4.3'","51''","","","Jess Riddle","2005-03-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Camp Creek","","","Trees were measured on an alluvial flat.","","235228","1","","","","Public - federal","101.0'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Jess Riddle","2005-06-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5736%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Cliff Creek","","","","","235178","1","","","","Public - federal","95.2'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Cliff Creek","","","","","235179","1","","","","Public - federal","99.6'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Cliff Creek","","","","","235180","1","","","","Public - federal","102.9'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Cliff Creek","","","","","234946","1","","","","Public - federal","104.2'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Jess Riddle","2004-12-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Sand Branch","","","Sand Creek is just a place name holder","","249321","1","","","","Private","106.7'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Jess Riddle","2012-01-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3576%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","Rabun","Upper Tallulah River","","","","","249614","1","","","","Public - federal","108.9'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Jess Riddle, Doug Riddle","2014-09-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6494%26sid%3D6744f533e0a6b584a1da3c0e88b3e7de%23p29580","N"
"Sweet Birch","Betula lenta","Georgia","White","Spoilcane Creek","","","","","249291","1","","","","Public - federal","103.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2012-01-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3514%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Georgia","White","Spoilcane Creek","","","","","249290","1","","","","Public - federal","113.4'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Jess Riddle","2012-01-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3514%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sweet Birch","Betula lenta","Kentucky","Menifee","Red River Gorge","","","Tree was measured in the Clifty Wilderness.","","232326","1","","","","Public - federal","92.5'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Matt Markworth","2016-01-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D7437%26sid%3D29c48802a639a76198bc62819e1475c2%26start","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281503","1","","","","Public - state","94.7'","Clinometer/laser rangefinder/sine","4.3'","52''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Mount Peak","","","Trees were measured on west face of mountain
Trees were measured from 11/23/2003 thru 2/24/2004","","281502","1","","","","Public - state","100.0'","Clinometer/laser rangefinder/sine","4.7'","56''","","","John Eichholz","2004-02-24","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fzoar_gap.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Whately Tract","","","","","235483","1","","","","Private","78.9'","Clinometer/laser rangefinder/sine","3.0'","36''","","","Gary Beluzo","2007-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fliriodendron_in_franklin.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236092","1","","","","Public - state","99.0'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236100","1","","","","Public - state","105.0'","Clinometer/laser rangefinder/sine","4.9'","59''","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236093","1","","","","Public - state","105.7'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Franklin","Zoar Gap","","","Trees measured below rocky fields to western boundary of state forest.","","236099","1","","","","Public - state","108.3'","Clinometer/laser rangefinder/sine","","","","","John Eichholz","2004-03-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass_mtsf%2Fmtsf_black_cherries.htm","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Cobb Memorial Forest","","","47 Acres","","250342","1","","","","Public - state","85.9'","Clinometer/laser rangefinder/sine","","","","Height is Not Less Than(NLT)
Probable multi-stem tree.","Jared Lockwood","2016-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7631%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Cobb Memorial Forest","","","47 Acres","","250344","1","","","","Public - state","95.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Jared Lockwood","2016-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7631%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Codman-North Conservation Area","","","16 Acres","","250927","1","","","","Public - city","107.2'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Jared Lockwood","2017-09-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D8095%26sid%3Df01aed3bab3c2b41d036f39fba3b6a91","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Mount Misery Conservation Area","","","227 Acres","","250547","1","","","","Public - city","84.4'","Clinometer/laser rangefinder/sine","","","","","Doug Bidlack","2014-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6738%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Mount Misery Conservation Area","42 25.065","-071 21.241","227 Acres","","250542","2","42 25.065","-071 21.241","","Public - city","93.3'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Doug Bidlack, Jared Lockwood","2017-06-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6738%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
"Sweet Birch","Betula lenta","Massachusetts","Middlesex","Mount Misery Conservation Area","","","227 Acres","","250546","1","","","","Public - city","93.3'","Clinometer/laser rangefinder/sine","","","","","Doug Bidlack","2014-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D6738%26sid%3D52d7fef5ff3eb844da190294bb3c38a0","N"
