"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"River Birch","Betula nigra","Georgia","Fulton","Single Tree Sites In Georgia","34 31.538","-083 58.939","","","249653","1","34 31.538","-083 58.939","","Public-Private","83.4'","Clinometer/laser rangefinder/sine","10.9'","131''","","Measured by J. Riddle 3/27/2016 near Dahlonega, Lumpkin County.","Various Various","2001-02-01","","N"
"River Birch","Betula nigra","Georgia","Fulton","Single Tree Sites In Georgia","34 31.730","-083 57.970","","","249652","1","34 31.730","-083 57.970","","Public-Private","88.5'","Clinometer/laser rangefinder/sine","6.3'","76''","","Measured by J. Riddle 3/27/2016 near Dahlonega, Lumpkin County.","Various Various","2001-02-01","","N"
"River Birch","Betula nigra","Georgia","Stephens","Panther Creek","","","","","249197","1","","","","Public - federal","81.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Doug Riddle","2011-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"River Birch","Betula nigra","Maryland","Baltimore City","Cylburn Arboretum","","","","","102901","1","","","400.0 ft","Public","56.7'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Turner Sharp","2015-08-16","","N"
"River Birch","Betula nigra","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232012","1","","","","Public - state","87.3'","Clinometer/laser rangefinder/sine","7.5'","90''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"River Birch","Betula nigra","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128433","1","","","","Public - State","57.0'","Clinometer/laser rangefinder/sine","","","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"River Birch","Betula nigra","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128432","1","","","","Public - State","68.4'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"River Birch","Betula nigra","North Carolina","Orange","Coker Arboretum","","","","","280384","1","","","","Public - state","62.1'","Clinometer/laser rangefinder/sine","7.3'","88''","","","John Eichholz","2008-04-02","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fnorth_carolina_trip_april_2008.htm","N"
"River Birch","Betula nigra","New York","Madison","Shackelton Point","","","","","221000","1","","","","Private","69.4'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Elijah Whitcomb, Tom Howard","2015-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7323","N"
"River Birch","Betula nigra","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","","","","","280508","1","","","","Private:  Cornell University","59.5'","Clinometer/laser rangefinder/sine","","","","","Tom Howard, Elijah Whitcomb","2015-06-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"River Birch","Betula nigra","New York","Tompkins","Cornell Plantations/Beebe Lake Woods","","","","","282324","1","","","","Private:  Cornell University","59.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Tom Howard","2020-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6655","N"
"River Birch","Betula nigra","Ohio","Cuyahoga","Huntington Reservation","","","","","5905","1","","","","Metroparks","65.3'","Clinometer/laser rangefinder/sine","","","","","Steve Galehouse","2011-08-20","","N"
"River Birch","Betula nigra","Ohio","Cuyahoga","Shaker Lakes","41 29.394","-081 35.122","","","162556","1","41 29.394","-081 35.122","","public","63.0'","Clinometer/laser rangefinder/sine","","","","multi-stem","Stefan Radivoyevitch","2017-04-17","","N"
"River Birch","Betula nigra","Pennsylvania","Bucks","Dark Hollow Park","","","","","166251","1","","","","Public - county","51.9'","Clinometer/laser rangefinder/sine","5.2'","62''","","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
"River Birch","Betula nigra","Pennsylvania","Bucks","Tyler State Park","40 14.234","-074 58.277","","","142870","1","40 14.234","-074 58.277","","State","66.9'","Clinometer/laser rangefinder/sine","4.3'","51''","","Single stem.","George Fieo","2011-11-22","","N"
"River Birch","Betula nigra","Pennsylvania","Bucks","Tyler State Park","40 14.302","-074 58.239","","","142871","1","40 14.302","-074 58.239","","State","72.7'","Clinometer/laser rangefinder/sine","7.4'","89''","","Single stem.","George Fieo","2011-11-22","","N"
"River Birch","Betula nigra","Pennsylvania","Chester/Montgomery","Andruss Island","","","","","143120","1","","","","Non-Profit Organisation","67.7'","Clinometer/laser rangefinder/sine","5.8'","69''","","","George Fieo","2010-10-14","","N"
