"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Paper Birch","Betula papyrifera","Connecticut","Hartford","Weed Hill","","","","","243159","1","","","","private","70.0'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Paper Birch","Betula papyrifera","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250489","1","","","","Public - city","66.4'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Paper Birch","Betula papyrifera","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250488","1","","","","Public - city","72.5'","Clinometer/laser rangefinder/sine","1.9'","23''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Paper Birch","Betula papyrifera","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250487","1","","","","Public - city","78.1'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Paper Birch","Betula papyrifera","Massachusetts","Worcester","Northwoods","","","","","124416","1","","","","Private","78.1'","Clinometer/laser rangefinder/sine","2.6'","31''","","","Jared Lockwood","2016-05-03","","N"
"Paper Birch","Betula papyrifera","Massachusetts","Worcester","Sochalaski Cnservation Lands","","","","","250371","1","","","","Public - city","78.1'","Clinometer/laser rangefinder/sine","","","","","Jared Lockwood","2016-05-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7682%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Paper Birch","Betula papyrifera","Nebraska","Cherry","Smith Falls State Park","","","265 Acres","","220439","1","","","","Public - state","57.6'","Clinometer/laser rangefinder/sine","6.2'","74''","","","Jess Riddle","2013-09-14","","N"
"Paper Birch","Betula papyrifera","New Jersey","Sussex","Dryden Kuser Natural Area","","","The highest elevation and farthest inland of an Atlantic Cedar Swamp.
850 acres in the Natural Area","","169992","1","","","","Public - state","","Clinometer/laser rangefinder/sine","","","","No measurements taken","Dale Luthringer","2008-04-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fnew_jersey%2Fhighpoint%2Fhigh_point_state_park_nj1.htm","N"
"Paper Birch","Betula papyrifera","New York","Hamilton","Pine Orchard","","","","","207811","1","","","","Public","83.0'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Elijah Whitcomb","2016-06-11","","N"
"Paper Birch","Betula papyrifera","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220767","1","","","","Public (NYS)","58.5'","Clinometer/laser rangefinder/sine","3.5'","42''","","Girth is circumference of larger of two trunks.","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Paper Birch","Betula papyrifera","Pennsylvania","Elk","Marion Brooks Natural Area","","","Four trees were measured on 7/12/2009
Trees measured were away from the area of an almost pure stand of Paper Birch.","","139526","1","","","","Public - state","45.0'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Edward Frank","2009-01-02","","N"
"Paper Birch","Betula papyrifera","Pennsylvania","Elk","Marion Brooks Natural Area","","","Four trees were measured on 7/12/2009
Trees measured were away from the area of an almost pure stand of Paper Birch.","","166118","1","","","","Public - state","74.8'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Edward Frank","2009-01-01","","N"
"Paper Birch","Betula papyrifera","Pennsylvania","Lycoming","Lebo Run Natural Area","","","Red Pine probably occurring in natural stands.","","166161","1","","","","Public - state","71.6'","Clinometer/laser rangefinder/sine","3.1'","37''","","Height is Not Less Than (NLT)","Dale Luthringer","2003-09-10","","N"
"Paper Birch","Betula papyrifera","South Dakota","Custer","Custer State Park","","","71,000 acres","","233577","1","","","","Public - state","","Clinometer/laser rangefinder/sine","5.2'","62''","33.5'","Located near Little Devils Tower Trailhead.","Mark Rouw","1998-06-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8%23p26840","N"
"Paper Birch","Betula papyrifera","South Dakota","Custer","French Creek Natural Area","","","Custer State Park contains 71,000 Acres","","233557","1","","","","Public - state","","Clinometer/laser rangefinder/sine","4.8'","57''","","","Jess Riddle","2013-12-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5956%26sid%3Dbe2a6b507e3b05e9781ac1891ef2a5c8","N"
"Paper Birch","Betula papyrifera","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243375","1","","","","Public - federal and state","62.6'","Clinometer/laser rangefinder/sine","3.3'","39''","","","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Paper Birch","Betula papyrifera","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243374","1","","","","Public - federal and state","65.2'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Paper Birch","Betula papyrifera","South Dakota","Custer","Peter Norbeck Scenic Byway","","","Trees not measured along the Needles section of the highway will be indicated under comments.","","243373","1","","","","Public - federal and state","66.5'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2014-12-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D123%26t%3D5925%26sid%3Db59a3ed113a2c30df29ac71d934c5284%23p26692","N"
"Paper Birch","Betula papyrifera","Vermont","Caledonia","Table Top Mountain","","","","","253233","1","","","","Public - state","","Clinometer/laser rangefinder/sine","6.0'","72''","","","Adam Rosen","2016-06-22","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D127%26t%3D7737%26sid%3D488d19003a7e80a6f7d8141547e0010e","N"
"Paper Birch","Betula papyrifera","Wisconsin","Douglas","Douglas County","","","120 Acre tract. Was a diary farm","","233389","1","","","","Private","65.2'","Clinometer/laser rangefinder/sine","4.3'","52''","30.0'","","Larry Tucei","2007-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwisconsin%2Fdouglas%2Fdouglas_county.htm","N"
"Paper Birch","Betula papyrifera","West Virginia","54 Counties","West Virginia Historical Trees","","","Trees that have died or been removed.This is a State wide listing except for Wood County which is in a separate list.
All heights determined by Sine method  with laser/inclinometer. Some trees have height missing because it was never taken or the Sine method was not used. These trees were mostly measured 2008 and before.","","312144","1","","","","Public and Private","","Clinometer/laser rangefinder/sine","3.0'","36''","20.5'","Measured by J. Bowen 2010 on Nathaniel Mountain Public Hunting Area near Romney, Hampshire County. Originally measured by J. Bowen 2002 at # x 30.2"" x 20.5'. Tree dead 2015.","Various Various","1963-01-01","","N"
"Paper Birch","Betula papyrifera","West Virginia","54 Counties","West Virginia Single Tree Sites","38 34.929","-079 27.185","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313122","1","38 34.929","-079 27.185","2920.0 ft","Private & Publc","67.0'","Clinometer/laser rangefinder/sine","2.6'","31''","22.0'","Tree is on Chestnut Woods Association property, Pendlton County
Measured by J. Bowen 3/13/2013.
Crown Spread is an average of two measurements","Various Various","1963-01-01","","N"
"Paper Birch","Betula papyrifera","Yukon","None","Watson Lake Campground","","","","","75003","1","","","2329.4 ft","Public","57.8'","Clinometer/laser rangefinder/sine","3.2'","38''","","","Turner Sharp, John Fichtner","2012-08-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D42%26t%3D5515%23p24194","N"
