"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Incense Cedar","Calocedrus decurrens","California","Riverside","Fuller Mill Creek Picnic Area","33 47.868","-116 44.916","","","318012","1","33 47.868","-116 44.916","5190.0 ft","Public","142.3'","Clinometer/laser rangefinder/sine","13.8'","166''","","","Elijah Whitcomb","2024-07-17","","N"
"Incense Cedar","Calocedrus decurrens","California","Riverside","Mt. San Jacinto Deer Springs Trail","33 46.760","-116 42.439","","","320690","1","33 46.760","-116 42.439","7810.0 ft","Public","95.0'","Clinometer/laser rangefinder/sine","22.1'","265''","","","Elijah Whitcomb","2025-01-17","","N"
"Incense Cedar","Calocedrus decurrens","California","Sierra","Calpine Area","","","","","280611","1","","","","Public-Private","","Clinometer/laser rangefinder/sine","18.5'","222''","","","Duncan Kennedy","2015-10-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D69%26t%3D7269%26sid%3D5f71f917dc54063ca00a976afca0ec9b","N"
"Incense Cedar","Calocedrus decurrens","California","Tulare","Sequoia National Park","","","","","234268","1","","","","Public","","Clinometer/laser rangefinder/sine","14.1'","170''","","","Brandon Gallagher","2007-04-02","","N"
"Incense Cedar","Calocedrus decurrens","California","Tulare","Sequoia National Park","","","","","274336","1","","","","Public","144.2'","Clinometer/laser rangefinder/sine","","","","Giant Forest","Elijah Whitcomb","2022-07-11","","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Buncombe","Kenilworth Pinetum","","","","","39767","1","","","","Private Home","89.8'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-12-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D4802","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Polk","Saluda Incense Cedars","","","","","40597","1","","","","Private Home","80.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5152","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Polk","Saluda Incense Cedars","35 14.153","-082 21.195","","","225711","1","35 14.153","-082 21.195","","Private Home","107.0'","Clinometer/laser rangefinder/sine","12.7'","152''","27.0'","Located near intersection of Pace Street and US 176.","Will Blozan","2007-09-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5152","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Polk","Saluda Incense Cedars","","","","","40596","1","","","","Private Home","110.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5152","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Polk","Saluda Incense Cedars","","","","","225710","1","","","","Private Home","121.8'","Clinometer/laser rangefinder/sine","11.4'","137''","31.0'","","Will Blozan","2007-09-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5152","N"
"Incense Cedar","Calocedrus decurrens","North Carolina","Polk","Saluda Incense Cedars","","","","","40595","1","","","","Private Home","122.5'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5152","N"
"Incense Cedar","Calocedrus decurrens","New York","Monroe","Highland Park","","","","","226085","1","","","","Public","42.1'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Incense Cedar","Calocedrus decurrens","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224543","1","","","600.0 ft","Private - open to public","64.7'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
