"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Saguaro","Carnegiea gigantea","Arizona","Maricopa","Jewel Of The Creek Preserve","","","","","239504","1","","","2300.0 ft","Public - Land Trust","28.3'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Turner Sharp","2012-02-26","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Arizona-Sonora Desert Museum","32 14.627","-111 10.136","Admission fee required. About 2 miles of trails on 98 acres with labelled plant specimens","","159288","1","32 14.627","-111 10.136","2800.0 ft","Private","32.6'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2017-02-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Catalina State Park","32 25.543","-110 54.558","Trees were measured along the washes and campground areas.","","159298","1","32 25.543","-110 54.558","2800.0 ft","Public - state","37.8'","Clinometer/laser rangefinder/sine","","","","","Turner Sharp, Susan Sharp","2017-02-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro National Park - East","32 12.703","-110 43.487","","","159292","1","32 12.703","-110 43.487","2800.0 ft","Public - federal","23.6'","Clinometer/laser rangefinder/sine","","","","Along Mica View Trail.
6 arms","Turner Sharp, Susan Sharp","2017-02-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro National Park - East","32 12.742","-110 43.501","","","159293","1","32 12.742","-110 43.501","2800.0 ft","Public - federal","31.1'","Clinometer/laser rangefinder/sine","","","","Along Mica View Trail.
6 arms.","Turner Sharp, Susan Sharp","2017-02-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro National Park - East","32 12.769","-110 43.540","","","159294","1","32 12.769","-110 43.540","2800.0 ft","Public - federal","33.2'","Clinometer/laser rangefinder/sine","6.8'","81''","","Along Mica View Trail.
13 arms from main trunk, plus 14 secondary arms","Turner Sharp, Susan Sharp","2017-02-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro National Park - East","32 12.969","-110 43.559","","","159295","1","32 12.969","-110 43.559","2800.0 ft","Public - federal","37.5'","Clinometer/laser rangefinder/sine","","","","Along Mica View Trail.
GPS co-ordinates are along the trail.","Turner Sharp, Susan Sharp","2017-02-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro NP - West","32 15.660","-111 12.525","","","24663","1","32 15.660","-111 12.525","2400.0 ft","Public - National Park","27.0'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Turner Sharp","2012-02-20","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro NP - West","32 17.453","-111 12.477","","","24668","1","32 17.453","-111 12.477","2500.0 ft","Public - National Park","29.6'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Turner Sharp","2012-02-20","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro NP - West","32 17.453","-111 12.477","","","24669","1","32 17.453","-111 12.477","2500.0 ft","Public - National Park","29.6'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Turner Sharp","2012-02-20","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro NP - West","32 15.660","-111 12.525","","","24664","1","32 15.660","-111 12.525","2400.0 ft","Public - National Park","33.0'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Turner Sharp","2012-02-20","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Saguaro NP - West","32 15.660","-111 12.525","","","24662","1","32 15.660","-111 12.525","2400.0 ft","Public - National Park","42.3'","Clinometer/laser rangefinder/sine","5.8'","69''","","","Turner Sharp","2012-02-20","","N"
"Saguaro","Carnegiea gigantea","Arizona","Pima","Tohono Ghul Botanical Park","32 20.327","-110 58.862","Must pay admission fee.","","159265","1","32 20.327","-110 58.862","2600.0 ft","Private","19.3'","Clinometer/laser rangefinder/sine","4.7'","56''","","Circumference at 1/2' is 2.9'.
This Saguaro has 5 arms.","Turner Sharp","2017-02-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D175%26t%3D8181","N"
