"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Hornbeam","Carpinus caroliniana","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233860","1","","","","Public - federal","62.6'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"American Hornbeam","Carpinus caroliniana","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241447","1","","","","Public - state","57.9'","Clinometer/laser rangefinder/sine","2.2'","26''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Fulton","Leita Thompson Memorial Park","","","107 Acres","","249282","1","","","","Public - city","66.8'","Clinometer/laser rangefinder/sine","2.0'","24''","","","Jess Riddle","2013-03-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D5097%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Habersham","Davidson Creek","","","","","234922","1","","","","Public - federal","49.9'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Jess Riddle","2003-05-04","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fdavidson_creek.htm","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Rabun","Cliff Creek","","","","","235188","1","","","","Public - federal","54.5'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Rabun","Cliff Creek","","","","","234949","1","","","","Public - federal","55.8'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Jess Riddle","2004-12-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Rabun","Cliff Creek","","","","","235189","1","","","","Public - federal","61.4'","Clinometer/laser rangefinder/sine","2.7'","32''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Rabun","Cliff Creek","","","","","235190","1","","","","Public - federal","67.2'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Georgia","Stephens","Panther Creek","","","","","249198","1","","","","Public - federal","63.9'","Clinometer/laser rangefinder/sine","2.3'","27''","","","Jess Riddle, Doug Riddle","2011-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D3469%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"American Hornbeam","Carpinus caroliniana","Massachusetts","Worcester","Norhwoods Core Conservation Area-Bolton","","","","","250530","1","","","","Public - city","13.8'","Clinometer/laser rangefinder/sine","0.3'","4''","","","Jared Lockwood","2016-05-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7692%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
