"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Kentucky","Edmonson","Mammoth Cave National Park","37 10.795","-086 06.611","","","297583","1","37 10.795","-086 06.611","410.0 ft","Public","54.6'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Elijah Whitcomb","2023-06-23","","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","231978","1","","","","Public - state","49.8'","Clinometer/laser rangefinder/sine","1.9'","23''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Maryland","Harford","Gunpowder Falls State Park","","","18,000 acres in Baltimore and Harford Counties","","231763","1","","","","Public - state","28.9'","Clinometer/laser rangefinder/sine","1.7'","20''","","","George Fieo","2016-11-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8747%26sid%3D97ab2f9c9694ae17b9e495f826350141","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Maryland","Howard","Avalon Section Of Patapsco Valley State Park","","","16,043 acres in Baltimore and Howard Counties
Trees were measured in the Avalon and Orange Grove section of the park","","230998","1","","","","Public - state park","36.4'","Clinometer/laser rangefinder/sine","1.5'","18''","","","George Fieo","2017-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8745%26sid%3D0f283f6872d048235790bc6c09610d80%23p44618","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","New York","Monroe","Ellison Park","43 08.436","-077 30.702","","","323158","1","43 08.436","-077 30.702","","Public","36.8'","Clinometer/laser rangefinder/sine","1.7'","20''","","","Elijah Whitcomb","2025-12-26","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7882%26start%3D10","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220903","1","","","","Public (NYS)","45.3'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Ohio","Washington","Marietta Street Trees","39 24.977","-081 27.067","","","272998","1","39 24.977","-081 27.067","","Public - city","31.9'","Clinometer/laser rangefinder/sine","2.8'","33''","","Measured  1/29/2020 along   4th Street.","Turner Sharp","2009-01-01","","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Pennsylvania","Bucks","Dark Hollow Park","40 16.425","-075 05.591","","","166230","1","40 16.425","-075 05.591","200.0 ft","Public - county","40.1'","Clinometer/laser rangefinder/sine","1.8'","22''","","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Pennsylvania","Bucks","Dark Hollow Park","","","","","166231","1","","","","Public - county","42.3'","Clinometer/laser rangefinder/sine","1.4'","17''","","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
"American Hornbeam","Carpinus caroliniana ssp. virginiana","Pennsylvania","Bucks","Dark Hollow Park","","","","","166232","1","","","","Public - county","45.1'","Clinometer/laser rangefinder/sine","3.1'","37''","55.0'","","George Fieo","2009-08-08","nativetreesociety.org%2Ffieldtrips%2Fpenna%2F20090824-darkhollow%2Fdark_hollow_park_bucks_county_pa.htm","N"
