"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pignut Hickory","Carya glabra","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233854","1","","","","Public - federal","132.2'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Pignut Hickory","Carya glabra","Arkansas","Ashley","Beech Creek In Overflow National Wildlife Refuge","","","12,247 Acres in the Overlow National Wildlife Refuge.
239 Acres tract along Beech Creek featuring mature Sugar Maple and Beech","","243099","1","","","","Public - federal","121.4'","Clinometer/laser rangefinder/sine","9.3'","111''","","","Jess Riddle","2014-07-04","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6434%26sid%3Dc7b0c51175f428387223b27bc9c22940%23p29208","N"
"Pignut Hickory","Carya glabra","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241584","1","","","","Public - state","125.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Pignut Hickory","Carya glabra","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241583","1","","","","Public - state","125.6'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Pignut Hickory","Carya glabra","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241646","1","","","","Private","121.4'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Pignut Hickory","Carya glabra","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241645","1","","","","Private","121.7'","Clinometer/laser rangefinder/sine","6.8'","81''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Pignut Hickory","Carya glabra","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76127","1","","","200.0 ft","Public - National Park","129.1'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Pignut Hickory","Carya glabra","District of Columbia","District Of Columbia","Glover - Archbold Park","","","This park is administered by the the NPS Rock Creek
Park staff","","76128","1","","","200.0 ft","Public - National Park","129.7'","Clinometer/laser rangefinder/sine","8.1'","98''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2008-10-24","","N"
"Pignut Hickory","Carya glabra","District of Columbia","District Of Columbia","Klingle Valley Parkway","38 55.988","-077 03.291","This is an administrative unit of Rock Creek Park","","76046","1","38 55.988","-077 03.291","200.0 ft","Public - National Park","97.0'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Darian Copiz","2004-12-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Fklingle%2Fklingle_valley.htm","N"
"Pignut Hickory","Carya glabra","District of Columbia","District Of Columbia","Melvin Hazen Trail Into Rock Creek Park","","","","","76093","1","","","200.0 ft","Public - National Park","124.9'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Will Blozan","2005-01-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","Brandywine Creek State Park","","","","","142906","1","","","","State","138.8'","Clinometer/laser rangefinder/sine","9.6'","115''","","","George Fieo","2011-01-09","","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","Brandywine Creek State Park","","","","","142907","1","","","","State","140.5'","Clinometer/laser rangefinder/sine","7.4'","89''","","","George Fieo","2011-01-09","","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","Brandywine Creek State Park","","","","","142908","1","","","","State","141.2'","Clinometer/laser rangefinder/sine","7.2'","86''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","Brandywine Creek State Park","","","","","142909","1","","","","State","141.7'","Clinometer/laser rangefinder/sine","7.3'","88''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232120","1","","","","Public - federal","127.4'","Clinometer/laser rangefinder/sine","9.5'","114''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232121","1","","","","Public - federal","140.8'","Clinometer/laser rangefinder/sine","7.0'","83''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232122","1","","","","Public - federal","143.0'","Clinometer/laser rangefinder/sine","9.4'","113''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Pignut Hickory","Carya glabra","Delaware","New Castle","Flint Woods {Reserve","","","37 Acres with additional acreage under conservation easement.","","232223","1","","","","Public - state","131.2'","Clinometer/laser rangefinder/sine","7.1'","85''","","","George Fieo","2014-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8740%26sid%3D4b23d5b42476125c3d869ba89d4ef743","N"
