"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Pecan","Carya illinoinensis","Alabama","Montgomery","Alabama Single Tree Sites","33 36.412","-091 12.318","","","253883","1","33 36.412","-091 12.318","","Public-Private","127.3'","Clinometer/laser rangefinder/sine","16.4'","197''","","Measured by J. Riddle 12/28/2015 in Arkansas City, Desha County","Various Various","2001-01-01","","N"
"Pecan","Carya illinoinensis","Andalusia","Sevilla","Royal Alcszar O Selille","","","","","274942","1","","","","Public - federal","80.5'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Turner Sharp","2014-10-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D403%26t%3D6982%26sid%3D17cca9bfba6e01cbcdc72033af7f7718%23p32830","N"
"Pecan","Carya illinoinensis","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233950","1","","","","Public - state","74.3'","Clinometer/laser rangefinder/sine","10.1'","121''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Pecan","Carya illinoinensis","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233949","1","","","","Public - state","74.8'","Clinometer/laser rangefinder/sine","7.4'","89''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Pecan","Carya illinoinensis","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233951","1","","","","Public - state","77.4'","Clinometer/laser rangefinder/sine","10.8'","130''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Pecan","Carya illinoinensis","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19250","1","","","","Park","121.5'","Clinometer/laser rangefinder/sine","","","","","Eli ?","2012-01-28","","N"
"Pecan","Carya illinoinensis","Illinois","Sangamon","Illinois Single Tree Sites","38 25.334","-089 53.788","","","171017","1","38 25.334","-089 53.788","","Public- Private","100.0'","Clinometer/laser rangefinder/sine","","","","Measured by Beth Koebel 5/6/2007 Located near Freeburg, St. Claire County.","Various Various","2000-01-01","","N"
"Pecan","Carya illinoinensis","Louisiana","East Baton Rouge Parish","Louisiana Single Tree Sites","30 24.528","-091 13.828","","","253891","1","30 24.528","-091 13.828","","Public-Private","90.0'","Clinometer/laser rangefinder/sine","12.2'","146''","121.5'","Measured by L. Tucei 5/4/2009 near the town of Brusly, West Baton Rouge Parish.","Various Various","2000-01-01","","N"
"Pecan","Carya illinoinensis","Missouri","Mississippi","Big Oak Tree State Park","36 38.792","-089 18.907","","","283683","1","36 38.792","-089 18.907","265.0 ft","Public","121.1'","Clinometer/laser rangefinder/sine","11.5'","138''","","","Elijah Whitcomb","2022-11-26","","N"
"Pecan","Carya illinoinensis","Missouri","Mississippi","Big Oak Tree State Park","36 38.747","-089 18.961","","","283684","1","36 38.747","-089 18.961","260.0 ft","Public","125.1'","Clinometer/laser rangefinder/sine","11.0'","132''","","","Elijah Whitcomb","2022-11-26","","N"
"Pecan","Carya illinoinensis","Missouri","Mississippi","Big Oak Tree State Park","36 38.820","-089 18.672","","","283685","1","36 38.820","-089 18.672","255.0 ft","Public","126.1'","Clinometer/laser rangefinder/sine","11.9'","143''","","","Elijah Whitcomb","2022-11-26","","N"
"Pecan","Carya illinoinensis","Missouri","Mississippi","Big Oak Tree State Park","36 38.451","-089 17.018","","","283636","1","36 38.451","-089 17.018","300.0 ft","Public","127.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Elijah Whitcomb","2022-11-26","","N"
"Pecan","Carya illinoinensis","Missouri","Mississippi","Big Oak Tree State Park","36 38.668","-089 17.524","","","283637","1","36 38.668","-089 17.524","315.0 ft","Public","131.3'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Elijah Whitcomb","2022-11-26","","N"
"Pecan","Carya illinoinensis","Mississippi","Sharkey","Delta National Forest","","","90,898 acres with seven Ranger Districts.   
This entire national forest is under supervision of the State of Mississippi's Wildlife Department under the name of the Sunflower Wildlife Management Area.","","251109","1","","","","Public - federal","120.5'","Clinometer/laser rangefinder/sine","7.3'","87''","","In the Overcup Natural Research Area. 40 acres","Larry Tucei","2014-02-19","","N"
"Pecan","Carya illinoinensis","Mississippi","Warren","Vicksburg National Military Park","32 20.856","-090 50.753","","","320711","2","32 20.856","-090 50.753","210.0 ft","Public","121.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Elijah Whitcomb","2025-01-07","","N"
"Pecan","Carya illinoinensis","New York","Monroe","Highland Park","","","","","226047","1","","","","Public","88.1'","Clinometer/laser rangefinder/sine","4.9'","59''","","CBH is 1 of 2 main stems.","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Pecan","Carya illinoinensis","Pennsylvania","Bucks","Dilly's Corner","","","Dilly's Corner is located between New Hope and Lumberville along the Delaware River and across the river from Stockton, NJ","","133208","1","","","","Private","91.3'","Clinometer/laser rangefinder/sine","8.1'","97''","82.0'","","Scott Wade","2006-02-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fnew_hope.htm","N"
"Pecan","Carya illinoinensis","Pennsylvania","Various Counties","Pennsylvania Single Tree Sites","40 26.407","-075 55.534","","","255936","1","40 26.407","-075 55.534","300.0 ft","Public, Private","91.9'","Clinometer/laser rangefinder/sine","18.7'","224''","132.0'","Measured by S. Wade, M. Varnes, T. DeLong on 8/25/2006. Tree located on 91A Bower Lane near Leesport, Berks County.","Various Various","2000-01-01","","N"
"Pecan","Carya illinoinensis","South Carolina","Abbeville","Bennett Homestead","","","","","238192","1","","","","Private","103.0'","Clinometer/laser rangefinder/sine","11.0'","132''","","","James Parton","2008-11-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fbennett_homestead_lowndesville.htm","N"
"Pecan","Carya illinoinensis","South Carolina","Richland","South Carolina Single Tree Sites","33 54.187","-080 51.568","","","252607","1","33 54.187","-080 51.568","","Pulic, Private","105.0'","Clinometer/laser rangefinder/sine","18.1'","217''","150.0'","Measured by M. Houchins 2/22/2009.
Crown spread is maxmum. Average ovf two axis method is 123.8'
Originally measured by M. Houtchins at 216"" CBH on 3/7/2007 near Hopkins, Richland County.","Various Various","2000-01-01","","N"
"Pecan","Carya illinoinensis","Tennessee","Davidson","Mt. Olivet & Calvary Cemeteries","36 08.899","-086 44.125","","","315491","1","36 08.899","-086 44.125","495.0 ft","Public","103.1'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Elijah Whitcomb","2024-02-10","","N"
"Pecan","Carya illinoinensis","Tennessee","Davidson","Tennessee Single Tree Sites","35 57.922","-083 11.276","","","229807","1","35 57.922","-083 11.276","","Public, Private","141.1'","Clinometer/laser rangefinder/sine","","","","Measured by M. Davie on 9/8/2003 in Newport, Cocke County.","Various Various","2000-01-01","","N"
"Pecan","Carya illinoinensis","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 37.520","-089 51.767","","","320405","1","35 37.520","-089 51.767","500.0 ft","Public","103.2'","Clinometer/laser rangefinder/sine","6.9'","83''","","Likely planted","Elijah Whitcomb","2024-12-14","","N"
"Pecan","Carya illinoinensis","Tennessee","Lauderdale","Fort Pillow State Historic Park","35 38.846","-089 49.718","","","320474","1","35 38.846","-089 49.718","455.0 ft","Public","114.2'","Clinometer/laser rangefinder/sine","7.7'","92''","","","Elijah Whitcomb","2024-12-14","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.375","-090 01.601","","","321792","1","35 22.375","-090 01.601","290.0 ft","Public","122.1'","Clinometer/laser rangefinder/sine","11.8'","142''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.026","-090 02.294","","","321820","1","35 22.026","-090 02.294","270.0 ft","Public","131.3'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.099","-090 02.263","","","321819","1","35 22.099","-090 02.263","285.0 ft","Public","132.4'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 20.339","-090 05.219","","","321965","1","35 20.339","-090 05.219","190.0 ft","Public","136.0'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 18.508","-090 05.725","","","321966","1","35 18.508","-090 05.725","200.0 ft","Public","136.8'","Clinometer/laser rangefinder/sine","12.0'","144''","","Swollen base","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 18.506","-090 05.652","","","321967","1","35 18.506","-090 05.652","220.0 ft","Public","137.3'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 22.787","-090 04.029","","","321897","1","35 22.787","-090 04.029","275.0 ft","Public","138.8'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 21.503","-090 04.994","","","321927","1","35 21.503","-090 04.994","210.0 ft","Public","139.7'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","Meeman-Shelby Forest State Park","35 18.435","-090 05.388","","","321968","1","35 18.435","-090 05.388","215.0 ft","Public","145.7'","Clinometer/laser rangefinder/sine","12.2'","146''","","","Elijah Whitcomb","2025-02-13","","N"
"Pecan","Carya illinoinensis","Tennessee","Shelby","T.O. Fuller State Park","35 03.598","-090 07.070","","","320763","1","35 03.598","-090 07.070","335.0 ft","Public","131.4'","Clinometer/laser rangefinder/sine","9.9'","119''","","","Elijah Whitcomb","2025-01-27","","N"
"Pecan","Carya illinoinensis","Texas","Taylor","Buffalo Gap Old Settlers Reunion Grounds","32 16.857","-099 49.568","","","320679","1","32 16.857","-099 49.568","1945.0 ft","Public","45.5'","Clinometer/laser rangefinder/sine","5.1'","62''","","","Elijah Whitcomb","2025-01-12","","N"
"Pecan","Carya illinoinensis","Virginia","Fairfax","Mount Vernon","","","","","48250","1","","","","Private, open to public","122.4'","Clinometer/laser rangefinder/sine","","","","","Will Blozan","2010-01-22","","N"
"Pecan","Carya illinoinensis","West Virginia","54 Counties","West Virginia Single Tree Sites","39 35.154","-077 57.112","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313189","1","39 35.154","-077 57.112","","Private & Publc","","Clinometer/laser rangefinder/sine","15.3'","184''","","Measured by T. Williamson 2021
Previously measured by J. Bowen 2010 at 100.4' x  164.7"" x 107.3'.
Crown spread is an average of two-axis method.
Tree located along Little George Road just past B&O overpass on on D.R.Dodd property called Potomac Riverside Farm, Berkeley County.","Various Various","1963-01-01","","N"
"Pecan","Carya illinoinensis","West Virginia","54 Counties","West Virginia Single Tree Sites","39 25.302","-077 49.270","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313230","1","39 25.302","-077 49.270","","Private & Publc","108.0'","Clinometer/laser rangefinder/sine","13.5'","161''","99.3'","Measured by H. Peddicord 2019. Tree located in Morgan's Grove Park near Shepherdstown, Jefferson County.
Crown spread is an average of two axis method.","Various Various","1963-01-01","","N"
"Pecan","Carya illinoinensis","West Virginia","Wood","Wood County Historical Trees","39 16.527","-081 32.966","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315283","1","39 16.527","-081 32.966","","Public and Private","81.2'","Clinometer/laser rangefinder/sine","7.6'","91''","44.0'","Measured by T. Sharp 2015 at 1705 Avery Street, Parkersburg in front yard.
Previously measured by T. Sharp 2008 at 68' x 68: x 42'. Crown spread is an average of the two spoke method.","Turner Sharp","2000-01-01","","N"
