"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Shellbark Hickory","Carya laciniosa","Georgia","Rabun","Upper Tallulah River","","","","","249617","1","","","","Public - federal","127.9'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Jess Riddle, Doug Riddle","2014-09-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6494%26sid%3D6744f533e0a6b584a1da3c0e88b3e7de%23p29580","N"
"Shellbark Hickory","Carya laciniosa","Georgia","Rabun","Upper Tallulah River","","","","","249616","1","","","","Public - federal","137.8'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Jess Riddle, Doug Riddle","2014-09-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D6494%26sid%3D6744f533e0a6b584a1da3c0e88b3e7de%23p29580","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Edmonson","Mammoth Cave National Park","37 12.753","-086 14.098","","","297296","1","37 12.753","-086 14.098","500.0 ft","Public","106.7'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Elijah Whitcomb","2023-06-23","","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Edmonson","Mammoth Cave National Park","37 13.545","-086 05.777","","","297488","1","37 13.545","-086 05.777","455.0 ft","Public","120.0'","Clinometer/laser rangefinder/sine","10.5'","126''","","","Elijah Whitcomb","2023-06-23","","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Edmonson","Mammoth Cave National Park","37 13.345","-086 04.809","","","297545","1","37 13.345","-086 04.809","465.0 ft","Public","129.0'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2023-06-23","","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Edmonson","Mammoth Cave National Park","37 12.038","-086 13.955","","","297758","1","37 12.038","-086 13.955","405.0 ft","Public","130.3'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Elijah Whitcomb","2023-06-23","","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Harrison","Griffith Woods Wildlife Management Area","","","","","174565","1","","","","Public - state","","Clinometer/laser rangefinder/sine","11.0'","132''","","","Mark Rouw, Matt Markworth, Landon Smith","2014-10-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D82%26t%3D6836%23p31695","N"
"Shellbark Hickory","Carya laciniosa","Kentucky","Trigg","Hematite Lake","36 53.717","-088 02.383","","","322694","1","36 53.717","-088 02.383","395.0 ft","Public","130.5'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Elijah Whitcomb","2025-09-20","","N"
"Shellbark Hickory","Carya laciniosa","Missouri","Mississippi","Big Oak Tree State Park","","","","","171772","1","","","","Public","117.7'","Clinometer/laser rangefinder/sine","7.0'","84''","","Picnic area","Don Bragg","2005-07-29","","N"
"Shellbark Hickory","Carya laciniosa","Missouri","Mississippi","Big Oak Tree State Park","36 38.682","-089 17.116","","","283634","1","36 38.682","-089 17.116","310.0 ft","Public","118.3'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb","2022-11-26","","N"
"Shellbark Hickory","Carya laciniosa","Missouri","Mississippi","Big Oak Tree State Park","36 38.663","-089 17.323","","","283635","1","36 38.663","-089 17.323","370.0 ft","Public","123.1'","Clinometer/laser rangefinder/sine","8.9'","106''","","","Elijah Whitcomb","2022-11-26","","N"
"Shellbark Hickory","Carya laciniosa","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251398","1","","","","Public - federal","115.5'","Clinometer/laser rangefinder/sine","7.3'","87''","","Measured along Noxubee River and Oktoc Creek","Larry Tucei","2014-01-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Shellbark Hickory","Carya laciniosa","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242683","1","","","","Public","90.3'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Elijah Whitcomb","2021-05-17","","N"
"Shellbark Hickory","Carya laciniosa","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242684","1","","","","Public","100.4'","Clinometer/laser rangefinder/sine","7.1'","86''","","","Elijah Whitcomb","2021-05-17","","N"
"Shellbark Hickory","Carya laciniosa","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281012","1","","","","Public - state","99.5'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Shellbark Hickory","Carya laciniosa","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281011","1","","","","Public - state","105.0'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Shellbark Hickory","Carya laciniosa","New York","Monroe","Durand Eastman Park","","","","","281862","1","","","","Public","97.1'","Clinometer/laser rangefinder/sine","5.2'","62''","","","Elijah Whitcomb","2020-10-05","","N"
"Shellbark Hickory","Carya laciniosa","New York","Monroe","Highland Park","","","","","226054","1","","","","Public","95.0'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Shellbark Hickory","Carya laciniosa","New York","Wayne/Cayuga","Howland's Island","","","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220904","1","","","","Public (NYS)","83.5'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Shellbark Hickory","Carya laciniosa","Ohio","Athens","Lin Hall Grounds","","","","","96891","1","","","","Public, State","81.3'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Turner Sharp","2012-12-28","","N"
"Shellbark Hickory","Carya laciniosa","Ohio","Fulton","Goll Woods State Natural Area","","","","","9628","1","","","","public","117.6'","","","","","","Will Blozan, Tom Diggins","2007-04-15","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fohio%2Fgoll_woods%2Fgoll_woods_state_natural_area.htm","N"
"Shellbark Hickory","Carya laciniosa","Ohio","Warren","Schappacher Park","","","4686 Old Irwin Road
Mason, Ohio","","187649","1","","","","Public - county","78.5'","Clinometer/laser rangefinder/sine","","","","","Matt Markworth","2018-08-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D8354","N"
"Shellbark Hickory","Carya laciniosa","Pennsylvania","Delaware","Our Lady Of Angels Convent","","","","","133880","1","","","200.0 ft","Private","105.5'","Clinometer/laser rangefinder/sine","7.9'","95''","","","Scott Wade","2005-03-21","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Four_lady_of_angels.htm","N"
"Shellbark Hickory","Carya laciniosa","Pennsylvania","Delaware","Rocky Run - Tyler Arboretum","","","","","135630","1","","","","Private","110.2'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Scott Wade","2006-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Ftyler_arboretum_pa.htm","N"
"Shellbark Hickory","Carya laciniosa","Pennsylvania","Delaware","Rocky Run - Tyler Arboretum","","","","","135631","1","","","","Private","126.1'","Clinometer/laser rangefinder/sine","5.5'","66''","","","Scott Wade","2006-04-17","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Ftyler_arboretum_pa.htm","N"
"Shellbark Hickory","Carya laciniosa","Tennessee","Davidson","Edwin & Percy Warner Parks","36 04.761","-086 52.100","","","315862","1","36 04.761","-086 52.100","730.0 ft","Public","90.5'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2024-01-28","","N"
