"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Shagbark Hickory","Carya ovata","Alabama","Jackson","Walls Of Jericho","34 58.681","-086 04.985","","","315734","1","34 58.681","-086 04.985","1690.0 ft","Public","121.5'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Elijah Whitcomb","2024-04-20","","N"
"Shagbark Hickory","Carya ovata","Alabama","Jackson","Walls Of Jericho","34 59.252","-086 05.956","","","315713","1","34 59.252","-086 05.956","845.0 ft","Public","127.7'","Clinometer/laser rangefinder/sine","4.7'","56''","","","Elijah Whitcomb","2024-04-20","","N"
"Shagbark Hickory","Carya ovata","Alabama","Jackson","Walls Of Jericho","34 59.052","-086 05.550","","","315733","1","34 59.052","-086 05.550","855.0 ft","Public","132.0'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Elijah Whitcomb","2024-04-20","","N"
"Shagbark Hickory","Carya ovata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233855","1","","","","Public - federal","131.2'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shagbark Hickory","Carya ovata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233856","1","","","","Public - federal","133.0'","Clinometer/laser rangefinder/sine","5.0'","60''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shagbark Hickory","Carya ovata","Alabama","Lawrence","West Flint Creek","","","181,230 aces in the National Forest","","233857","1","","","","Public - federal","139.9'","Clinometer/laser rangefinder/sine","6.8'","82''","","","Jess Riddle, Will Blozan","2006-01-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fbankhead%2Fbankhead_national_forest.htm","N"
"Shagbark Hickory","Carya ovata","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241586","1","","","","Public - state","120.4'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Shagbark Hickory","Carya ovata","Arkansas","Calhoun","Moro Creek Bottoms Natural Area","","","81 Acres
Nature Conservancy manages an adjacent parcel.","","241585","1","","","","Public - state","123.8'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Jess Riddle","2014-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6257%26sid%3D9e9b8c124e0ec69f3346d56fe2aab67d%23p28407","N"
"Shagbark Hickory","Carya ovata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241452","1","","","","Public - state","119.1'","Clinometer/laser rangefinder/sine","7.8'","94''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Shagbark Hickory","Carya ovata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241451","1","","","","Public - state","119.4'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Shagbark Hickory","Carya ovata","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241450","1","","","","Public - state","122.1'","Clinometer/laser rangefinder/sine","8.0'","96''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Shagbark Hickory","Carya ovata","Connecticut","Fairfield","Lucius Pond Ordway/Devil's Den Preserve","","","1,746 Acres","","242604","1","","","","Public - Nature Conservancy","95.0'","Clinometer/laser rangefinder/sine","6.5'","78''","","Saugatuck Trail","Sam Goodwin, Ryan Dallas","2012-01-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D3587%26sid%3D24164709fb7900e73daf958a7baa364f","N"
"Shagbark Hickory","Carya ovata","Connecticut","Hartford","Pennwood State Park","","","Some additional trees were listed in a posting on Google groups.","","243313","1","","","","Public - state park","94.0'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Sam Goodwin","2010-03-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D161%26t%3D119%26sid%3De71fd8ecae88fb4909b2191320272727%23p267","N"
"Shagbark Hickory","Carya ovata","Connecticut","Hartford","Weed Hill","","","","","243157","1","","","","private","65.0'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Sam Goodwin","2010-03-06","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2F7bf71a5c782f588a%3Fhl%3Den","N"
"Shagbark Hickory","Carya ovata","Delaware","New Castle","Brandywine Creek State Park","","","","","142912","1","","","","State","113.4'","Clinometer/laser rangefinder/sine","5.3'","63''","","","George Fieo","2011-01-09","","N"
"Shagbark Hickory","Carya ovata","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232129","1","","","","Public - federal","135.4'","Clinometer/laser rangefinder/sine","7.8'","94''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Shagbark Hickory","Carya ovata","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234711","1","","","","Public - federal","123.7'","Clinometer/laser rangefinder/sine","8.5'","102''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Shagbark Hickory","Carya ovata","Georgia","Bleckley","Ocmulgee Flats","","","Ocmulgee Wildlife Management Area","","234712","1","","","","Public - federal","129.3'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Jess Riddle","2006-01-14","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Focmulgee_flats.htm","N"
"Shagbark Hickory","Carya ovata","Georgia","Floyd","Marshall Forest","34 14.952","-085 11.662","","","322920","1","34 14.952","-085 11.662","690.0 ft","Private","84.1'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2025-11-27","","N"
"Shagbark Hickory","Carya ovata","Georgia","Floyd","Marshall Forest","34 14.906","-085 11.691","","","322921","1","34 14.906","-085 11.691","680.0 ft","Private","95.3'","Clinometer/laser rangefinder/sine","4.1'","50''","","","Elijah Whitcomb","2025-11-27","","N"
"Shagbark Hickory","Carya ovata","Georgia","Floyd","Rome And Floyd County","","","","","243222","1","","","","Private","104.7'","Clinometer/laser rangefinder/sine","13.0'","156''","101.0'","Crown spread is maximum.
In Polk County","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Shagbark Hickory","Carya ovata","Georgia","Murray","Cohutta Wilderness","","","","","234937","1","","","","Public - federal","109.5'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Jess Riddle","2005-06-09","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fcohutta_wilderness_area_ga.htm","N"
"Shagbark Hickory","Carya ovata","Georgia","Murray","North Prong Sumac Creek","","","","","234747","1","","","","Public - federal","109.6'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2003-11-27","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fnorth_prong_sumac_creek.htm","N"
"Shagbark Hickory","Carya ovata","Georgia","Murray","North Prong Sumac Creek","","","","","234746","1","","","","Public - federal","127.7'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Jess Riddle","2003-11-27","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fnorth_prong_sumac_creek.htm","N"
"Shagbark Hickory","Carya ovata","Illinois","Wabash","Beall Woods State Park","","","All trees measured where on or within sight of the Tulip Tree Trail.","","273883","1","","","","Public - state","119.0'","Clinometer/laser rangefinder/sine","9.8'","118''","","","Elijah Woods","2020-09-23","http%3A%2F%2Fents-bbs.org%2Fviewtopic.php%3Ff%3D78%26t%3D8733","N"
"Shagbark Hickory","Carya ovata","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169961","1","","","","Public - state","124.5'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Matt Markworth","2014-03-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Shagbark Hickory","Carya ovata","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169925","1","","","","Public - state","126.9'","Clinometer/laser rangefinder/sine","","","","","Randy Brown","2008-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Shagbark Hickory","Carya ovata","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169921","1","","","","Public - state","128.8'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Randy Brown","2008-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Shagbark Hickory","Carya ovata","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169960","1","","","","Public - state","137.5'","Clinometer/laser rangefinder/sine","7.7'","93''","","","Matt Markworth","2014-03-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Shagbark Hickory","Carya ovata","Indiana","Monroe","Dunn's Woods","","","Originally a 20 acre tract reduced to 10 acres by campus buildings.","","169756","1","","","","Public-state","106.0'","Clinometer/laser rangefinder/sine","5.8'","70''","","","John Eichholz","2010-06-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D917%23p3154","N"
"Shagbark Hickory","Carya ovata","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169624","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","5.5'","66''","","","Don Bragg","2005-06-30","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Shagbark Hickory","Carya ovata","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169876","1","","","","Public - federal","109.0'","Clinometer/laser rangefinder/sine","5.4'","65''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Shagbark Hickory","Carya ovata","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169877","1","","","","Public - federal","115.6'","Clinometer/laser rangefinder/sine","6.3'","75''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Shagbark Hickory","Carya ovata","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169944","1","","","","Public - federal","120.5'","Clinometer/laser rangefinder/sine","6.6'","79''","","","Mark Rouw","2015-02-14","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Shagbark Hickory","Carya ovata","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169879","1","","","","Public - federal","121.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Shagbark Hickory","Carya ovata","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165571","1","","","560.0 ft","Public - Boone County Court","96.1'","Clinometer/laser rangefinder/sine","8.7'","104''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Shagbark Hickory","Carya ovata","Kentucky","Boone","Dinsmore Nature Preserve - South","","","Nature Conservancy turned this over to the Boone County Court","","165572","1","","","560.0 ft","Public - Boone County Court","99.3'","Clinometer/laser rangefinder/sine","5.1'","61''","","Height is Not Less Than (NLT)","Dale Luthringer","2007-09-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Fdismore_woods.htm","N"
"Shagbark Hickory","Carya ovata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.897","-086 15.467","","","297307","1","37 12.897","-086 15.467","450.0 ft","Public","125.0'","Clinometer/laser rangefinder/sine","6.1'","73''","","","Elijah Whitcomb","2023-06-23","","N"
"Shagbark Hickory","Carya ovata","Kentucky","Edmonson","Mammoth Cave National Park","37 13.920","-086 03.158","","","297517","1","37 13.920","-086 03.158","670.0 ft","Public","126.3'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2023-06-23","","N"
"Shagbark Hickory","Carya ovata","Kentucky","Edmonson","Mammoth Cave National Park","37 10.140","-086 09.757","","","297804","1","37 10.140","-086 09.757","525.0 ft","Public","130.1'","Clinometer/laser rangefinder/sine","6.4'","77''","","","Elijah Whitcomb","2023-06-23","","N"
"Shagbark Hickory","Carya ovata","Kentucky","Edmonson","Mammoth Cave National Park","37 12.731","-086 15.055","","","297308","1","37 12.731","-086 15.055","595.0 ft","Public","130.4'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Elijah Whitcomb","2023-06-23","","N"
"Shagbark Hickory","Carya ovata","Kentucky","Edmonson","Mammoth Cave National Park","","","","","297706","1","","","","Public","131.4'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2023-06-23","","N"
