"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sand Hickory","Carya pallida","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233698","1","","","","Public - federal","65.8'","Clinometer/laser rangefinder/sine","3.9'","47''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Sand Hickory","Carya pallida","Alabama","Calhoun","Mountain Longleaf Pine National Wildlife Refuge","","","9,016 acres","","233699","1","","","","Public - federal","73.1'","Clinometer/laser rangefinder/sine","4.6'","55''","","","Jess Riddle, Doug Riddle","2005-08-10","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fmountain_longleaf_pine_nwr.htm","N"
"Sand Hickory","Carya pallida","Georgia","Floyd","Marshall Forest","34 14.956","-085 11.671","","","322918","1","34 14.956","-085 11.671","705.0 ft","Private","86.6'","Clinometer/laser rangefinder/sine","4.1'","49''","","","Elijah Whitcomb","2025-11-27","","N"
"Sand Hickory","Carya pallida","Georgia","Floyd","Marshall Forest","34 14.901","-085 11.692","","","322919","1","34 14.901","-085 11.692","675.0 ft","Private","98.1'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Elijah Whitcomb","2025-11-27","","N"
"Sand Hickory","Carya pallida","Maryland","Anne Arundel","Chase Creek Woods","","","","","280924","1","","","","Private","88.9'","Clinometer/laser rangefinder/sine","5.3'","64''","","","Colby Rucker","2003-07-01","","N"
"Sand Hickory","Carya pallida","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128395","1","","","","Public - State","135.2'","Clinometer/laser rangefinder/sine","7.1'","85''","","","Will Blozan, Darian Copiz, Gaines Mcmartin","2010-01-24","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Sand Hickory","Carya pallida","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128416","1","","","","Public - State","137.4'","Clinometer/laser rangefinder/sine","7.4'","89''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Sand Hickory","Carya pallida","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128381","1","","","","Public - State","142.9'","Clinometer/laser rangefinder/sine","7.7'","92''","","Measured by Will Blozan
Tentative ID for this tree
A re-measurement of one of Colbys 2001 trees. previous measured at 7.6' x 137.4'","Will Blozan, Darian Copiz, Gaines Mcmartin","2010-01-24","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Sand Hickory","Carya pallida","South Carolina","Greenville","Caesars Head State Park","","","Trees were measured along the Naturaland Trust Trail","","238135","1","","","","Public - state","88.3'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fpale_hickory.htm","N"
"Sand Hickory","Carya pallida","South Carolina","Greenville","Caesars Head State Park","","","Trees were measured along the Naturaland Trust Trail","","238136","1","","","","Public - state","94.2'","Clinometer/laser rangefinder/sine","5.6'","67''","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fsouth_carolina%2Fpale_hickory.htm","N"
