"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Hickory","Carya spp.","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169924","1","","","","Public - state","128.6'","Clinometer/laser rangefinder/sine","6.3'","76''","","","Randy Brown","2008-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Hickory","Carya spp.","Indiana","Lawrence","Donaldson Woods Nature Preserve","","","145 acres","","169959","1","","","","Public - state","138.2'","Clinometer/laser rangefinder/sine","6.7'","80''","","","Matt Markworth","2014-03-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6186%23p28117","N"
"Hickory","Carya spp.","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169881","1","","","","Public - federal","112.2'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Hickory","Carya spp.","Indiana","Orange","Pioneer Mother's Memorial Forest","","","Near Paoli, Indiana
88 Acres","","169875","1","","","","Public - federal","121.4'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Randy Brown","2008-06-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D79%26t%3D6897","N"
"Hickory","Carya spp.","Massachusetts","Middlesex","Cobb Memorial Forest","","","47 Acres","","250345","1","","","","Public - state","105.0'","Clinometer/laser rangefinder/sine","10.0'","120''","","Height is Not Less Than(NLT)","Jared Lockwood","2016-04-17","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D7631%26sid%3De52ef5bd464b38a87863ea9c1bde70dd","N"
"Hickory","Carya spp.","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251625","1","","","","Public - federal","112.5'","Clinometer/laser rangefinder/sine","10.0'","120''","","","Larry Tucei","2018-01-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Hickory","Carya spp.","Mississippi","Noxubee","Noxubee National Wildlife Reserve","","","Trees measured per trip reports on 11/25/2018, 12/06/2018, 04/05/2019.","","251624","1","","","","Public - federal","114.0'","Clinometer/laser rangefinder/sine","8.8'","106''","","","Larry Tucei","2018-01-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D95%26t%3D8547%26sid%3D0f79a30839ac89ac82cc365c21d27dd6","N"
"Hickory","Carya spp.","North Carolina","Buncombe","Lake Julian Park","","","","","227885","1","","","","Public-Private","101.7'","Clinometer/laser rangefinder/sine","5.4'","65''","","Section 3: Past trestle bridge","James Parton","2008-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1805%26sid%3D75ec212a9b138fb27cc678c4fe2bdea4","N"
"Hickory","Carya spp.","North Carolina","Polk","Green River Game Lands","","","10,000+ acres.
Trees were measured per trip reports 9/2/1010.9/27/2010, 1/21/2011.","","252117","1","","","","Public - state","114.3'","Clinometer/laser rangefinder/sine","7.6'","91''","","Pulliam Creek Trail","James Parton","2011-01-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1302%26sid%3Da2220255d71bc8241b5bc342c81238c3%23p4603","N"
"Hickory","Carya spp.","North Carolina","Polk","Green River Game Lands","","","10,000+ acres.
Trees were measured per trip reports 9/2/1010.9/27/2010, 1/21/2011.","","252126","1","","","","Public - state","121.1'","Clinometer/laser rangefinder/sine","","","","Bear Branch Trail","James Parton","2011-01-21","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D1302%26sid%3Da2220255d71bc8241b5bc342c81238c3%23p4603","N"
