"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Mockernut Hickory","Carya tomentosa","Alabama","Jackson","Walls Of Jericho","34 59.285","-086 05.067","","","315712","1","34 59.285","-086 05.067","915.0 ft","Public","114.4'","Clinometer/laser rangefinder/sine","5.7'","68''","","","Elijah Whitcomb","2024-04-20","","N"
"Mockernut Hickory","Carya tomentosa","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241681","1","","","","Private","110.9'","Clinometer/laser rangefinder/sine","8.3'","99''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Mockernut Hickory","Carya tomentosa","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241680","1","","","","Private","121.2'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Mockernut Hickory","Carya tomentosa","Arkansas","Lincoln","Cane Creek State Park","","","2053 acres woodland, 1675 acres water.","","241448","1","","","","Public - state","108.7'","Clinometer/laser rangefinder/sine","4.5'","54''","","","Jess Riddle","2014-03-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6160%26sid%3D56c12cf4dbc65aa20c50be1f4f6e6483%23p27970","N"
"Mockernut Hickory","Carya tomentosa","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175035","1","","","","Public - federal","107.1'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Mockernut Hickory","Carya tomentosa","District of Columbia","District Of Columbia","Trees Near Roadways And Parking Lots (Rock Creek Park)","","","","","126762","1","","","200.0 ft","Public - National Park","120.3'","Clinometer/laser rangefinder/sine","4.3'","52''","","","Will Blozan","2005-01-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Frock_creek_park.htm","N"
"Mockernut Hickory","Carya tomentosa","Delaware","New Castle","Brandywine Creek State Park","","","","","142901","1","","","","State","114.0'","Clinometer/laser rangefinder/sine","6.4'","77''","","Within Tulip Tree Woods Preserve.","George Fieo","2011-01-09","","N"
"Mockernut Hickory","Carya tomentosa","Delaware","New Castle","First State National Historical Park","","","This historical park incorporates many historical sites throughout Delaware. It also includes about 1,100 acres of woodland along Brandywine River with 200 acres of these acres being in Pennsylvania.","","232111","1","","","","Public - federal","126.5'","Clinometer/laser rangefinder/sine","6.0'","72''","","","George Fieo","2014-10-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8643%26sid%3D3fdcc58b0d25adce7768d60248ada623","N"
"Mockernut Hickory","Carya tomentosa","Delaware","New Castle","Flint Woods {Reserve","","","37 Acres with additional acreage under conservation easement.","","232216","1","","","","Public - state","122.8'","Clinometer/laser rangefinder/sine","6.3'","76''","","","George Fieo","2014-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8740%26sid%3D4b23d5b42476125c3d869ba89d4ef743","N"
"Mockernut Hickory","Carya tomentosa","Delaware","New Castle","Flint Woods {Reserve","","","37 Acres with additional acreage under conservation easement.","","232217","1","","","","Public - state","131.7'","Clinometer/laser rangefinder/sine","5.3'","64''","","","George Fieo","2014-11-19","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D71%26t%3D8740%26sid%3D4b23d5b42476125c3d869ba89d4ef743","N"
