"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"American Chestnut","Castanea dentata","Georgia","Murray","Grassy Mountain","","","","","234793","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","11.3'","135''","","Standing dead","Jess Riddle","2003-01-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fgrassy_mountain.htm","N"
"American Chestnut","Castanea dentata","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 14.870","-073 20.507","","","256016","1","42 14.870","-073 20.507","","Public-Private","52.0'","Clinometer/laser rangefinder/sine","2.5'","30''","","Measured by j. Kline 6/5/2015 on Monument Mountain near Great Barrington, Berkshire County.
Monument Mountain Reservation is 503 acres","Various Various","2001-01-01","","N"
"American Chestnut","Castanea dentata","Massachusetts","Suffolk","Massachusetts Single Tree Sites","","","","","256010","1","","","","Public-Private","81.7'","Clinometer/laser rangefinder/sine","2.7'","32''","32.0'","Measured by D. Bidlack 3/14/13  on the Assabet River Natonal Wildlife Refuge near Sudbury, Middlesex County..
Refuge is 2230 Acres.","Various Various","2001-01-01","","N"
"American Chestnut","Castanea dentata","Maryland","Anne Arundel","Broadneck Hill","","","School address is 470 Shore Acres Road, Arnold. MD","","45354","1","","","","Public - County school","49.1'","Clinometer/laser rangefinder/sine","1.5'","18''","","","Colby Rucker","2001-09-30","","N"
"American Chestnut","Castanea dentata","Maryland","Anne Arundel","Chase Creek Woods","","","","","280944","1","","","","Private","46.1'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Colby Rucker","2003-07-01","","N"
"American Chestnut","Castanea dentata","Maryland","Anne Arundel","Eco Trail Of Downs Memorial Park","","","","","128130","1","","","","Public County","","","1.1'","13''","","","Matthew Hannum","2007-07-01","","N"
"American Chestnut","Castanea dentata","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168096","1","","","400.0 ft","Public - State","31.9'","Clinometer/laser rangefinder/sine","1.2'","14''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"American Chestnut","Castanea dentata","Maryland","Cecil","Fair Hill NRMA","","","Former William Dupont estate acquired by State of Maryland 1975. 5,600 acres.","","168097","1","","","400.0 ft","Public - State","61.3'","Clinometer/laser rangefinder/sine","1.4'","17''","","","George Fieo","2015-12-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D7354","N"
"American Chestnut","Castanea dentata","Maryland","Various Counties","Maryland Single Tree Sites","39 21.616","-077 02.969","","","163338","1","39 21.616","-077 02.969","500.0 ft","Private. Public","63.3'","Clinometer/laser rangefinder/sine","3.3'","40''","","The tree is located on a slope over looking the South Branch of the Patapsco River near Woodbine, Howard County, MD.
Previous measurements made in September of 2007 with height at 60.7', girth 2.9', max. crown spread at 39'.
5/16/2011 with height 61.9', girth of 3.2'. 
At both visits the crown was 90 percent healthy but evidence of blight in lower trunk.
The latest measurements made 6/24/2017 with tree having only one green limb lower down and the tallest leader completely bare and dead.
All measurements made by T. Sharp.","Various Various","2010-01-01","","N"
"American Chestnut","Castanea dentata","North Carolina","Ashe","Mount Jefferson Natural Area","","","1,188 acres","","227209","1","","","","Public - state","26.4'","Clinometer/laser rangefinder/sine","","","","Dead","James Parton","2008-05-19","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fmt_jefferson%2Fmt_jefferson_natural_area_nc.htm","N"
