"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Chinese Chestnut","Castanea mollissima","New York","Monroe","Highland Park","","","","","226089","1","","","","Public","45.8'","Clinometer/laser rangefinder/sine","5.9'","70''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Chinese Chestnut","Castanea mollissima","Ohio","Athens","Lin Hall Grounds","","","","","96901","1","","","720.0 ft","Public, State","36.9'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Turner Sharp","2012-12-28","","N"
"Chinese Chestnut","Castanea mollissima","Pennsylvania","Chester","Stabler Drive","","","Property located at 160 Stabler Drive near Chadds Ford.","","132872","1","","","200.0 ft","Private","48.8'","Clinometer/laser rangefinder/sine","13.1'","157''","69.0'","","Scott Wade","2007-10-11","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fpenna%2Fnew_red_oak.htm","N"
"Chinese Chestnut","Castanea mollissima","Virginia","Orange","Montpelier - Plantation House Trees","","","","","224537","1","","","600.0 ft","Private - open to public","52.8'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Will Blozan, Jess Riddle","2005-10-17","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","54 Counties","West Virginia Single Tree Sites","38 33.989","-081 59.301","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313260","1","38 33.989","-081 59.301","","Private & Publc","62.5'","Clinometer/laser rangefinder/sine","8.8'","105''","74.1'","Measured by I. Smith 3/8/23.
Tree located on D. Fertig property off of 5&20 Mile Road, Frazier Bottom, Putmam County.  Largest stem was measured by I. Smith on 3/8/2023","Various Various","1963-01-01","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","54 Counties","West Virginia Single Tree Sites","39 22.397","-080 10.547","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313250","1","39 22.397","-080 10.547","","Private & Publc","64.0'","Clinometer/laser rangefinder/sine","6.3'","76''","68.0'","Measured by D. Cooley 2021 near Bridgeport, Taylor County.","Various Various","1963-01-01","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","Wood","Oakwood","39 15.874","-081 32.365","","","283757","2","39 15.874","-081 32.365","","Private","71.2'","Clinometer/laser rangefinder/sine","5.7'","69''","36.0'","Crown spread is an average of the two axis method.
Swollen butt below 4 1/2'","Turner Sharp, Bill Schlier, Turner Sharp","2022-11-23","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","Wood","Willowbrook Ravine","39 17.991","-081 32.691","","","292460","1","39 17.991","-081 32.691","","Private","46.0'","Clinometer/laser rangefinder/sine","6.6'","79''","41.8'","","Turner Sharp, J Kaplan","2023-03-21","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","Wood","Willowbrook Ravine","39 17.942","-081 32.698","","","292461","2","39 17.942","-081 32.698","","Private","58.4'","Clinometer/laser rangefinder/sine","7.5'","90''","48.3'","Circumferece taken at 31/2'","Turner Sharp, J Kaplan, Turner Sharp","2023-03-21","","N"
"Chinese Chestnut","Castanea mollissima","West Virginia","Wood","Worthington Golf Course","39 16.895","-081 31.122","","","154573","3","39 16.895","-081 31.122","590.0 ft","Private","43.8'","Clinometer/laser rangefinder/sine","4.8'","58''","","","Turner Sharp, Turner Sharp, Turner Sharp","2015-02-13","","N"
