"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Northern Catalpa","Catalpa speciosa","Arizona","Coconino","Oak Creek Canyon","","","","","121536","1","","","5300.0 ft","Public National Forest","52.0'","Clinometer/laser rangefinder/sine","5.4'","64''","","In parking lot for trail head for the West Fork Trail.","Turner Sharp","2015-06-02","","N"
"Northern Catalpa","Catalpa speciosa","Georgia","Floyd","Rome And Floyd County","","","","","243211","1","","","","Private","70.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","Berry College Campus","Jess Riddle, Richard Ware","2006-01-18","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Ftrees_of_floyd_county.htm","N"
"Northern Catalpa","Catalpa speciosa","Massachusetts","Suffolk","Massachusetts Single Tree Sites","42 30.006","-071 34.971","","","256027","1","42 30.006","-071 34.971","","Public-Private","86.1'","Clinometer/laser rangefinder/sine","13.8'","165''","5.8'","Measured by J. Lockwood 5/22/2016 in Harvard, Worcester County.","Various Various","2001-01-01","","N"
"Northern Catalpa","Catalpa speciosa","New York","Delaware","St. Paul's Cemetery","41 57.182","-075 18.206","","","225857","1","41 57.182","-075 18.206","960.0 ft","Private","81.1'","Clinometer/laser rangefinder/sine","13.6'","163''","","","Elijah Whitcomb","2017-09-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7680","N"
"Northern Catalpa","Catalpa speciosa","New York","Monroe","Durand Eastman Park","","","","","281860","1","","","","Public","89.6'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2020-10-05","","N"
"Northern Catalpa","Catalpa speciosa","New York","Monroe","Genessee Valley Park","","","","","189779","1","","","","Public","78.4'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Elijah Whitcomb","2019-04-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8540","N"
"Northern Catalpa","Catalpa speciosa","New York","Onondaga","Long Branch Park","","","","","230442","1","","","","Public","37.2'","Clinometer/laser rangefinder/sine","1.8'","21''","","Measured 11/2/14 by Elijah Whitcomb.","Elijah Whitcomb, Tom Howard, Robert Henry","2021-01-17","","N"
"Northern Catalpa","Catalpa speciosa","New York","Onondaga","Long Branch Park","","","","","263389","1","","","","Public","37.2'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2015-11-26","","N"
"Northern Catalpa","Catalpa speciosa","Ohio","Washington","Oak Grove Cemetery","","","First Burial made in 1864","","272600","1","","","700.0 ft","Public - City","75.4'","Clinometer/laser rangefinder/sine","11.4'","137''","","Section 19","Turner Sharp","2014-04-01","","N"
"Northern Catalpa","Catalpa speciosa","Pennsylvania","Fayette","Friendship Hill","39 46.486","-079 55.650","","","18559","1","39 46.486","-079 55.650","","National Park","80.0'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Steve Halow","2011-03-26","","N"
"Northern Catalpa","Catalpa speciosa","Pennsylvania","Washington","Mingo Creek County Park","40 12.464","-080 01.333","","","18594","1","40 12.464","-080 01.333","","County Government","70.0'","Clinometer/laser rangefinder/sine","15.0'","180''","","","Steve Halow","2011-10-24","","N"
"Northern Catalpa","Catalpa speciosa","Tennessee","Davidson","Greenwood Cemetery Nashville","36 08.746","-086 43.385","","","315470","1","36 08.746","-086 43.385","580.0 ft","Public","80.3'","Clinometer/laser rangefinder/sine","13.3'","160''","","","Elijah Whitcomb","2024-02-04","","N"
"Northern Catalpa","Catalpa speciosa","Tennessee","Hardin","Shiloh National Military Park/Cemetery","35 08.270","-088 20.496","","","298150","1","35 08.270","-088 20.496","475.0 ft","Public","61.8'","Clinometer/laser rangefinder/sine","13.0'","156''","","May be C. bignonioides","Elijah Whitcomb","2023-07-08","","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","54 Counties","West Virginia Single Tree Sites","38 42.910","-079 58.761","Wood County is listed separately.
Most measuremens made before 2010 do not include height because the the methods used from 1963 thrue 2009 were very inaccurate.","","313145","1","38 42.910","-079 58.761","2000.0 ft","Private & Publc","","Clinometer/laser rangefinder/sine","15.3'","183''","","Measured by D. Cooley, J. Spencer 2018.
Previously measured by T. Sharp 4/12/2010 at 80.6' x 173"" x 60.3'. 
Tree located at the former Hutton House Bed and Breakfast in Huttonsville, Randolph County.
2010 circumference taken at 3'","Various Various","1963-01-01","","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Kanawha","Spring Hill Cemetery Park","38 21.015","-081 36.847","On the National Register of Historic Places","","224342","1","38 21.015","-081 36.847","800.0 ft","Public -city","54.9'","Clinometer/laser rangefinder/sine","10.6'","128''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Kanawha","Spring Hill Cemetery Park","38 21.130","-081 37.028","On the National Register of Historic Places","","224354","1","38 21.130","-081 37.028","900.0 ft","Public -city","63.6'","Clinometer/laser rangefinder/sine","10.3'","123''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Kanawha","Spring Hill Cemetery Park","38 21.001","-081 36.877","On the National Register of Historic Places","","224343","1","38 21.001","-081 36.877","800.0 ft","Public -city","69.0'","Clinometer/laser rangefinder/sine","9.5'","114''","","","Turner Sharp","2017-04-23","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D131%26t%3D8210","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Wood","City Park","","","","","271871","1","","","640.0 ft","City","53.4'","Clinometer/laser rangefinder/sine","6.5'","78''","","","Turner Sharp, Sarah Friend","2014-01-04","","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Wood","City Park","39 16.198","-081 31.828","","","204040","2","39 16.198","-081 31.828","640.0 ft","City","56.0'","Clinometer/laser rangefinder/sine","8.3'","99''","42.0'","Crown spread is an average of two axis method.","Turner Sharp, Sarah Friend, Turner Sharp","2014-01-04","","N"
"Northern Catalpa","Catalpa speciosa","West Virginia","Wood","Wood County Historical Trees","39 16.597","-081 32.929","Trees that have died or been removed for various reasons,
Trees measured before 2009 may not hav height listed either because it was not measured or used a method that was hifgly inaccurate.","","315261","1","39 16.597","-081 32.929","","Public and Private","73.0'","Clinometer/laser rangefinder/sine","8.8'","106''","51.0'","Last Measured by T. Sharp 2009.
 Tree removed by landowner 2014.
Circumference measured over English Ivy thus is inflated.","Turner Sharp","2000-01-01","","N"
