"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Catalpa","Catalpa spp.","North Carolina","Buncombe","Green Hills Cemetery","","","","","243399","1","","","","Private","71.5'","Clinometer/laser rangefinder/sine","10.5'","126''","","","James Parton","2008-06-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fgreen_hills_cemetery_trees_ashvi.htm","N"
"Catalpa","Catalpa spp.","North Carolina","Buncombe","Green Hills Cemetery","","","","","243398","1","","","","Private","75.1'","Clinometer/laser rangefinder/sine","11.3'","136''","","","James Parton","2008-06-30","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fgreen_hills_cemetery_trees_ashvi.htm","N"
"Catalpa","Catalpa spp.","North Carolina","Henderson","Calvary Episcopal Church","","","","","235502","1","","","","Private","","Clinometer/laser rangefinder/sine","7.8'","94''","","","James Parton","2008-03-18","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcalvary_htm","N"
"Catalpa","Catalpa spp.","New Jersey","Burlington","Batsto Village","","","","","170434","1","","","","Public - sate","","Clinometer/laser rangefinder/sine","5.8'","70''","","","Barry Caselli","2009-01-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6026%23p27156","N"
"Catalpa","Catalpa spp.","New Jersey","Burlington","Batsto Village","","","","","170435","1","","","","Public - sate","","Clinometer/laser rangefinder/sine","7.9'","95''","","","Barry Caselli","2009-01-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6026%23p27156","N"
"Catalpa","Catalpa spp.","New Jersey","Burlington","Batsto Village","","","","","170438","1","","","","Public - sate","","Clinometer/laser rangefinder/sine","7.5'","90''","","","Barry Caselli","2009-01-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D103%26t%3D6026%23p27156","N"
"Catalpa","Catalpa spp.","Pennsylvania","Clarion","Cooksburg Area-Private Property","","","","","147792","1","","","","Public -state, Private","99.9'","Clinometer/laser rangefinder/sine","3.5'","42''","","Height is Not Less Than (NLT)
At MacBeth's Cabins - # 15","Dale Luthringer","2008-09-12","","N"
"Catalpa","Catalpa spp.","Pennsylvania","Clarion","Cooksburg Area-Private Property","","","","","147790","1","","","","Public -state, Private","108.8'","Clinometer/laser rangefinder/sine","4.1'","49''","","At MacBeths Cabins #15","Dale Luthringer","2008-09-12","","N"
"Catalpa","Catalpa spp.","Pennsylvania","Fayette","Hewitt Island","","","Island is in the Youghiogheny River near Perryopolis.","","224758","1","","","","Public","37.0'","Clinometer/laser rangefinder/sine","3.4'","41''","","","Edward Franks, Steve Halow","2010-08-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D154%26t%3D1279","N"
"Catalpa","Catalpa spp.","Pennsylvania","Warren","Courson Island","","","","","140003","1","","","1100.0 ft","Public- federal","61.7'","Clinometer/laser rangefinder/sine","5.9'","71''","","","Dale Luthringer, Edward Frank, Anthony Kelly","2007-09-04","","N"
